record_date,station,chla,coordinates
11/18/2012,5,7.1,"[120.17062,31.24816]"
1/13/2012,5,7.6,"[120.17062,31.24816]"
12/19/2012,5,10.5,"[120.17062,31.24816]"
2/22/2014,5,11.3,"[120.17062,31.24816]"
4/15/2013,5,14,"[120.17062,31.24816]"
3/16/2013,5,14.2,"[120.17062,31.24816]"
3/14/2012,5,14.5,"[120.17062,31.24816]"
2/13/2012,5,24.3,"[120.17062,31.24816]"
7/23/2012,6,1.2,"[119.945,31.3145]"
3/16/2013,6,2.5,"[119.945,31.3145]"
8/11/2011,6,4,"[119.945,31.3145]"
6/17/2013,6,5.2,"[119.945,31.3145]"
9/13/2012,6,5.5,"[119.945,31.3145]"
5/13/2013,6,5.9,"[119.945,31.3145]"
2/22/2014,6,6.2,"[119.945,31.3145]"
12/19/2012,6,6.6,"[119.945,31.3145]"
11/18/2012,6,7.2,"[119.945,31.3145]"
1/13/2012,6,7.3,"[119.945,31.3145]"
11/21/2013,6,7.7,"[119.945,31.3145]"
1/15/2013,6,8.1,"[119.945,31.3145]"
8/18/2011,6,9.8,"[119.945,31.3145]"
3/14/2012,6,9.8,"[119.945,31.3145]"
8/22/2013,6,10.2,"[119.945,31.3145]"
2/13/2012,6,10.3,"[119.945,31.3145]"
5/14/2012,6,11.1,"[119.945,31.3145]"
10/19/2012,6,11.7,"[119.945,31.3145]"
2/28/2013,6,11.7,"[119.945,31.3145]"
12/13/2011,6,13.1,"[119.945,31.3145]"
6/14/2012,6,16.3,"[119.945,31.3145]"
4/15/2013,6,65.1,"[119.945,31.3145]"
11/22/2013,7,6.6,"[120.11866,30.96367]"
11/17/2012,7,6.7,"[120.11866,30.96367]"
2/13/2012,7,8.2,"[120.11866,30.96367]"
8/15/2012,7,8.6,"[120.11866,30.96367]"
2/22/2014,7,8.6,"[120.11866,30.96367]"
5/14/2012,7,8.9,"[120.11866,30.96367]"
2/27/2013,7,13.3,"[120.11866,30.96367]"
11/22/2013,8,3.2,"[120.45383,31.02167]"
2/22/2014,8,4.7,"[120.45383,31.02167]"
2/13/2012,8,4.8,"[120.45383,31.02167]"
11/17/2012,8,6.7,"[120.45383,31.02167]"
8/15/2012,8,6.9,"[120.45383,31.02167]"
2/27/2013,8,17.3,"[120.45383,31.02167]"
8/11/2011,9,1.1,"[120.2955,31.3865]"
10/19/2012,9,2.2,"[120.2955,31.3865]"
6/14/2012,9,2.3,"[120.2955,31.3865]"
6/17/2013,9,4.3,"[120.2955,31.3865]"
12/13/2011,9,5,"[120.2955,31.3865]"
9/13/2012,9,5.2,"[120.2955,31.3865]"
5/13/2013,9,5.6,"[120.2955,31.3865]"
7/23/2012,9,5.7,"[120.2955,31.3865]"
5/14/2012,9,5.8,"[120.2955,31.3865]"
8/18/2011,9,6.3,"[120.2955,31.3865]"
2/22/2014,9,6.9,"[120.2955,31.3865]"
11/21/2013,9,7.6,"[120.2955,31.3865]"
2/13/2012,9,8.1,"[120.2955,31.3865]"
2/14/2012,9,8.1,"[120.2955,31.3865]"
11/17/2012,9,9.2,"[120.2955,31.3865]"
3/16/2013,9,12.9,"[120.2955,31.3865]"
8/22/2013,9,13.8,"[120.2955,31.3865]"
1/13/2012,9,16.4,"[120.2955,31.3865]"
2/27/2013,9,19.8,"[120.2955,31.3865]"
3/14/2012,9,27.1,"[120.2955,31.3865]"
12/19/2012,9,27.2,"[120.2955,31.3865]"
4/15/2013,9,28,"[120.2955,31.3865]"
8/22/2013,10,2.7,"[120.37691,31.43511]"
10/19/2012,10,3.4,"[120.37691,31.43511]"
3/14/2012,10,3.7,"[120.37691,31.43511]"
12/13/2011,10,4.2,"[120.37691,31.43511]"
6/14/2012,10,4.4,"[120.37691,31.43511]"
2/22/2014,10,4.9,"[120.37691,31.43511]"
11/17/2012,10,5.2,"[120.37691,31.43511]"
12/19/2012,10,5.7,"[120.37691,31.43511]"
1/13/2012,10,6.2,"[120.37691,31.43511]"
2/13/2012,10,6.6,"[120.37691,31.43511]"
2/14/2012,10,6.6,"[120.37691,31.43511]"
9/13/2012,10,7.4,"[120.37691,31.43511]"
11/21/2013,10,8.5,"[120.37691,31.43511]"
5/14/2012,10,9,"[120.37691,31.43511]"
5/13/2013,10,10.6,"[120.37691,31.43511]"
4/15/2013,10,21.8,"[120.37691,31.43511]"
3/16/2013,10,37.7,"[120.37691,31.43511]"
2/27/2013,10,41.4,"[120.37691,31.43511]"
11/18/2012,11,3.4,"[120.02817,31.45001]"
2/22/2014,11,3.7,"[120.02817,31.45001]"
12/13/2011,11,4.5,"[120.02817,31.45001]"
11/21/2013,11,4.6,"[120.02817,31.45001]"
3/14/2012,11,6,"[120.02817,31.45001]"
12/19/2012,11,6.7,"[120.02817,31.45001]"
10/19/2012,11,7.1,"[120.02817,31.45001]"
1/15/2013,11,7.4,"[120.02817,31.45001]"
6/17/2013,11,8,"[120.02817,31.45001]"
7/23/2012,11,8.2,"[120.02817,31.45001]"
5/13/2013,11,8.3,"[120.02817,31.45001]"
6/14/2012,11,8.8,"[120.02817,31.45001]"
9/13/2012,11,9.8,"[120.02817,31.45001]"
8/22/2013,11,10.3,"[120.02817,31.45001]"
1/13/2012,11,10.5,"[120.02817,31.45001]"
2/28/2013,11,10.5,"[120.02817,31.45001]"
8/11/2011,11,10.8,"[120.02817,31.45001]"
8/18/2011,11,11.3,"[120.02817,31.45001]"
2/13/2012,11,11.4,"[120.02817,31.45001]"
2/14/2012,11,11.4,"[120.02817,31.45001]"
3/16/2013,11,11.5,"[120.02817,31.45001]"
5/14/2012,11,14.4,"[120.02817,31.45001]"
4/15/2013,11,44.2,"[120.02817,31.45001]"
3/16/2013,12,0.5,"[120.03182,31.39761]"
11/18/2012,12,0.8,"[120.03182,31.39761]"
5/13/2013,12,1.6,"[120.03182,31.39761]"
10/19/2012,12,2.2,"[120.03182,31.39761]"
12/13/2011,12,2.6,"[120.03182,31.39761]"
7/23/2012,12,2.8,"[120.03182,31.39761]"
2/28/2013,12,4,"[120.03182,31.39761]"
2/22/2014,12,4.3,"[120.03182,31.39761]"
5/14/2012,12,6.1,"[120.03182,31.39761]"
9/13/2012,12,6.6,"[120.03182,31.39761]"
8/18/2011,12,7.1,"[120.03182,31.39761]"
8/22/2013,12,7.9,"[120.03182,31.39761]"
1/15/2013,12,8.5,"[120.03182,31.39761]"
4/15/2013,12,8.7,"[120.03182,31.39761]"
3/14/2012,12,9.1,"[120.03182,31.39761]"
12/19/2012,12,9.1,"[120.03182,31.39761]"
2/13/2012,12,9.6,"[120.03182,31.39761]"
2/14/2012,12,9.6,"[120.03182,31.39761]"
8/11/2011,12,10.2,"[120.03182,31.39761]"
11/21/2013,12,10.5,"[120.03182,31.39761]"
6/14/2012,12,16.3,"[120.03182,31.39761]"
1/13/2012,12,18.5,"[120.03182,31.39761]"
6/17/2013,12,19.4,"[120.03182,31.39761]"
6/17/2013,13,0.6,"[120.05612,31.3081]"
7/23/2012,13,1.6,"[120.05612,31.3081]"
4/15/2013,13,2.1,"[120.05612,31.3081]"
12/13/2011,13,3.5,"[120.05612,31.3081]"
5/14/2012,13,4.1,"[120.05612,31.3081]"
1/15/2013,13,4.5,"[120.05612,31.3081]"
11/18/2012,13,5,"[120.05612,31.3081]"
8/22/2013,13,5.5,"[120.05612,31.3081]"
10/19/2012,13,5.7,"[120.05612,31.3081]"
12/19/2012,13,6.1,"[120.05612,31.3081]"
2/28/2013,13,6.7,"[120.05612,31.3081]"
8/15/2012,13,7.1,"[120.05612,31.3081]"
2/22/2014,13,9.2,"[120.05612,31.3081]"
3/16/2013,13,11,"[120.05612,31.3081]"
6/14/2012,13,13.4,"[120.05612,31.3081]"
11/21/2013,13,16.5,"[120.05612,31.3081]"
2/13/2012,13,23.3,"[120.05612,31.3081]"
6/17/2013,14,2.3,"[120.02333,31.19055]"
10/19/2012,14,3.4,"[120.02333,31.19055]"
11/22/2013,14,3.6,"[120.02333,31.19055]"
8/11/2011,14,4.4,"[120.02333,31.19055]"
1/15/2013,14,4.8,"[120.02333,31.19055]"
8/18/2011,14,5,"[120.02333,31.19055]"
9/13/2012,14,5,"[120.02333,31.19055]"
5/14/2012,14,5.2,"[120.02333,31.19055]"
5/13/2013,14,5.2,"[120.02333,31.19055]"
7/23/2012,14,6.5,"[120.02333,31.19055]"
11/17/2012,14,7,"[120.02333,31.19055]"
12/19/2012,14,7.6,"[120.02333,31.19055]"
8/22/2013,14,8.2,"[120.02333,31.19055]"
2/13/2012,14,8.3,"[120.02333,31.19055]"
2/27/2013,14,8.5,"[120.02333,31.19055]"
4/15/2013,14,9.5,"[120.02333,31.19055]"
2/22/2014,14,11.3,"[120.02333,31.19055]"
3/16/2013,14,13.4,"[120.02333,31.19055]"
6/17/2013,15,1.2,"[119.96731,31.10789]"
10/19/2012,15,1.7,"[119.96731,31.10789]"
7/23/2012,15,2.5,"[119.96731,31.10789]"
5/13/2013,15,4.6,"[119.96731,31.10789]"
11/22/2013,15,4.7,"[119.96731,31.10789]"
1/15/2013,15,4.8,"[119.96731,31.10789]"
9/13/2012,15,5.1,"[119.96731,31.10789]"
11/17/2012,15,5.4,"[119.96731,31.10789]"
5/14/2012,15,7,"[119.96731,31.10789]"
2/13/2012,15,7.9,"[119.96731,31.10789]"
8/18/2011,15,8.7,"[119.96731,31.10789]"
8/11/2011,15,9.3,"[119.96731,31.10789]"
2/27/2013,15,10.1,"[119.96731,31.10789]"
12/19/2012,15,10.9,"[119.96731,31.10789]"
2/22/2014,15,12.5,"[119.96731,31.10789]"
3/16/2013,15,12.8,"[119.96731,31.10789]"
8/22/2013,15,13.8,"[119.96731,31.10789]"
4/15/2013,15,14.9,"[119.96731,31.10789]"
11/22/2013,16,5.8,"[120.143856,31.116508]"
5/14/2012,16,6.1,"[120.143856,31.116508]"
8/15/2012,16,6.7,"[120.143856,31.116508]"
2/13/2012,16,7.1,"[120.143856,31.116508]"
11/17/2012,16,7.3,"[120.143856,31.116508]"
2/22/2014,16,11.2,"[120.143856,31.116508]"
2/27/2013,16,12.9,"[120.143856,31.116508]"
11/22/2013,17,3.4,"[120.18982,30.99104]"
2/13/2012,17,6.4,"[120.18982,30.99104]"
5/14/2012,17,6.4,"[120.18982,30.99104]"
11/17/2012,17,7.5,"[120.18982,30.99104]"
2/27/2013,17,10.8,"[120.18982,30.99104]"
2/22/2014,17,12.5,"[120.18982,30.99104]"
8/15/2012,17,13.2,"[120.18982,30.99104]"
11/22/2013,18,4.4,"[120.23271,31.01261]"
2/13/2012,18,6.6,"[120.23271,31.01261]"
11/17/2012,18,8.8,"[120.23271,31.01261]"
2/27/2013,18,10.4,"[120.23271,31.01261]"
5/14/2012,18,10.5,"[120.23271,31.01261]"
2/22/2014,18,11.3,"[120.23271,31.01261]"
8/15/2012,18,16.2,"[120.23271,31.01261]"
8/15/2012,19,2.8,"[120.37909,30.98091]"
11/22/2013,19,2.8,"[120.37909,30.98091]"
11/17/2012,19,4.4,"[120.37909,30.98091]"
2/22/2014,19,7.4,"[120.37909,30.98091]"
2/13/2012,19,8.2,"[120.37909,30.98091]"
2/27/2013,19,16.5,"[120.37909,30.98091]"
2/22/2014,20,2.1,"[120.51329,31.08941]"
11/17/2012,20,4.5,"[120.51329,31.08941]"
8/15/2012,20,5.3,"[120.51329,31.08941]"
2/13/2012,20,5.4,"[120.51329,31.08941]"
11/22/2013,20,7.4,"[120.51329,31.08941]"
2/27/2013,20,16.7,"[120.51329,31.08941]"
8/15/2012,21,0.7,"[120.33567,31.09903]"
11/22/2013,21,1.5,"[120.33567,31.09903]"
11/17/2012,21,6.4,"[120.33567,31.09903]"
2/13/2012,21,6.7,"[120.33567,31.09903]"
2/22/2014,21,13.2,"[120.33567,31.09903]"
2/27/2013,21,13.7,"[120.33567,31.09903]"
11/22/2013,22,1.2,"[120.40596,31.17683]"
8/15/2012,22,1.7,"[120.40596,31.17683]"
11/17/2012,22,6.3,"[120.40596,31.17683]"
2/13/2012,22,7.1,"[120.40596,31.17683]"
2/22/2014,22,10.1,"[120.40596,31.17683]"
2/27/2013,22,17.1,"[120.40596,31.17683]"
2/22/2014,23,1.3,"[120.464785,31.20565]"
11/17/2012,23,1.7,"[120.464785,31.20565]"
8/15/2012,23,1.9,"[120.464785,31.20565]"
11/22/2013,23,2.1,"[120.464785,31.20565]"
2/13/2012,23,3.9,"[120.464785,31.20565]"
2/27/2013,23,14.9,"[120.464785,31.20565]"
11/22/2013,24,2.4,"[120.33149,31.24482]"
8/15/2012,24,4.2,"[120.33149,31.24482]"
2/22/2014,24,6.7,"[120.33149,31.24482]"
2/13/2012,24,7.7,"[120.33149,31.24482]"
11/17/2012,24,11.5,"[120.33149,31.24482]"
2/27/2013,24,20.5,"[120.33149,31.24482]"
8/15/2012,25,3,"[120.241535,31.353396]"
6/17/2013,25,4.7,"[120.241535,31.353396]"
11/21/2013,25,5,"[120.241535,31.353396]"
5/13/2013,25,5.1,"[120.241535,31.353396]"
5/14/2012,25,5.6,"[120.241535,31.353396]"
1/15/2013,25,5.6,"[120.241535,31.353396]"
11/17/2012,25,8,"[120.241535,31.353396]"
12/19/2012,25,9.4,"[120.241535,31.353396]"
2/22/2014,25,9.8,"[120.241535,31.353396]"
3/16/2013,25,10.3,"[120.241535,31.353396]"
2/13/2012,25,11.4,"[120.241535,31.353396]"
2/14/2012,25,11.4,"[120.241535,31.353396]"
4/15/2013,25,12.7,"[120.241535,31.353396]"
8/22/2013,25,13.3,"[120.241535,31.353396]"
2/27/2013,25,16.5,"[120.241535,31.353396]"
6/17/2013,26,0.6,"[120.14594,31.4068]"
7/23/2012,26,0.7,"[120.14594,31.4068]"
5/13/2013,26,1.1,"[120.14594,31.4068]"
8/11/2011,26,2.4,"[120.14594,31.4068]"
12/13/2011,26,3.3,"[120.14594,31.4068]"
9/13/2012,26,3.4,"[120.14594,31.4068]"
3/16/2013,26,3.8,"[120.14594,31.4068]"
1/15/2013,26,4.2,"[120.14594,31.4068]"
11/18/2012,26,4.7,"[120.14594,31.4068]"
8/18/2011,26,5.2,"[120.14594,31.4068]"
10/19/2012,26,5.6,"[120.14594,31.4068]"
5/14/2012,26,6.1,"[120.14594,31.4068]"
3/14/2012,26,7,"[120.14594,31.4068]"
4/15/2013,26,7.2,"[120.14594,31.4068]"
12/19/2012,26,9.3,"[120.14594,31.4068]"
8/22/2013,26,11.1,"[120.14594,31.4068]"
2/13/2012,26,13.7,"[120.14594,31.4068]"
2/14/2012,26,13.7,"[120.14594,31.4068]"
2/27/2013,26,14.3,"[120.14594,31.4068]"
2/22/2014,26,15,"[120.14594,31.4068]"
6/14/2012,26,15.2,"[120.14594,31.4068]"
1/13/2012,26,19.3,"[120.14594,31.4068]"
11/21/2013,26,27.6,"[120.14594,31.4068]"
