Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Namekagon Lake,Bayfield,2732600,NO,4,,043114,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/05/1998,,,,,18,,51,,,,,,
1,04/22/1998,,,,2.64,37,,56,42,,,,,
1,06/09/1998,,,,8.44,22,,52,51,,,,,
1,07/08/1998,,,,6.69,22,,52,49,,,,,
8189354,08/04/1998,6.5,NO,2,,,50,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
1,08/11/1998,,,,8.88,26,,53,51,,,,,
8189354,08/20/1998,5.5,NO,1.7,,,53,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189354,08/30/1998,5,NO,1.5,,,54,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,09/18/1998,5,NO,1.5,,,54,,,,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,09/29/1998,5,NO,1.5,,,54,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,10/02/1998,4.25,NO,1.3,,,56,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,10/10/1998,5,NO,1.5,,,54,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
1,03/04/1999,,,,,,,,,,,,,
8188630,04/20/1999,,,,7.11,21,,52,50,,,,,
8188630,06/02/1999,,,,4.7,21,,52,46,,,,,
1,07/07/1999,,,,6.95,20,,51,49,,,,,
8188630,08/17/1999,,,,18,40,,57,57,,,,,
8189354,08/28/1999,5.25,NO,1.6,,,53,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189354,09/08/1999,5.25,NO,1.6,,,53,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189354,09/22/1999,5,NO,1.5,,,54,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189354,09/24/1999,5.5,NO,1.7,,,53,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189354,10/08/1999,6,NO,1.8,,,51,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189354,10/26/1999,6,NO,1.8,,,51,,,NO CHANGE,,CLEAR,BROWN,2-Very minor aesthetic problems
8189354,06/08/2000,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,06/25/2000,7,NO,2.1,,,49,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189354,07/16/2000,7.5,NO,2.3,,,48,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189354,07/23/2000,7.5,NO,2.3,,,48,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189354,08/10/2000,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189354,09/14/2000,6,NO,1.8,,,51,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,10/16/2000,8.5,NO,2.6,,,46,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,10/31/2000,7.5,NO,2.3,,,48,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,06/28/2001,8,NO,2.4,,,47,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,08/04/2001,7.25,NO,2.2,,,49,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,08/16/2001,6,NO,1.8,,,51,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,08/27/2001,6,NO,1.8,,,51,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,09/18/2001,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189354,06/18/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189354,07/01/2002,8.25,NO,2.5,,,47,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189354,08/01/2002,8.25,NO,2.5,,,47,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189354,08/18/2002,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189354,09/11/2002,6.5,NO,2,,,50,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189354,09/27/2002,6,NO,1.8,,,51,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189354,10/24/2002,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189354,05/21/2008,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/10/2008,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/26/2008,8.75,NO,2.7,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/10/2008,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/21/2008,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/18/2008,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/25/2008,5.75,NO,1.7,,,52,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,05/17/2009,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/12/2009,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/18/2009,16.25,NO,4.9,,,37,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/22/2009,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/19/2009,9.25,NO,2.8,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/17/2009,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,09/08/2009,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,09/23/2009,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,05/04/2010,13,NO,4,,,40,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,05/20/2010,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/12/2010,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/20/2010,13,NO,4,,,40,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/26/2010,11,NO,3.3,,,43,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/03/2010,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/14/2010,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,08/22/2010,6.5,NO,2,,,50,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,09/17/2010,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,06/12/2011,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/20/2011,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/10/2011,9,NO,2.7,,,45,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/18/2011,6.75,NO,2.1,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/24/2011,6,NO,1.8,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/31/2011,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/04/2011,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/23/2011,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,09/03/2011,6.75,NO,2.1,,,50,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,06/01/2012,12.5,NO,3.8,,,41,,,HIGH,high,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,06/05/2012,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,06/18/2012,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,07/13/2012,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,07/28/2012,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/13/2012,7,NO,2.1,,,49,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,08/20/2012,7,NO,2.1,,,49,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189354,09/14/2012,6,NO,1.8,,,51,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,06/10/2013,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/17/2013,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189354,07/15/2013,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/02/2013,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/15/2013,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,09/13/2013,5.75,NO,1.7,,,52,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,10/02/2013,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/08/2014,6.75,NO,2.1,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/17/2014,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/02/2014,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/12/2014,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/28/2014,7.75,NO,2.4,,,48,,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8189354,08/14/2014,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/18/2014,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/15/2015,8.25,NO,2.5,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/22/2015,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/23/2015,6.75,NO,2.1,,,50,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/13/2015,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/22/2015,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/10/2015,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,08/15/2015,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189354,08/24/2015,4.25,NO,1.3,,,56,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189354,06/14/2016,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,06/28/2016,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,07/06/2016,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189354,08/03/2016,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189354,09/02/2016,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189354,09/05/2016,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/18/2007,0,FEET,74.2,DEGREES F,8.5,MG/L
06/18/2007,5,FEET,74.1,DEGREES F,8.4,MG/L
06/18/2007,10,FEET,73.9,DEGREES F,8.5,MG/L
06/18/2007,15,FEET,69.7,DEGREES F,7.9,MG/L
06/18/2007,20,FEET,66.4,DEGREES F,6.3,MG/L
06/18/2007,25,FEET,64.6,DEGREES F,5.6,MG/L
06/18/2007,30,FEET,63.3,DEGREES F,4.7,MG/L
06/18/2007,35,FEET,62,DEGREES F,4,MG/L
06/18/2007,40,FEET,60.2,DEGREES F,1.7,MG/L
06/18/2007,45,FEET,59.3,DEGREES F,.5,MG/L
06/18/2007,50,FEET,58.7,DEGREES F,.3,MG/L
06/18/2007,51,FEET,58.6,DEGREES F,.3,MG/L
07/15/2007,0,FEET,70.7,DEGREES F,8.9,MG/L
07/15/2007,5,FEET,70.3,DEGREES F,8.4,MG/L
07/15/2007,10,FEET,69.5,DEGREES F,7.9,MG/L
07/15/2007,15,FEET,69.2,DEGREES F,7.6,MG/L
07/15/2007,20,FEET,69,DEGREES F,7.2,MG/L
07/15/2007,25,FEET,68.8,DEGREES F,6.8,MG/L
07/15/2007,30,FEET,66.5,DEGREES F,2.5,MG/L
07/15/2007,35,FEET,63.3,DEGREES F,.4,MG/L
07/15/2007,40,FEET,60.8,DEGREES F,.4,MG/L
07/15/2007,45,FEET,60,DEGREES F,.4,MG/L
07/15/2007,50,FEET,59.6,DEGREES F,.4,MG/L
07/15/2007,51,FEET,59.2,DEGREES F,.4,MG/L
08/20/2007,0,FEET,69.2,DEGREES F,7.1,MG/L
08/20/2007,5,FEET,69.4,DEGREES F,6.7,MG/L
08/20/2007,10,FEET,69.4,DEGREES F,6.5,MG/L
08/20/2007,15,FEET,69.4,DEGREES F,6.6,MG/L
08/20/2007,20,FEET,69.4,DEGREES F,6.6,MG/L
08/20/2007,25,FEET,69.3,DEGREES F,6.3,MG/L
08/20/2007,30,FEET,67.8,DEGREES F,3.1,MG/L
08/20/2007,35,FEET,64.4,DEGREES F,.5,MG/L
08/20/2007,40,FEET,62.1,DEGREES F,.4,MG/L
08/20/2007,45,FEET,60.5,DEGREES F,.4,MG/L
08/20/2007,50,FEET,59.8,DEGREES F,.4,MG/L
08/20/2007,51,FEET,59.6,DEGREES F,.4,MG/L



Start Date,Fieldwork Comment
08/04/1998,Northwest wind 10 mph.  50% clouds.    
08/20/1998,Sw wind 8 mph.  40% clouds.  Windy last 3 days.    
08/30/1998,N wind 5 mph. 10% clouds.  Light boat traffic.    
09/18/1998,S wind 8 mph.  10% clouds.    
09/29/1998,Ne wind 8 mph. 30% clouds.    
10/02/1998,Ne wind 5 mph- hazy.    
10/10/1998,Clear- almost calm.    
08/28/1999,N wind- 10 mph. little boat traffic- saw 3 loons- many ducks- one mink.    
09/08/1999,Sw wind 18 mph. strong winds for a week.  No boat traffic- saw 3 otters.    
09/22/1999,Sw wind- 10 mph.    
09/24/1999,Sw wind- 15 mph. clear day- much bloom. 62 degrees F.    
10/08/1999,Sw wind- 10 mph. clear day- several musky fishermen.    
10/26/1999,Clear- calm day. saw one loon.    
06/08/2000,Sunny with slight chop.    
06/25/2000,Saw two baby loons first time on 6/24.    
07/16/2000,South wind at 12 mph- clear day with some cumulus clouds.    
07/23/2000,Clear day and slight wind.    
08/10/2000,Clear day and north wind at 10 mph.    
09/14/2000,Overcast and northeast wind at 15 mph.    
10/16/2000,Overcast and south wind at 10 mph.    
10/31/2000,Southeast wind at 5 mph- sunny- and nice day.    
06/28/2001,SW wind 15 mph.  Hot and clear.    
08/04/2001,SW wind 5 mph.  Hot and clear.  Lake busy.    
08/16/2001,SW wind 5-10 mph - sunny- rained 1/2" last night.  Windy for several days.    
08/27/2001,Sunny - rained 3/4" last night.    
09/18/2001,Lake calm - sky overcast.    
06/18/2002,Clear sky.  Southeast wind- 20 mph.

    
07/01/2002,Blue sky with cumulus clouds.  90 degrees with 20 mph
southwest winds.

    
08/01/2002,Clear sky. Southwest wind- 10 to 15 mph.

    
08/18/2002,Cumulus clouds.  Southwest winds 5 to 10 mph.  Strong
winds yesterday.

    
09/11/2002,SW wind- 3 mph; sunshine; cumulus clouds

    
09/27/2002,Clear sky    
10/24/2002,SW wind- 10 mph; water temp 6 degrees C
(April 18- 2002 ice out.  June 10 - loon born on Jackson Lake)    
05/06/2003,Slight chop; overcast; only a few boats.
Ice out in east basin on April 24- 2003.  First loon sighted April 29-
2003.
(Please note: your form does not include the year 2003).
    
05/24/2003,Clear skies; southeast wind- 8 mph.
Ice out on East Basin April 24.  First loon: April 29.
    
06/11/2003,Cumulus clouds; slight chop.  One inch of rain
yesterday.
    
06/19/2003,Clear skies; mayfly hatch.  Southeast wind- 10 mph.
    
07/06/2003,Mostly cloudy; very slight chop; lots of boats.
    
07/23/2003,Slight chop; nice day.    
08/04/2003,Very slight chop; party cloudy; cumulus clouds.    
08/21/2003,Southwest wind; 10 mph; very warm past two weeks.
    
09/07/2003,Southwest wind; 5-10 mph; has been very windy.
    
10/07/2003,Clear sky; beautiful; leaves at their peak.
    
05/19/2004,Overcast- winds S 15 mph.    
