Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pearl Lake,Waushara,195400,NE,70,,703014,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/02/1976,,,,,19,,51,,,,,,
1,05/13/1976,19.7,,6,,,34,,,,,,,
1,08/12/1976,,,,,,,,,,,,,
1,11/16/1976,,,,,60,,60,,,,,,
8189771,06/16/1998,26,NO,7.9,1.1,,30,,36,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,07/15/1998,22,NO,6.7,1.12,5,33,41,36,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,08/18/1998,18,NO,5.5,2.17,6,35,42,41,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,10/10/1998,15,NO,4.6,3.51,10,38,46,44,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,04/14/1999,15,NO,4.6,,7,38,43,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,06/17/1999,23.5,NO,7.1,0.75,,32,,33,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,07/22/1999,20,NO,6.1,0.98,,34,,35,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,08/20/1999,14,NO,4.3,1.68,8,39,44,39,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,10/18/1999,15.5,NO,4.7,3,11,38,47,43,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,03/27/2000,12.5,NO,3.8,,16,41,50,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,06/19/2000,23,NO,7,1.1,5,32,41,36,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,06/27/2000,22,NO,6.7,,,33,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,07/13/2000,20,NO,6.1,1.2,6,34,42,36,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,07/29/2000,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,08/14/2000,14,NO,4.3,1.3,8,39,44,37,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/30/2000,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/15/2000,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/01/2000,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/17/2000,16,NO,4.9,3,10,37,46,43,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/24/2001,27,NO,8.2,,,30,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/19/2001,23,NO,7,1.3,,32,,37,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/30/2001,29,NO,8.8,,,29,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/16/2001,25,NO,7.6,1,,31,,35,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/01/2001,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/17/2001,23,NO,7,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/20/2001,24,NO,7.3,1.2,,31,,36,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/02/2001,23,NO,7,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/18/2001,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/10/2001,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/17/2001,14,NO,4.3,6,,39,,48,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/20/2001,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/24/2002,30,NO,9.1,,,28,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/17/2002,30,NO,9.1,,8,28,44,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/17/2002,25,NO,7.6,,6,31,42,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/15/2002,22,NO,6.7,1.72,7,33,43,39,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/15/2002,13,NO,4,5.46,13,40,48,48,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/22/2003,20,NO,6.1,,10,34,46,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/17/2003,31,NO,9.4,0.94,,28,,34,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/20/2003,30,NO,9.1,,,28,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/07/2003,21,NO,6.4,,,33,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/16/2003,17.5,NO,5.3,1.45,9,36,45,38,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/07/2003,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/23/2003,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/27/2003,18.25,NO,5.5,1.93,8,35,44,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/08/2003,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/24/2003,14.75,NO,4.5,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/10/2003,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/15/2003,16,NO,4.9,4.3,14,37,49,46,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/20/2004,23,NO,7,,19,32,51,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/14/2004,27,NO,8.2,0.99,7,30,43,35,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/30/2004,27,NO,8.2,,,30,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/08/2004,25,NO,7.6,,,31,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/14/2004,23,NO,7,1.04,8,32,44,35,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/16/2004,24.5,NO,7.4,,,31,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/24/2004,21,NO,6.4,,,33,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/01/2004,20,NO,6.1,,,34,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/09/2004,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/17/2004,18,NO,5.5,2.42,9,35,45,41,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/25/2004,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/02/2004,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/10/2004,19,NO,5.8,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/13/2004,16.25,NO,4.9,2.8,14,37,49,43,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/25/2005,22,NO,6.7,,8,33,44,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,05/24/2005,23,NO,7,,,32,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/01/2005,29,NO,8.8,,,29,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/09/2005,29,NO,8.8,,,29,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/17/2005,30,NO,9.1,,,28,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/19/2005,30,NO,9.1,1.03,12,28,47,35,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/25/2005,28,NO,8.5,,,29,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/03/2005,24,NO,7.3,,,31,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/11/2005,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/18/2005,18,NO,5.5,1.71,7,35,43,39,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/19/2005,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/27/2005,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/04/2005,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/12/2005,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/15/2005,19,NO,5.8,2.32,9,35,45,41,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/20/2005,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/28/2005,17.5,NO,5.3,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/05/2005,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/13/2005,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,09/21/2005,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/16/2005,17.5,NO,5.3,3.58,10,36,46,44,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/14/2006,18,NO,5.5,,13,35,48,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/12/2006,25,NO,7.6,1.25,7,31,43,36,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/15/2006,17,NO,5.2,1.02,12,36,47,35,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/14/2006,15.25,NO,4.6,1.8,11,38,47,39,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/17/2006,15.25,NO,4.6,2.65,15,38,49,42,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,04/30/2007,23,NO,7,,8,32,44,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/18/2007,19,NO,5.8,0.85,6,35,42,34,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/21/2007,17.5,NO,5.3,1.52,8,36,44,38,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/22/2007,17.25,NO,5.2,3.2,8,36,44,44,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/17/2007,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,05/05/2008,11,NO,3.3,,13,43,48,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/18/2008,18.25,NO,5.5,2.06,10,35,46,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/22/2008,16.25,NO,4.9,0.77,7,37,43,33,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/20/2008,17.25,NO,5.2,2.26,9,36,45,41,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/21/2008,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,05/04/2009,16,NO,4.9,,19,37,51,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/15/2009,20,NO,6.1,1.26,11,34,47,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/20/2009,20,NO,6.1,1.51,9,34,45,38,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,08/17/2009,18.25,NO,5.5,1.81,5,35,41,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/16/2009,16.25,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,05/16/2010,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,05/18/2010,,,,,11,,47,,,,,,
8189771,06/09/2010,23,NO,7,1.36,10,32,46,37,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,07/28/2010,15.5,NO,4.7,1.42,8,38,44,37,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189771,08/24/2010,13.5,NO,4.1,2.14,8,40,44,41,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,11/01/2010,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,05/17/2011,25,NO,7.6,,13,31,48,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,06/13/2011,18.25,NO,5.5,2.39,12,35,47,41,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,07/13/2011,17.25,NO,5.2,1.83,8,36,44,39,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,08/15/2011,19.25,NO,5.9,1.62,,35,,38,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189771,10/18/2011,17.25,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,05/01/2012,27.5,NO,8.4,,8,29,44,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,06/13/2012,26.6,NO,8.1,1.71,9,30,45,39,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,07/02/2012,16.5,NO,5,1.64,11,37,47,39,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,08/07/2012,16.25,NO,4.9,2.77,10,37,46,43,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,10/16/2012,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,05/08/2013,24.5,NO,7.4,,15.1,31,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,06/18/2013,20.5,NO,6.2,1.22,7.55,34,44,36,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,07/17/2013,16, ,4.9,1.73,7.46,37,44,39,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
87688239,08/20/2013,16,NO,4.9,2.4,12.9,37,48,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
87688239,05/22/2014,21,NO,6.4,,31.8,33,55,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
87688239,06/23/2014,,,,0.944,7.02,,43,34,,,,,
87688239,06/24/2014,26, ,7.9,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
60710919,07/14/2014,,,,3.26,10.6,,46,44,,,,,
87688239,07/18/2014,12,NO,3.6,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
87688239,08/20/2014,17,NO,5.2,2.4,12.5,36,48,41,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
87688239,05/02/2015,26,NO,7.9,,12.8,30,48,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
60710919,06/16/2015,18, ,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
87688239,06/16/2015,,,,2.11,7.87,,44,40,,,,,
87688239,07/21/2015,16, ,4.9,1.66,8.01,37,44,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
60710919,08/25/2015,, ,,,,,,,,,,,
60710919,08/26/2015,15, ,4.6,,,38,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
121885657,08/26/2015,,,,2,11.5,,47,40,,,,,
128806321,05/21/2016,24,NO,7.3,,15.4,31,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
128806321,06/26/2016,24,NO,7.3,,,31,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
128806321,07/25/2016,16,NO,4.9,,,37,,,NORMAL,45,CLEAR,GREEN,1-Beautiful, could not be nicer
1,07/26/2016,,,,1.46,10.7,,47,38,,,,,
1,09/02/2016,,,,0.935,10.8,,47,34,,,,,
128806321,09/02/2016,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
128806321,05/25/2017,28,NO,8.5,,11.1,29,47,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
128806321,06/26/2017,18,NO,5.5,3.12,14.2,35,49,43,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
128806321,07/29/2017,17,NO,5.2,1.72,12.9,36,48,39,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
128806321,08/26/2017,,,,2.7,12.4,,48,42,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
03/02/1976,,,3,C,12,MG/L
05/13/1976,,,10.4,C,10.9,MG/L
08/12/1976,,,10.2,C,.6,MG/L
11/16/1976,,,4.3,C,12.8,MG/L
08/13/1996,3,FEET,78,DEGREES F,,
08/13/1996,10,FEET,77,DEGREES F,,
08/13/1996,15,FEET,77,DEGREES F,,
08/13/1996,20,FEET,71,DEGREES F,,
08/13/1996,25,FEET,61,DEGREES F,,
08/13/1996,30,FEET,56,DEGREES F,,
08/13/1996,35,FEET,52,DEGREES F,,
08/13/1996,40,FEET,47,DEGREES F,,
08/13/1996,45,FEET,45,DEGREES F,,
10/15/1996,3,FEET,58,DEGREES F,,
10/15/1996,10,FEET,58,DEGREES F,,
10/15/1996,15,FEET,58,DEGREES F,,
10/15/1996,20,FEET,58,DEGREES F,,
10/15/1996,25,FEET,58,DEGREES F,,
10/15/1996,30,FEET,58,DEGREES F,,
10/15/1996,35,FEET,53,DEGREES F,,
10/15/1996,40,FEET,49,DEGREES F,,
10/15/1996,45,FEET,46,DEGREES F,,
04/25/1997,3,FEET,48,DEGREES F,,
04/25/1997,10,FEET,47,DEGREES F,,
04/25/1997,15,FEET,45,DEGREES F,,
04/25/1997,20,FEET,44,DEGREES F,,
04/25/1997,25,FEET,43,DEGREES F,,
04/25/1997,30,FEET,42,DEGREES F,,
04/25/1997,35,FEET,42,DEGREES F,,
04/25/1997,40,FEET,41,DEGREES F,,
04/25/1997,45,FEET,41,DEGREES F,,
06/17/1997,3,FEET,70,DEGREES F,,
06/17/1997,10,FEET,69,DEGREES F,,
06/17/1997,15,FEET,67,DEGREES F,,
06/17/1997,20,FEET,63,DEGREES F,,
06/17/1997,25,FEET,57,DEGREES F,,
06/17/1997,30,FEET,55,DEGREES F,,
06/17/1997,35,FEET,50,DEGREES F,,
06/17/1997,40,FEET,47,DEGREES F,,
06/17/1997,45,FEET,45,DEGREES F,,
07/11/1997,3,FEET,74,DEGREES F,,
07/11/1997,10,FEET,73,DEGREES F,,
07/11/1997,15,FEET,72,DEGREES F,,
07/11/1997,20,FEET,71,DEGREES F,,
07/11/1997,25,FEET,64,DEGREES F,,
07/11/1997,30,FEET,56,DEGREES F,,
07/11/1997,35,FEET,51,DEGREES F,,
07/11/1997,40,FEET,48,DEGREES F,,
07/11/1997,45,FEET,46,DEGREES F,,
08/18/1997,3,FEET,73,DEGREES F,,
08/18/1997,10,FEET,73,DEGREES F,,
08/18/1997,15,FEET,73,DEGREES F,,
08/18/1997,20,FEET,73,DEGREES F,,
08/18/1997,25,FEET,68,DEGREES F,,
08/18/1997,30,FEET,60,DEGREES F,,
08/18/1997,35,FEET,55,DEGREES F,,
08/18/1997,40,FEET,49,DEGREES F,,
08/18/1997,45,FEET,46,DEGREES F,,
08/18/1998,3,FEET,78,DEGREES F,,
08/18/1998,10,FEET,78,DEGREES F,,
08/18/1998,15,FEET,78,DEGREES F,,
08/18/1998,20,FEET,77,DEGREES F,,
08/18/1998,25,FEET,72,DEGREES F,,
08/18/1998,30,FEET,64,DEGREES F,,
08/18/1998,35,FEET,54,DEGREES F,,
08/18/1998,40,FEET,52,DEGREES F,,
10/10/1998,3,FEET,63,DEGREES F,,
10/10/1998,10,FEET,62,DEGREES F,,
10/10/1998,15,FEET,62,DEGREES F,,
10/10/1998,20,FEET,62,DEGREES F,,
10/10/1998,25,FEET,62,DEGREES F,,
10/10/1998,30,FEET,62,DEGREES F,,
10/10/1998,35,FEET,57,DEGREES F,,
10/10/1998,40,FEET,51,DEGREES F,,
04/14/1999,3,FEET,51,DEGREES F,,
04/14/1999,10,FEET,47,DEGREES F,,
04/14/1999,15,FEET,47,DEGREES F,,
04/14/1999,20,FEET,46,DEGREES F,,
04/14/1999,25,FEET,46,DEGREES F,,
04/14/1999,30,FEET,45,DEGREES F,,
04/14/1999,35,FEET,43,DEGREES F,,
04/14/1999,40,FEET,41,DEGREES F,,
04/14/1999,45,FEET,41,DEGREES F,,
06/17/1999,3,FEET,71,DEGREES F,,
06/17/1999,10,FEET,70,DEGREES F,,
06/17/1999,15,FEET,69,DEGREES F,,
06/17/1999,20,FEET,63,DEGREES F,,
06/17/1999,25,FEET,58,DEGREES F,,
06/17/1999,30,FEET,53,DEGREES F,,
06/17/1999,35,FEET,49,DEGREES F,,
06/17/1999,40,FEET,46,DEGREES F,,
06/17/1999,45,FEET,45,DEGREES F,,
07/22/1999,3,FEET,79,DEGREES F,,
07/22/1999,10,FEET,78,DEGREES F,,
07/22/1999,15,FEET,78,DEGREES F,,
07/22/1999,20,FEET,76,DEGREES F,,
07/22/1999,25,FEET,69,DEGREES F,,
07/22/1999,30,FEET,58,DEGREES F,,
07/22/1999,35,FEET,52,DEGREES F,,
07/22/1999,40,FEET,49,DEGREES F,,
07/22/1999,45,FEET,46,DEGREES F,,
08/20/1999,3,FEET,76,DEGREES F,,
08/20/1999,10,FEET,75,DEGREES F,,
08/20/1999,15,FEET,75,DEGREES F,,
08/20/1999,20,FEET,75,DEGREES F,,
08/20/1999,25,FEET,69,DEGREES F,,
08/20/1999,30,FEET,59,DEGREES F,,
08/20/1999,35,FEET,52,DEGREES F,,
08/20/1999,40,FEET,49,DEGREES F,,
08/20/1999,45,FEET,46,DEGREES F,,
10/18/1999,3,FEET,57,DEGREES F,,
10/18/1999,10,FEET,57,DEGREES F,,
10/18/1999,15,FEET,57,DEGREES F,,
10/18/1999,20,FEET,57,DEGREES F,,
10/18/1999,25,FEET,57,DEGREES F,,
10/18/1999,30,FEET,57,DEGREES F,,
10/18/1999,35,FEET,56,DEGREES F,,
10/18/1999,40,FEET,49,DEGREES F,,
10/18/1999,45,FEET,47,DEGREES F,,
03/27/2000,3,FEET,43,DEGREES F,,
03/27/2000,10,FEET,43,DEGREES F,,
03/27/2000,15,FEET,43,DEGREES F,,
03/27/2000,20,FEET,43,DEGREES F,,
03/27/2000,25,FEET,43,DEGREES F,,
03/27/2000,30,FEET,43,DEGREES F,,
03/27/2000,35,FEET,42,DEGREES F,,
03/27/2000,40,FEET,41,DEGREES F,,
06/19/2000,3,FEET,70,DEGREES F,,
06/19/2000,10,FEET,70,DEGREES F,,
06/19/2000,15,FEET,68,DEGREES F,,
06/19/2000,20,FEET,62,DEGREES F,,
06/19/2000,25,FEET,56,DEGREES F,,
06/19/2000,30,FEET,53,DEGREES F,,
06/19/2000,35,FEET,50,DEGREES F,,
06/19/2000,40,FEET,48,DEGREES F,,
06/19/2000,45,FEET,47,DEGREES F,,
07/13/2000,3,FEET,77,DEGREES F,,
07/13/2000,10,FEET,77,DEGREES F,,
07/13/2000,15,FEET,77,DEGREES F,,
07/13/2000,20,FEET,70,DEGREES F,,
07/13/2000,25,FEET,62,DEGREES F,,
07/13/2000,30,FEET,56,DEGREES F,,
07/13/2000,35,FEET,52,DEGREES F,,
07/13/2000,40,FEET,49,DEGREES F,,
07/13/2000,45,FEET,48,DEGREES F,,
08/14/2000,3,FEET,78,DEGREES F,,
08/14/2000,10,FEET,78,DEGREES F,,
08/14/2000,15,FEET,78,DEGREES F,,
08/14/2000,20,FEET,77,DEGREES F,,
08/14/2000,25,FEET,67,DEGREES F,,
08/14/2000,30,FEET,58,DEGREES F,,
08/14/2000,35,FEET,54,DEGREES F,,
08/14/2000,40,FEET,50,DEGREES F,,
08/14/2000,45,FEET,49,DEGREES F,,
10/17/2000,3,FEET,57,DEGREES F,,
10/17/2000,10,FEET,57,DEGREES F,,
10/17/2000,15,FEET,57,DEGREES F,,
10/17/2000,20,FEET,57,DEGREES F,,
10/17/2000,25,FEET,57,DEGREES F,,
10/17/2000,30,FEET,56,DEGREES F,,
10/17/2000,35,FEET,56,DEGREES F,,
10/17/2000,40,FEET,52,DEGREES F,,
10/17/2000,45,FEET,49,DEGREES F,,
04/24/2001,3,FEET,49,DEGREES F,,
