Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hammil Lake,Bayfield,2467900,NO,4,,043148,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189041,06/27/2004,20.5,NO,6.2,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/12/2004,16.75,NO,5.1,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/19/2004,16.25,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/30/2004,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,08/06/2004,14.25,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,08/14/2004,11.75,NO,3.6,,,42,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,09/18/2004,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,09/25/2004,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,10/12/2004,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,05/11/2005,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,05/24/2005,17.25,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,05/31/2005,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,06/13/2005,20.5,NO,6.2,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,06/18/2005,22.25,NO,6.8,,,32,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/13/2005,16.25,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/25/2005,14.25,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,08/11/2005,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,08/24/2005,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,08/30/2005,9.25,NO,2.8,,,45,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189041,09/08/2005,9.75,NO,3,,,44,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,09/21/2005,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,05/07/2006,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/22/2006,17.25,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,05/25/2006,17.5,NO,5.3,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,06/11/2006,25,NO,7.6,,,31,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,06/22/2006,21,NO,6.4,2.01,16,33,50,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,06/30/2006,16.25,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/11/2006,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,07/23/2006,10.75,NO,3.3,2.03,11,43,47,40,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,08/11/2006,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/20/2006,12.5,NO,3.8,4.06,6,41,42,45,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/27/2006,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,09/10/2006,14.25,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,09/21/2006,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,09/30/2006,10.75,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,04/22/2007,9.75,NO,3,,18,44,51,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/11/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/20/2007,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/30/2007,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/10/2007,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/16/2007,18.75,NO,5.7,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/24/2007,19.5,NO,5.9,1.66,7,34,43,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/08/2007,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/17/2007,13.75,NO,4.2,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/22/2007,12,NO,3.6,2.91,9,41,45,43,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/28/2007,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/06/2007,13.75,NO,4.2,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/19/2007,9.5,NO,2.9,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,08/22/2007,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,08/26/2007,8.75,NO,2.7,4.97,9,46,45,47,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,09/12/2007,9.5,NO,2.9,,,45,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,09/20/2007,9.75,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,10/12/2007,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/13/2008,8,NO,2.4,,22,47,52,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,05/19/2008,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,05/29/2008,11.25,NO,3.4,,,42,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,06/02/2008,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/08/2008,18.25,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/19/2008,20,NO,6.1,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,06/22/2008,16.5,NO,5,0.93,10,37,46,34,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/04/2008,14.75,NO,4.5,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189041,07/14/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,07/20/2008,9.75,NO,3,0.5,9,44,45,30,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,08/02/2008,11.25,NO,3.4,,,42,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,08/17/2008,11.5,NO,3.5,,,42,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,08/24/2008,11,NO,3.3,5.28,9,43,45,47,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,09/05/2008,10.75,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,09/17/2008,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,09/28/2008,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/03/2009,12.25,NO,3.7,,17,41,50,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,05/10/2009,15.75,NO,4.8,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/25/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/31/2009,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/14/2009,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/21/2009,14,NO,4.3,1.34,13,39,48,37,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/27/2009,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/07/2009,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/19/2009,11.5,NO,3.5,2.68,11,42,47,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/31/2009,12.25,NO,3.7,,,41,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189041,08/07/2009,12.25,NO,3.7,,,41,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189041,08/22/2009,12,NO,3.6,3.55,11,41,47,44,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/30/2009,11.25,NO,3.4,,,42,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,09/15/2009,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,09/22/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,09/27/2009,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,04/12/2010,10.75,NO,3.3,,15,43,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/15/2010,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/24/2010,21.75,NO,6.6,,,33,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8189041,05/31/2010,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/06/2010,19.5,NO,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/20/2010,16.25,NO,4.9,1.43,9,37,45,38,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/30/2010,17.25,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,07/11/2010,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/25/2010,13.5,NO,4.1,3.1,7,40,43,43,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,07/31/2010,12.5,NO,3.8,,,41,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189041,08/08/2010,11.25,NO,3.4,,,42,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189041,08/22/2010,8.75,NO,2.7,6.42,11,46,47,49,LOW,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
8189041,08/29/2010,8.75,NO,2.7,,,46,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189041,09/05/2010,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189041,09/19/2010,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,04/24/2011,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/08/2011,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/20/2011,14,NO,4.3,,12,39,47,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/05/2011,19.75,NO,6,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/12/2011,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/19/2011,19.25,NO,5.9,3.3,11,35,47,44,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/01/2011,17.25,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/18/2011,12.25,NO,3.7,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/24/2011,11.25,NO,3.4,4.17,9,42,45,46,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/06/2011,10.75,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,08/21/2011,9,NO,2.7,6.89,11,45,47,49,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/28/2011,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,04/15/2012,17.25,NO,5.2,,9,36,45,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/13/2012,20.5,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/24/2012,18,NO,5.5,,,35,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8189041,05/31/2012,16.75,NO,5.1,,,37,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8189041,06/16/2012,21.25,NO,6.5,,,33,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8189041,06/24/2012,16,NO,4.9,3.64,13,37,48,45,NORMAL,,,BLUE,1-Beautiful, could not be nicer
8189041,07/04/2012,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/14/2012,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/22/2012,13,NO,4,5.13,12,40,47,47,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,08/12/2012,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,08/19/2012,11,NO,3.3,5.44,7,43,43,48,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,09/30/2012,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/27/2013,10,NO,3,,27,44,54,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8189041,06/16/2013,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/23/2013,17.25,NO,5.2,2.08,8.14,36,44,40,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/30/2013,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,07/14/2013,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/21/2013,17.5,NO,5.3,2.87,6.08,36,42,43,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/04/2013,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/11/2013,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189041,08/25/2013,13.5,NO,4.1,1.97,11.2,40,47,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/18/2014,13.25,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/25/2014,13.75,NO,4.2,,14.9,39,49,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/08/2014,18.75,NO,5.7,,,35,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/22/2014,14.75,NO,4.5,2.16,6.86,38,43,41,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,07/20/2014,14.25,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/27/2014,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/30/2014,,,,2.25,8.24,,45,41,,,,,
8189041,08/10/2014,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/24/2014,15.5,NO,4.7,3.39,10.7,38,47,44,HIGH,,CLEAR,,1-Beautiful, could not be nicer
8189041,09/09/2014,13,NO,4,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,04/14/2015,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/10/2015,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/23/2015,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/25/2015,,,,,15.9,,50,,,,,,
8189041,06/21/2015,14,NO,4.3,3.6,16.7,39,50,44,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,06/28/2015,15.75, ,4.8,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,07/19/2015,18.75,NO,5.7,2.32,11.6,35,47,41,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/26/2015,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/16/2015,12.5,NO,3.8,3.25,10.1,41,46,44,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/31/2015,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,05/08/2016,15,NO,4.6,,15.8,38,50,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/30/2016,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/19/2016,15,NO,4.6,1.9,10,38,46,40,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/28/2016,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/16/2016,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/23/2016,14,NO,4.3,1.96,15.2,39,49,40,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,07/31/2016,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,08/13/2016,12.75,NO,3.9,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,08/28/2016,,NO,,5.07,10.9,,47,47,HIGH,11.5,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,04/29/2017,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/14/2017,17.75,NO,5.4,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,05/28/2017,18.75,NO,5.7,,17.9,35,50,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/11/2017,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,06/25/2017,13.5,NO,4.1,2.62,18.2,40,51,42,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/11/2017,17.25,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,07/23/2017,17,NO,5.2,2.14,14.7,36,49,41,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189041,08/13/2017,18.75,NO,5.7,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189041,08/27/2017,14,NO,4.3,4.63,11.2,39,47,46,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/25/2006,0,FEET,62.4,DEGREES F,,
05/25/2006,5,FEET,61.8,DEGREES F,7,MG/L
05/25/2006,10,FEET,59.7,DEGREES F,,
05/25/2006,15,FEET,56.8,DEGREES F,7,MG/L
05/25/2006,20,FEET,54.5,DEGREES F,7,MG/L
05/25/2006,25,FEET,50,DEGREES F,7,MG/L
05/25/2006,30,FEET,49.8,DEGREES F,7,MG/L
05/25/2006,35,FEET,48.5,DEGREES F,7,MG/L
06/22/2006,0,FEET,71.6,DEGREES F,,
06/22/2006,5,FEET,71.6,DEGREES F,7,MG/L
06/22/2006,10,FEET,71.6,DEGREES F,,
06/22/2006,15,FEET,71.4,DEGREES F,7,MG/L
06/22/2006,20,FEET,62.9,DEGREES F,7,MG/L
06/22/2006,25,FEET,57,DEGREES F,6,MG/L
06/22/2006,30,FEET,50.3,DEGREES F,5,MG/L
06/22/2006,35,FEET,46.7,DEGREES F,4,MG/L
06/22/2006,40,FEET,44.9,DEGREES F,,
06/22/2006,44,FEET,44.2,DEGREES F,2,MG/L
06/22/2006,45,FEET,44,DEGREES F,,
07/23/2006,0,FEET,76.4,DEGREES F,,
07/23/2006,5,FEET,76.8,DEGREES F,7,MG/L
07/23/2006,10,FEET,76.8,DEGREES F,,
