Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Bills Lake,Vilas,1835500,NO,64,,643478,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189706,07/24/1997,16.42,NO,5,,,37,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189706,08/14/1998,15.75,NO,4.8,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189706,08/21/1998,16.75,NO,5.1,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,08/27/1998,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/03/1998,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/11/1998,16.75,NO,5.1,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/17/1998,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,09/25/1998,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,10/02/1998,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,10/09/1998,17.75,NO,5.4,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/17/1999,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/27/1999,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/03/1999,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/11/1999,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/18/1999,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/25/1999,13.75,NO,4.2,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/02/1999,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/10/1999,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/16/1999,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/23/1999,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/31/1999,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/06/1999,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/14/1999,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/21/1999,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/28/1999,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/06/1999,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/17/1999,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/27/1999,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,10/04/1999,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,10/14/1999,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,05/05/2000,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,05/15/2000,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/26/2000,17.25,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/05/2000,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/18/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/25/2000,13,NO,4,,,40,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8189463,07/04/2000,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/20/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/29/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/05/2000,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/13/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/15/2000,9,NO,2.7,7,18,45,51,50,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/21/2000,8.75,NO,2.7,,,46,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/06/2000,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/13/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/25/2000,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,10/11/2000,14,NO,4.3,4,15,39,49,45,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,04/30/2001,11,NO,3.3,,11,43,47,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8189463,05/12/2001,11.25,NO,3.4,,,42,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8189463,05/28/2001,11,NO,3.3,,,43,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8189463,06/11/2001,11.5,NO,3.5,1.2,10,42,46,36,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8189463,06/21/2001,10.5,NO,3.2,,,43,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8189463,06/30/2001,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/09/2001,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/24/2001,12.5,NO,3.8,5,12,41,47,47,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/08/2001,12.25,NO,3.7,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,08/14/2001,10,NO,3,5.4,9,44,45,48,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8189463,08/24/2001,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/03/2001,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,09/25/2001,16.25,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,10/09/2001,16,NO,4.9,2.1,8,37,44,40,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,05/07/2002,12,NO,3.6,,13,41,48,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/27/2002,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/12/2002,16,NO,4.9,1.14,12,37,47,36,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,06/24/2002,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,07/08/2002,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,07/10/2002,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,07/22/2002,13.5,NO,4.1,1.65,14,40,49,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,07/26/2002,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189463,08/05/2002,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,08/09/2002,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,08/19/2002,11.5,NO,3.5,2.53,12,42,47,42,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,08/27/2002,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,09/02/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,09/12/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,09/16/2002,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189463,10/01/2002,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189463,10/14/2002,15,NO,4.6,5.05,13,38,48,47,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,04/27/2003,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/15/2003,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,05/29/2003,16.5,NO,5,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,06/16/2003,9.5,NO,2.9,1.8,12,45,47,39,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,06/27/2003,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,07/13/2003,11.75,NO,3.6,,,42,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,07/22/2003,13.5,NO,4.1,4.63,13,40,48,46,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,07/26/2003,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,07/29/2003,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,08/11/2003,12.75,NO,3.9,1.85,10,40,46,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,08/25/2003,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,08/30/2003,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,09/08/2003,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,09/15/2003,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,09/22/2003,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189706,05/07/2004,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/08/2004,,,,,15,,49,,,,,,
8189706,05/28/2004,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/12/2004,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,06/21/2004,10,NO,3,2.95,12,44,47,43,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189706,05/21/2005,15,NO,4.6,,14,38,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191303,06/10/2005,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191303,06/20/2005,15,NO,4.6,1.64,9,38,45,39,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,07/02/2005,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191296,07/06/2005,11.25,NO,3.4,,,42,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,07/08/2005,13,NO,4,2.36,10,40,46,41,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/10/2005,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,07/18/2005,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/03/2005,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/19/2005,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,08/22/2005,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191299,08/22/2005,,,,6.15,10,,46,49,,,,,
8191299,08/27/2005,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191299,09/04/2005,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191299,09/20/2005,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191299,10/11/2005,13,NO,4,8.17,14,40,49,51,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191299,05/22/2006,,,,,16,,50,,,,,,
8191299,06/03/2006,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,06/11/2006,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,06/18/2006,,,,3.57,15,,49,44,,,,,
8191299,06/19/2006,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,06/27/2006,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,07/05/2006,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,07/11/2006,,,,2.95,20,,51,43,,,,,
8191299,07/13/2006,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,07/21/2006,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,07/29/2006,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,08/22/2006,12,NO,3.6,4.22,13,41,48,46,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,08/30/2006,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/07/2006,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/15/2006,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,10/17/2006,,,,7.8,18,,51,50,,,,,
8191299,05/14/2007,,,,,15,,49,,,,,,
8191299,05/29/2007,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/08/2007,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/18/2007,,,,2.43,11,,47,42,,,,,
8191299,06/22/2007,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/30/2007,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/08/2007,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/16/2007,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/24/2007,13,NO,4,4.05,20,40,51,45,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,08/01/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,08/17/2007,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,08/25/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,08/27/2007,,,,3.64,9,,45,45,,,,,
8191299,09/02/2007,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/10/2007,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/26/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,10/07/2007,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,05/19/2008,,,,,19,,51,,,,,,
8191296,06/01/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,06/09/2008,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,06/16/2008,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/16/2008,,,,2.27,13,,48,41,,,,,
8191296,06/24/2008,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,07/03/2008,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,07/11/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,07/19/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191282,07/21/2008,,,,2.85,10,,46,43,,,,,
8191296,07/27/2008,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,08/03/2008,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,08/11/2008,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,08/19/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191282,08/26/2008,,,,3.2,11,,47,44,,,,,
8191296,08/26/2008,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191296,09/20/2008,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191282,05/25/2009,,,,,11,,47,,,,,,
8191299,06/03/2009,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/12/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/19/2009,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191282,06/23/2009,,,,1.89,10,,46,40,,,,,
8191299,07/05/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/20/2009,18,YES,5.5,2.09,9,35,45,40,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/29/2009,18,YES,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/06/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/14/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191282,08/23/2009,,,,3.4,15,,49,44,,,,,
8191299,08/23/2009,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/30/2009,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,09/15/2009,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191282,05/24/2010,,,,,11,,47,,,,,,
8191299,05/29/2010,18,YES,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/22/2010,18,YES,5.5,1.9,9,35,45,40,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/30/2010,18,YES,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/08/2010,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/16/2010,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/25/2010,14,NO,4.3,5.55,14,39,49,48,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/10/2010,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/17/2010,15,NO,4.6,2.83,10,38,46,43,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/25/2010,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/10/2010,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/27/2010,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,05/23/2011,,,,,7,,43,,,,,,
8191299,06/09/2011,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/17/2011,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/25/2011,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/27/2011,,,,2.61,14,,49,42,,,,,
8191299,07/03/2011,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/12/2011,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,07/19/2011,12,NO,3.6,4.23,12,41,47,46,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/04/2011,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/21/2011,13,NO,4,5.71,11,40,47,48,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,08/28/2011,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,09/05/2011,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,09/13/2011,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,10/06/2011,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191299,05/21/2012,,,,,15,,49,,,,,,
8191299,05/26/2012,9,NO,2.7,,,45,,,NORMAL,,MURKY,BLUE,2-Very minor aesthetic problems
8191299,06/03/2012,10,NO,3,,,44,,,NORMAL,,MURKY,BLUE,2-Very minor aesthetic problems
8191299,06/11/2012,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191299,06/26/2012,9,NO,2.7,6.31,17,45,50,49,NORMAL,,MURKY,BLUE,2-Very minor aesthetic problems
8191299,07/05/2012,10,NO,3,,,44,,,NORMAL,,MURKY,BLUE,2-Very minor aesthetic problems
8191299,07/13/2012,12,NO,3.6,,,41,,,NORMAL,,MURKY,BLUE,2-Very minor aesthetic problems
8191299,07/21/2012,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
