Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Whitefish Lake,Douglas,2694000,NO,16,,163388,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/04/1998,,,,,,,,,,,,,
1,04/21/1998,,,,1.08,,,,35,,,,,
1,06/10/1998,,,,1.85,,,,39,,,,,
1,07/09/1998,,,,0.8,5,,41,33,,,,,
1,08/12/1998,,,,1.01,,,,35,,,,,
1,03/03/1999,,,,,,,,,,,,,
1,04/14/1999,,,,0.53,,,,30,,,,,
8191347,07/13/2005,30,NO,9.1,,,28,,,NORMAL,,,,1-Beautiful, could not be nicer
8188630,07/20/2005,,,,0.91,,,,34,,,,,
8191347,07/29/2005,27,NO,8.2,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/01/2005,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,08/17/2005,,,,1.3,9,,45,37,,,,,
8191347,08/23/2005,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,09/16/2005,,,,3.09,10,,46,43,,,,,
1,04/25/2006,,,,4.85,6,,42,47,,,,,
8191347,05/03/2006,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/05/2006,,,,1.48,8,,44,38,,,,,
8191347,06/10/2006,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/27/2006,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/05/2006,,,,0.94,,,,34,,,,,
8191347,07/14/2006,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/17/2006,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/01/2006,,,,2.12,7,,43,40,,,,,
8191347,08/26/2006,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
1,09/07/2006,,,,1.46,8,,44,38,,,,,
8191347,10/17/2006,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/14/2007,32,NO,9.7,,,27,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/01/2007,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/20/2007,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/16/2007,24,NO,7.3,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/15/2007,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/21/2008,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/23/2008,34,NO,10.3,,,26,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/23/2008,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/08/2008,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/19/2008,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/11/2009,33,NO,10,,,27,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/14/2009,34,NO,10.3,,,26,,,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8191347,08/24/2009,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/19/2010,,,,,11,,47,,,,,,
8191347,05/19/2010,42,NO,12.8,,,23,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/22/2010,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/23/2010,,,,2.21,7,,43,41,,,,,
8191347,08/02/2010,23,NO,7,1.35,,32,,37,NORMAL,,CLEAR,BLUE,
8191347,08/17/2010,23,NO,7,1.46,8,32,44,38,NORMAL,,CLEAR,BLUE,
8191347,07/18/2011,26,NO,7.9,1.56,9,30,45,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/30/2011,23,NO,7,1.68,10,32,46,39,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/26/2012,20,NO,6.1,2.04,10,34,46,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/02/2012,25,NO,7.6,1.63,9,31,45,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/20/2012,,,,25.2,8,,44,59,,,,,
8191347,08/29/2012,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/03/2013,26,NO,7.9,,11.8,30,47,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/25/2013,39,NO,11.9,,,24,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/26/2013,38,NO,11.6,1.57,,25,,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/29/2013,,,,1.69,7.15,,43,39,,,,,
8191347,09/09/2013,,,,,10.3,,46,,,,,,
8191347,06/09/2014,21,NO,6.4,1.53,7.99,33,44,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/23/2014,27,NO,8.2,1.12,8.11,30,44,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,09/02/2014,26,NO,7.9,,7.78,30,44,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/20/2015,,,,,13.3,,48,,,,,,
8191347,06/29/2015,29,NO,8.8,0.972,9.52,29,46,35,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/12/2015,22,NO,6.7,1.34,8.37,30,45,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/18/2016,32,NO,9.7,,11.4,27,47,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
36798439,05/18/2016,32,NO,9.7,,,27,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/25/2016,,,,0.64,7.5,,44,31,,,,,
8191347,07/26/2016,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/24/2016,22,NO,6.7,0.987,9.39,33,46,35,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/31/2017,,,,0.874,13.4,,48,34,,,,,
8191347,07/31/2017,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/16/2017,,,,,,,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
146981912,08/16/2017,,,,1.4,12.3,,48,37,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/18/2003,0,FEET,78.3,DEGREES F,8.3,MG/L
08/18/2003,3,FEET,78.3,DEGREES F,8.3,MG/L
08/18/2003,10,FEET,78.2,DEGREES F,8.3,MG/L
08/18/2003,20,FEET,77.6,DEGREES F,8.4,MG/L
08/18/2003,30,FEET,66.5,DEGREES F,10.3,MG/L
08/18/2003,35,FEET,58.8,DEGREES F,8.2,MG/L
08/18/2003,40,FEET,55.8,DEGREES F,3.8,MG/L
08/18/2003,50,FEET,52.8,DEGREES F,1.7,MG/L
08/18/2003,56,FEET,52.4,DEGREES F,1.9,MG/L
09/09/2003,0,FEET,72.2,DEGREES F,9.3,MG/L
09/09/2003,3,FEET,72.1,DEGREES F,9.2,MG/L
09/09/2003,10,FEET,72,DEGREES F,9.2,MG/L
09/09/2003,20,FEET,71.6,DEGREES F,9.2,MG/L
09/09/2003,30,FEET,70.7,DEGREES F,9.1,MG/L
09/09/2003,35,FEET,58.7,DEGREES F,4.1,MG/L
09/09/2003,40,FEET,57.5,DEGREES F,3.1,MG/L
09/09/2003,50,FEET,52.9,DEGREES F,1.7,MG/L
10/10/2003,0,FEET,55.6,DEGREES F,10.5,MG/L
10/10/2003,3,FEET,55.6,DEGREES F,10.3,MG/L
10/10/2003,10,FEET,55.5,DEGREES F,10.2,MG/L
10/10/2003,20,FEET,55.5,DEGREES F,10.2,MG/L
10/10/2003,30,FEET,55.4,DEGREES F,10.2,MG/L
10/10/2003,35,FEET,55.3,DEGREES F,10.1,MG/L
10/10/2003,40,FEET,55.2,DEGREES F,10.1,MG/L
10/10/2003,50,FEET,55.1,DEGREES F,10,MG/L
05/25/2004,1,FEET,53.4,DEGREES F,10.4,MG/L
05/25/2004,3,FEET,53.3,DEGREES F,10.4,MG/L
05/25/2004,10,FEET,53.3,DEGREES F,10.3,MG/L
05/25/2004,20,FEET,53.2,DEGREES F,10.3,MG/L
05/25/2004,30,FEET,53.2,DEGREES F,10.3,MG/L
05/25/2004,35,FEET,53.1,DEGREES F,10.3,MG/L
05/25/2004,40,FEET,52.9,DEGREES F,10.2,MG/L
05/25/2004,50,FEET,52.9,DEGREES F,10.2,MG/L
05/25/2004,55,FEET,52.7,DEGREES F,10,MG/L
06/15/2004,1,FEET,65.8,DEGREES F,9.1,MG/L
06/15/2004,3,FEET,65.7,DEGREES F,9.1,MG/L
06/15/2004,10,FEET,65.1,DEGREES F,9.1,MG/L
06/15/2004,20,FEET,63.5,DEGREES F,9.3,MG/L
06/15/2004,30,FEET,60.5,DEGREES F,9.3,MG/L
06/15/2004,35,FEET,57.6,DEGREES F,8.7,MG/L
06/15/2004,40,FEET,56.5,DEGREES F,8,MG/L
06/15/2004,50,FEET,55.5,DEGREES F,6,MG/L
06/15/2004,55,FEET,55.2,DEGREES F,4.1,MG/L
07/20/2004,1,FEET,75.4,DEGREES F,8.6,MG/L
07/20/2004,3,FEET,74.1,DEGREES F,8.5,MG/L
07/20/2004,10,FEET,73.4,DEGREES F,8.4,MG/L
07/20/2004,20,FEET,70.3,DEGREES F,9.6,MG/L
07/20/2004,30,FEET,65.9,DEGREES F,9.6,MG/L
07/20/2004,35,FEET,62,DEGREES F,7.4,MG/L
07/20/2004,40,FEET,59.2,DEGREES F,4,MG/L
07/20/2004,50,FEET,56.2,DEGREES F,.7,MG/L
07/20/2004,55,FEET,55.7,DEGREES F,.6,MG/L
08/16/2004,0,FEET,74.8,DEGREES F,9.3,MG/L
08/16/2004,3,FEET,74.8,DEGREES F,9.5,MG/L
08/16/2004,10,FEET,74.8,DEGREES F,9,MG/L
08/16/2004,15,FEET,74.8,DEGREES F,8.9,MG/L
08/16/2004,20,FEET,74.7,DEGREES F,8.8,MG/L
08/16/2004,30,FEET,73.7,DEGREES F,8.3,MG/L
08/16/2004,35,FEET,61.2,DEGREES F,4,MG/L
08/16/2004,40,FEET,58.6,DEGREES F,1.4,MG/L
08/16/2004,50,FEET,55,DEGREES F,1.2,MG/L
08/16/2004,55,FEET,54.3,DEGREES F,1.3,MG/L
09/07/2004,1,FEET,68.4,DEGREES F,8.7,MG/L
09/07/2004,3,FEET,68.4,DEGREES F,8.5,MG/L
09/07/2004,10,FEET,68.4,DEGREES F,8.4,MG/L
09/07/2004,20,FEET,68.1,DEGREES F,8.4,MG/L
09/07/2004,30,FEET,67.5,DEGREES F,8.2,MG/L
09/07/2004,35,FEET,66.4,DEGREES F,7.3,MG/L
09/07/2004,40,FEET,64.9,DEGREES F,4.9,MG/L
09/07/2004,50,FEET,56.3,DEGREES F,.8,MG/L
09/07/2004,55,FEET,55.5,DEGREES F,.6,MG/L
10/06/2004,1,FEET,58.7,DEGREES F,9.2,MG/L
10/06/2004,3,FEET,58.7,DEGREES F,9,MG/L
10/06/2004,10,FEET,58.7,DEGREES F,9,MG/L
10/06/2004,20,FEET,58.7,DEGREES F,8.8,MG/L
10/06/2004,30,FEET,58.7,DEGREES F,8.9,MG/L
10/06/2004,35,FEET,58.7,DEGREES F,8.7,MG/L
10/06/2004,40,FEET,58.7,DEGREES F,8.8,MG/L
10/06/2004,50,FEET,58.6,DEGREES F,8.8,MG/L
10/06/2004,55,FEET,58.6,DEGREES F,0,MG/L
05/10/2005,0,FEET,53.3,DEGREES F,11.6,MG/L
05/10/2005,3,FEET,53.2,DEGREES F,11.6,MG/L
05/10/2005,10,FEET,53,DEGREES F,11.5,MG/L
05/10/2005,20,FEET,50.3,DEGREES F,11.9,MG/L
05/10/2005,25,FEET,49,DEGREES F,11.9,MG/L
05/10/2005,30,FEET,47.9,DEGREES F,11.8,MG/L
05/10/2005,35,FEET,47.7,DEGREES F,11.5,MG/L
05/10/2005,40,FEET,47.6,DEGREES F,11.4,MG/L
05/10/2005,45,FEET,47.5,DEGREES F,11.3,MG/L
05/10/2005,50,FEET,47.3,DEGREES F,11.2,MG/L
05/10/2005,56,FEET,47.1,DEGREES F,.5,MG/L
06/20/2005,0,FEET,72.3,DEGREES F,11.1,MG/L
06/20/2005,3,FEET,71.1,DEGREES F,11.1,MG/L
06/20/2005,10,FEET,70.6,DEGREES F,10.7,MG/L
06/20/2005,20,FEET,66.3,DEGREES F,10.6,MG/L
06/20/2005,25,FEET,59.8,DEGREES F,11,MG/L
06/20/2005,30,FEET,55.9,DEGREES F,10.9,MG/L
06/20/2005,35,FEET,53.7,DEGREES F,9.5,MG/L
06/20/2005,40,FEET,53,DEGREES F,8.7,MG/L
06/20/2005,45,FEET,52.4,DEGREES F,8.2,MG/L
06/20/2005,50,FEET,51.8,DEGREES F,5.2,MG/L
06/20/2005,56,FEET,51.6,DEGREES F,4.3,MG/L
07/13/2005,0,FEET,80,DEGREES F,9.7,MG/L
07/13/2005,3,FEET,78,DEGREES F,9.2,MG/L
07/13/2005,10,FEET,77.1,DEGREES F,9.4,MG/L
07/13/2005,20,FEET,73,DEGREES F,9.3,MG/L
07/13/2005,25,FEET,70.3,DEGREES F,9.3,MG/L
07/13/2005,30,FEET,61.6,DEGREES F,9.4,MG/L
07/13/2005,35,FEET,56.9,DEGREES F,7.9,MG/L
07/13/2005,40,FEET,55.7,DEGREES F,6.7,MG/L
07/13/2005,45,FEET,55,DEGREES F,5.8,MG/L
07/13/2005,50,FEET,54.3,DEGREES F,3.8,MG/L
07/13/2005,56,FEET,53.8,DEGREES F,1.8,MG/L
08/23/2005,0,FEET,71.6,DEGREES F,11.3,MG/L
08/23/2005,3,FEET,71.6,DEGREES F,11,MG/L
08/23/2005,10,FEET,71.6,DEGREES F,10.8,MG/L
08/23/2005,20,FEET,71.6,DEGREES F,10.4,MG/L
08/23/2005,25,FEET,71.2,DEGREES F,9.9,MG/L
08/23/2005,30,FEET,70.8,DEGREES F,9.6,MG/L
08/23/2005,35,FEET,64.4,DEGREES F,6.8,MG/L
08/23/2005,40,FEET,59.6,DEGREES F,2.4,MG/L
08/23/2005,45,FEET,59.9,DEGREES F,2.2,MG/L
08/23/2005,50,FEET,59.9,DEGREES F,2.1,MG/L
05/03/2006,0,FEET,52,DEGREES F,12.9,MG/L
05/03/2006,3,FEET,51.9,DEGREES F,12.7,MG/L
05/03/2006,10,FEET,51.8,DEGREES F,12.6,MG/L
05/03/2006,20,FEET,51.2,DEGREES F,12.4,MG/L
05/03/2006,25,FEET,50.4,DEGREES F,12.3,MG/L
05/03/2006,30,FEET,49.5,DEGREES F,12.3,MG/L
05/03/2006,35,FEET,47,DEGREES F,11.6,MG/L
05/03/2006,40,FEET,46.3,DEGREES F,11.1,MG/L
05/03/2006,45,FEET,45.7,DEGREES F,10.5,MG/L
05/03/2006,50,FEET,45.6,DEGREES F,10.2,MG/L
06/10/2006,0,FEET,68.4,DEGREES F,,
06/10/2006,2,FEET,68.5,DEGREES F,,
06/10/2006,24,FEET,64.4,DEGREES F,,
06/10/2006,26,FEET,58.7,DEGREES F,,
06/10/2006,28,FEET,56.1,DEGREES F,,
06/10/2006,30,FEET,55.6,DEGREES F,,
06/10/2006,32,FEET,54.6,DEGREES F,,
06/10/2006,40,FEET,53.3,DEGREES F,,
06/10/2006,45,FEET,52.4,DEGREES F,,
06/10/2006,50,FEET,52.1,DEGREES F,,
06/27/2006,0,FEET,0,DEGREES F,0,MG/L
06/27/2006,5,FEET,71.4,DEGREES F,10.7,MG/L
06/27/2006,10,FEET,71.3,DEGREES F,10.3,MG/L
06/27/2006,15,FEET,71.1,DEGREES F,10.2,MG/L
06/27/2006,20,FEET,70.6,DEGREES F,10.1,MG/L
06/27/2006,30,FEET,58.8,DEGREES F,10.4,MG/L
06/27/2006,35,FEET,56,DEGREES F,8.7,MG/L
06/27/2006,40,FEET,55,DEGREES F,6.8,MG/L
06/27/2006,50,FEET,54.5,DEGREES F,2,MG/L
06/27/2006,53,FEET,53.5,DEGREES F,1.6,MG/L
07/17/2006,0,FEET,78.7,DEGREES F,10.4,MG/L
07/17/2006,3,FEET,78.7,DEGREES F,9.8,MG/L
07/17/2006,10,FEET,78.5,DEGREES F,9.5,MG/L
07/17/2006,15,FEET,78.1,DEGREES F,9.3,MG/L
07/17/2006,20,FEET,77.9,DEGREES F,9.2,MG/L
07/17/2006,30,FEET,61.3,DEGREES F,9.7,MG/L
07/17/2006,35,FEET,58.1,DEGREES F,6.8,MG/L
07/17/2006,40,FEET,56.3,DEGREES F,4.5,MG/L
07/17/2006,50,FEET,54.5,DEGREES F,1.6,MG/L
10/17/2006,0,FEET,51,DEGREES F,11.5,MG/L
10/17/2006,3,FEET,51,DEGREES F,10.8,MG/L
10/17/2006,5,FEET,51,DEGREES F,10.5,MG/L
10/17/2006,10,FEET,50.9,DEGREES F,10.5,MG/L
10/17/2006,15,FEET,50.9,DEGREES F,10.5,MG/L
10/17/2006,20,FEET,50.9,DEGREES F,10.5,MG/L
10/17/2006,30,FEET,50.9,DEGREES F,10.1,MG/L
10/17/2006,35,FEET,50.9,DEGREES F,10.2,MG/L
10/17/2006,40,FEET,50.9,DEGREES F,9.8,MG/L
05/14/2007,0,FEET,59,DEGREES F,12.1,MG/L
05/14/2007,3,FEET,58.8,DEGREES F,11.9,MG/L
05/14/2007,10,FEET,58.7,DEGREES F,11.7,MG/L
05/14/2007,20,FEET,58.5,DEGREES F,11.6,MG/L
05/14/2007,25,FEET,56.3,DEGREES F,11.9,MG/L
05/14/2007,30,FEET,51.9,DEGREES F,12.8,MG/L
05/14/2007,35,FEET,49.2,DEGREES F,12.9,MG/L
05/14/2007,40,FEET,49.1,DEGREES F,12.7,MG/L
05/14/2007,50,FEET,48.2,DEGREES F,3.7,MG/L
06/20/2007,0,FEET,70.9,DEGREES F,11.1,MG/L
06/20/2007,3,FEET,70.9,DEGREES F,10.9,MG/L
06/20/2007,10,FEET,70.7,DEGREES F,10.8,MG/L
06/20/2007,20,FEET,70.5,DEGREES F,10.6,MG/L
06/20/2007,25,FEET,68.7,DEGREES F,11,MG/L
06/20/2007,30,FEET,65.7,DEGREES F,11.3,MG/L
06/20/2007,35,FEET,62.7,DEGREES F,11.1,MG/L
06/20/2007,40,FEET,60.8,DEGREES F,10.1,MG/L
06/20/2007,50,FEET,52.4,DEGREES F,6.5,MG/L
07/16/2007,0,FEET,73.2,DEGREES F,10.2,MG/L
07/16/2007,3,FEET,72.3,DEGREES F,10.1,MG/L
07/16/2007,10,FEET,71.8,DEGREES F,10.1,MG/L
07/16/2007,20,FEET,71.1,DEGREES F,10,MG/L
07/16/2007,25,FEET,70.9,DEGREES F,9.8,MG/L
07/16/2007,30,FEET,70.3,DEGREES F,9.5,MG/L
07/16/2007,35,FEET,62.6,DEGREES F,7.8,MG/L
07/16/2007,40,FEET,59.5,DEGREES F,4.8,MG/L
07/16/2007,50,FEET,53.6,DEGREES F,3.5,MG/L
07/16/2007,55,FEET,53,DEGREES F,3.5,MG/L
08/15/2007,0,FEET,76.3,DEGREES F,11,MG/L
08/15/2007,3,FEET,76.2,DEGREES F,10.8,MG/L
08/15/2007,10,FEET,76.1,DEGREES F,10.8,MG/L
08/15/2007,20,FEET,75.9,DEGREES F,10.6,MG/L
