Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Amik Lake,Vilas,2268600,NO,64,,643220,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/13/1984,4.3,,1.3,15,,56,,55,,,,,
1,10/10/1985,3,,0.9,,23,62,52,,,,,,
8189650,08/09/2000,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/21/2000,4.75,YES,1.4,,37,55,56,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189650,08/28/2000,9,YES,2.7,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189535,09/05/2000,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,10/09/2000,6.25,NO,1.9,4.7,24,51,53,46,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189651,10/09/2000,8,YES,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,10/31/2000,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,05/18/2001,3.25,NO,1,,,60,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189430,05/30/2001,4.25,NO,1.3,,33,56,55,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,05/30/2001,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,06/22/2001,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189430,06/25/2001,4.75,NO,1.4,9,32,55,55,51,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,06/25/2001,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,07/07/2001,5,NO,1.5,,,54,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
8189430,07/11/2001,4,NO,1.2,11,28,57,54,53,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,07/22/2001,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/03/2001,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/09/2001,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,08/17/2001,3,NO,0.9,,,61,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189430,08/20/2001,3.75,NO,1.1,10,34,58,55,52,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,08/23/2001,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
8189651,09/05/2001,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
7000068,09/18/2001,,,,,45,,58,,,,,,
8189430,09/18/2001,4.5,NO,1.4,23,47,55,58,59,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189650,09/27/2001,8,YES,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189651,10/11/2001,8,YES,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,05/27/2002,3.5,NO,1.1,,29,59,54,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,06/07/2002,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,06/15/2002,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,06/25/2002,4.25,NO,1.3,12.2,35,56,56,54,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,07/07/2002,3,NO,0.9,,,61,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,07/11/2002,3.25,NO,1,10.4,47,60,58,53,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,07/17/2002,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,07/26/2002,3.5,NO,1.1,,,59,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/02/2002,3.25,NO,1,,,60,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/09/2002,4,NO,1.2,,,57,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/17/2002,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/23/2002,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/26/2002,6.25,NO,1.9,7.78,29,51,54,50,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/29/2002,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/07/2002,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/14/2002,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/24/2002,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,10/01/2002,6.5,NO,2,,19,50,51,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/07/2003,4.75,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,05/21/2003,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189430,05/27/2003,3.75,NO,1.1,7.18,32,58,55,50,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/31/2003,4.75,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/13/2003,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8188672,06/20/2003,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,06/23/2003,,,,11.4,39,,57,53,,,,,
8189430,06/24/2003,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/27/2003,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188672,07/15/2003,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
8189430,07/16/2003,4,NO,1.2,20.1,41,57,57,57,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,07/22/2003,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,07/29/2003,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/12/2003,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/14/2003,6.75,NO,2.1,,,50,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/26/2003,4.75,NO,1.4,11.1,34,55,55,53,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/30/2003,6.75,NO,2.1,,,50,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/09/2003,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/15/2003,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/29/2003,7,YES,2.1,5.2,24,49,53,47,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,10/01/2003,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/12/2004,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,05/20/2004,4.25,NO,1.3,,,56,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,05/24/2004,4,NO,1.2,,26,57,53,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/28/2004,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/03/2004,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,06/07/2004,2.75,NO,0.8,7.15,24,63,53,50,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/10/2004,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/17/2004,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189430,06/21/2004,3.5,NO,1.1,17.2,29,59,54,56,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/26/2004,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188672,07/02/2004,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,07/10/2004,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,07/12/2004,5,NO,1.5,12,39,54,57,54,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,07/15/2004,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,07/24/2004,4.5,NO,1.4,,,55,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,07/27/2004,,,,6.61,28,,54,49,,,,,
8188672,08/03/2004,5.5,NO,1.7,,,53,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8188672,08/12/2004,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,08/17/2004,5,NO,1.5,6.51,23,54,52,49,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,08/19/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,08/30/2004,5.5,NO,1.7,5.65,21,53,52,48,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,09/02/2004,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/07/2004,8.25,NO,2.5,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/13/2004,,,,4.55,17,,50,46,,,,,
8188672,09/17/2004,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/17/2004,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,09/21/2004,9,YES,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/26/2004,7,NO,2.1,3.46,17,49,50,44,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,09/28/2004,9,YES,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,10/05/2004,8.75,YES,2.7,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,10/07/2004,7.5,NO,2.3,3,18,48,51,43,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,05/08/2005,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,05/16/2005,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,05/23/2005,6,NO,1.8,,23,51,52,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/24/2005,6.75,NO,2.1,,,50,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/05/2005,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,06/06/2005,5.5,NO,1.7,3.78,28,53,54,45,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/08/2005,5.75,NO,1.7,,,52,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/19/2005,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,06/20/2005,6,NO,1.8,6.79,16,51,50,49,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/25/2005,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
7000057,07/05/2005,5.75,NO,1.7,7.18,22,52,52,50,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,07/11/2005,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,07/18/2005,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,07/18/2005,5,NO,1.5,5.92,25,54,53,48,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,07/27/2005,7.5,NO,2.3,,,48,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189430,08/01/2005,6,NO,1.8,17.2,25,51,53,56,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,08/03/2005,8.25,YES,2.5,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/14/2005,8,YES,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,08/15/2005,6,NO,1.8,7.83,27,51,54,50,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,08/21/2005,8,YES,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/31/2005,8,YES,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/06/2005,7,YES,2.1,3.57,18,49,51,44,,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,09/11/2005,8.25,YES,2.5,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/20/2005,8,YES,2.4,3.28,20,47,51,44,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,09/25/2005,8, ,2.4,,,47,,,,,,BROWN,
8189430,10/03/2005,8,YES,2.4,2.43,16,47,50,42,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,10/11/2005,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,05/22/2006,6.75,NO,2.1,,34,50,55,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/31/2006,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/03/2006,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,06/11/2006,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188672,06/19/2006,5.25,NO,1.6,,,53,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189430,06/19/2006,5,NO,1.5,8.51,34,54,55,51,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/27/2006,5.25,NO,1.6,,,53,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8188672,07/21/2006,5,NO,1.5,,,54,,,LOW,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189430,07/21/2006,4.5,NO,1.4,12.8,32,55,55,54,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,07/29/2006,5.25,NO,1.6,,,53,,,LOW,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8188672,08/06/2006,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188672,08/07/2006,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188672,08/14/2006,6.75,NO,2.1,,,50,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189430,08/14/2006,5.5,NO,1.7,7.74,28,53,54,50,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,08/21/2006,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/22/2006,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,08/30/2006,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/07/2006,7.75,NO,2.4,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/13/2006,8.75,YES,2.7,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/15/2006,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,09/23/2006,8.5,YES,2.6,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189430,09/25/2006,8,YES,2.4,2.2,20,47,51,41,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188672,10/01/2006,8.5,YES,2.6,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/17/2007,8.25,YES,2.5,,,47,,,LOW,8.25,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/24/2007,7.75,NO,2.4,,,48,,,LOW,8.25,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,05/29/2007,7.75,NO,2.4,,,48,,,NORMAL,9,CLEAR,BROWN,1-Beautiful, could not be nicer
18897665,06/06/2007,8,YES,2.4,2.54,22,47,52,42,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/14/2007,8.5,YES,2.6,,,46,,,LOW,8.5,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/22/2007,8.5,YES,2.6,,,46,,,LOW,8.5,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,06/30/2007,8.25,NO,2.5,,,47,,,LOW,8.5,CLEAR,BROWN,1-Beautiful, could not be nicer
8188672,07/08/2007,8,NO,2.4,,,47,,,LOW,8.5,CLEAR,BROWN,1-Beautiful, could not be nicer
18897665,07/09/2007,8,YES,2.4,5.2,18,47,51,47,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
