Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hills Lake,Waushara,182100,NE,70,,703097,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190653,05/10/1987,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190653,05/24/1987,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,
8190653,07/01/1987,12,NO,3.6,,,41,,,,,,GREEN,
8190653,07/31/1987,12,NO,3.6,,,41,,,,,,GREEN,
8190653,08/11/1987,8.5,NO,2.6,,,46,,,,,,GREEN,
8190653,09/06/1987,9,NO,2.7,,,45,,,,,,GREEN,
8190653,09/26/1987,9,NO,2.7,,,45,,,,,,GREEN,
8190653,11/14/1987,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,
8190653,05/15/1988,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,
8190653,05/30/1988,17,NO,5.2,,,36,,,,,CLEAR,BLUE,
8190653,07/17/1988,12.5,NO,3.8,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190653,07/31/1988,12.25,NO,3.7,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190653,08/07/1988,9.25,NO,2.8,,,45,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,08/14/1988,9,NO,2.7,,,45,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,10/15/1988,12.75,NO,3.9,,,40,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,05/14/1989,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,06/17/1989,14,NO,4.3,,,39,,,LOW,,,GREEN,
8190653,07/16/1989,12,NO,3.6,,,41,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190653,07/29/1989,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/05/1989,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,10/23/1989,17.75,YES,5.4,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,05/28/1990,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/08/1990,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/25/1990,13.75,NO,4.2,,,39,,,LOW,,,SLIGHT GREEN,2-Very minor aesthetic problems
8190653,08/12/1990,13,NO,4,,,40,,,LOW,,,SLT. GREEN,2-Very minor aesthetic problems
8191110,09/08/1995,9.75,NO,3,,,44,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/03/1996,9.25,NO,2.8,,,45,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190176,07/13/1996,11.75,NO,3.6,,,42,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/13/1996,13.25,NO,4,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/24/1996,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190176,08/02/1996,9,NO,2.7,,,45,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190176,08/16/1996,8.5,NO,2.6,,,46,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190176,07/28/1997,8.5,NO,2.6,,,46,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190653,05/10/1998,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/31/1998,11.75,NO,3.6,,,42,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/21/1998,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/15/1998,8.75,NO,2.7,,,46,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,08/16/1998,8,NO,2.4,,,47,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,09/30/1998,8,NO,2.4,,,47,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,04/24/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/22/1999,14,NO,4.3,,,39,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/30/1999,13.5,NO,4.1,,,40,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/26/1999,8.5,NO,2.6,,,46,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190653,07/03/1999,8,NO,2.4,,,47,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190653,08/07/1999,12,NO,3.6,,,41,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/20/1999,12,NO,3.6,,,41,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/17/2000,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/25/2000,16.5,YES,5,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/04/2000,16.75,YES,5.1,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/04/2000,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,08/19/2000,10.5,NO,3.2,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,09/04/2000,10.5,NO,3.2,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,10/21/2000,10.5,NO,3.2,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,06/17/2001,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/30/2001,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/08/2001,9.75,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/20/2001,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/29/2001,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/12/2001,9.75,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/08/2001,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,10/06/2001,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/09/2002,17,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/01/2002,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/07/2002,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/13/2002,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/21/2002,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/02/2002,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/18/2002,9.25,NO,2.8,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/01/2002,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/15/2002,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/24/2003,17,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/31/2003,17,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/21/2003,17,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/26/2003,16.75,YES,5.1,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/06/2003,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/14/2003,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/19/2003,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/16/2003,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/01/2003,13.75,NO,4.2,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/20/2003,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,10/10/2003,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/19/2004,19.5,YES,5.9,,,34,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/12/2004,10.25,NO,3.1,,,44,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/26/2004,9.75,NO,3,,,44,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/04/2004,10.5,NO,3.2,,,43,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/16/2004,11.25,NO,3.4,,,42,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/24/2004,11.75,NO,3.6,,,42,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/27/2004,9.5,NO,2.9,,,45,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/17/2004,10,NO,3,,,44,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,10/09/2004,10.75,NO,3.3,,,43,,,NORMAL,823.3,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,04/09/2005,19.5,YES,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/21/2005,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/27/2005,13.75,NO,4.2,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/17/2005,19.5,YES,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/02/2005,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/09/2005,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/14/2005,16.5,YES,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/11/2005,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/24/2005,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,10/16/2005,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,10/29/2005,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,04/22/2006,17.5,YES,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/13/2006,17.25,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/28/2006,17,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/10/2006,17.75,YES,5.4,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/18/2006,15.25,NO,4.6,,,38,,,LOW,,,BLUE,1-Beautiful, could not be nicer
8190653,06/24/2006,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/04/2006,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/09/2006,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,07/27/2006,9.75,NO,3,,,44,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/09/2006,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/27/2006,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/08/2006,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,09/15/2006,8.75,NO,2.7,,,46,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,10/01/2006,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,04/15/2007,17.25,YES,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,04/28/2007,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/12/2007,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/27/2007,9.25,NO,2.8,,,45,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,06/15/2007,7.5,NO,2.3,,,48,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,06/30/2007,6.25,NO,1.9,,,51,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,07/08/2007,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,07/21/2007,5.5,NO,1.7,,,53,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,08/11/2007,5.5,NO,1.7,,,53,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,09/01/2007,5.5,NO,1.7,,,53,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,09/15/2007,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,10/13/2007,9,NO,2.7,,,45,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,05/18/2008,12.75,NO,3.9,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/26/2008,18.5,YES,5.6,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/26/2008,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/03/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/22/2008,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/27/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/09/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,08/24/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,09/01/2008,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,09/19/2008,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,10/04/2008,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/23/2010,18.5,YES,5.6,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/18/2010,19.5,YES,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/27/2010,19.5,YES,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/09/2010,17.75,NO,5.4,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/23/2010,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/01/2010,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,08/21/2010,10.5,NO,3.2,,,43,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,09/05/2010,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,09/24/2010,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,05/29/2011,21,YES,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/02/2011,21.5,YES,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/17/2011,22.5,YES,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/08/2011,20.75,YES,6.3,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/14/2011,21,YES,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/22/2011,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/29/2011,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/07/2011,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,08/28/2011,11.75,NO,3.6,,,42,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,10/22/2011,9,YES,2.7,,,45,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,04/28/2012,8.75,NO,2.7,,,46,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,05/25/2012,10,NO,3,,,44,,,LOW,,MURKY,BROWN,
8190653,06/14/2012,11,NO,3.3,,,43,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,06/27/2012,9.75,NO,3,,,44,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,07/20/2012,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/27/2012,19.5,YES,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/03/2012,19.75,YES,6,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/10/2012,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,08/25/2012,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,09/02/2012,11.25,NO,3.4,,,42,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,09/23/2012,11,NO,3.3,,,43,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8190653,05/26/2013,20,YES,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/03/2013,20.25,YES,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/04/2013,20,YES,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,07/18/2013,12.5,NO,3.8,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190653,08/02/2013,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8190653,08/12/2013,10.75,NO,3.3,,,43,,,NORMAL,,MURKY,,2-Very minor aesthetic problems
8190653,08/22/2013,13.75,NO,4.2,,,39,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,08/29/2013,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,09/10/2013,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8190653,10/06/2013,11.25,NO,3.4,,,42,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8190653,05/11/2014,19.75,YES,6,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/22/2014,20.25,YES,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/30/2014,11.5,NO,3.5,,,42,,,NORMAL,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
8190653,06/05/2014,13,NO,4,,,40,,,NORMAL,,,BLUE,2-Very minor aesthetic problems
1,06/25/2014,,,,,,,,,,,,,
1,07/02/2014,,,,,,,,,,,,,
8190653,07/03/2014,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/16/2014,,,,,,,,,,,,,
8190653,07/22/2014,12.3,NO,3.7,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/23/2014,,,,,,,,,,,,,
1,07/30/2014,,,,,,,,,,,,,
1,08/06/2014,,,,,,,,,,,,,
8190653,08/09/2014,11,NO,3.3,,,43,,,NORMAL,,,BLUE,2-Very minor aesthetic problems
8190653,08/28/2014,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190653,09/25/2014,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,11/01/2014,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,05/28/2015,19,YES,5.8,,,35,,,NORMAL,8.5,CLEAR,BLUE,1-Beautiful, could not be nicer
8190653,06/10/2015,15.5, ,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
