Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Two Sisters Lake,Oneida,1588200,NO,44,,443391,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190289,05/31/1986,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,
8190289,06/28/1986,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,
8190289,07/20/1986,15.75,NO,4.8,,,37,,,,,CLEAR,BLUE,
8190289,07/26/1986,16.25,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190289,08/03/1986,14.25,NO,4.3,,,39,,,,,CLEAR,BLUE,
8190289,08/09/1986,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,
8190289,09/13/1986,13.25,NO,4,,,40,,,,,,BROWN,
8190289,05/02/1987,12.25,NO,3.7,,,41,,,LOW,,,GREEN,
8190289,06/07/1987,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,
8190289,06/28/1987,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,
8190289,07/18/1987,22.5,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,07/26/1987,24.25,NO,7.4,,,31,,,,,CLEAR,BLUE,
8190289,08/08/1987,27.25,NO,8.3,,,30,,,,,CLEAR,BLUE,
8190289,09/05/1987,22.25,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,09/27/1987,20.5,NO,6.2,,,34,,,,,CLEAR,BLUE,
8190289,06/24/1990,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/21/1990,23.5,NO,7.1,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/31/1990,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/29/1990,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/29/1991,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/05/1991,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/04/1991,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,10/02/1991,12,NO,3.6,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,11/13/1991,12.75,NO,3.9,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/23/1992,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/15/1992,19,NO,5.8,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/27/1992,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,10/25/1992,8.25,NO,2.5,,,44,,,,,,BROWN,2-Very minor aesthetic problems
8190289,08/01/1993,16.5,NO,5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/19/1993,16.25,NO,4.9,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,10/17/1993,10.25,NO,3.1,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/30/1994,19,NO,5.8,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/03/1994,15.5,NO,4.7,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,10/19/1994,15.25,NO,4.6,,,38,,,16.75 INCHES,16.75,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/30/1995,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/02/1995,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/21/1996,16.5,NO,5,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/31/1996,25,NO,7.6,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,05/20/2001,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,06/04/2001,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,06/19/2001,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,06/29/2001,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,07/13/2001,18.75,NO,5.7,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,07/31/2001,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,08/17/2001,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,09/05/2001,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,09/25/2001,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,10/07/2001,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,10/28/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189828,04/26/2002,12.25,NO,3.7,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,05/11/2002,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,05/24/2002,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,05/31/2002,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,06/16/2002,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,06/29/2002,13.75,NO,4.2,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,07/19/2002,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/07/2002,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/20/2002,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/31/2002,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,09/17/2002,19.75,NO,6,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,10/01/2002,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,10/11/2002,14.25,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,05/02/2003,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/17/2003,11,NO,3.3,,11,43,47,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/02/2003,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/10/2003,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/19/2003,11.5,NO,3.5,4.08,14,42,49,45,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/01/2003,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/13/2003,12.75,NO,3.9,1.4,13,40,48,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/29/2003,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/14/2003,18.5,NO,5.6,0.96,12,35,47,34,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/30/2003,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/17/2003,17.75,NO,5.4,,,36,,,NORMAL,27,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,10/05/2003,10.5,NO,3.2,,,43,,,NORMAL,27,CLEAR,GREEN,2-Very minor aesthetic problems
8189828,10/16/2003,11.25,NO,3.4,4.6,17,42,50,46,NORMAL,27,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/29/2003,9,NO,2.7,,,45,,,NORMAL,27,MURKY,GREEN,2-Very minor aesthetic problems
8189828,04/27/2004,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189828,05/15/2004,10.75,NO,3.3,,19,43,51,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,06/06/2004,19.25,NO,5.9,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,06/19/2004,17,NO,5.2,1.79,11,36,47,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/10/2004,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/17/2004,15.5,NO,4.7,1.39,12,38,47,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/04/2004,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,08/21/2004,16,NO,4.9,1.91,10,37,46,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/29/2004,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/08/2004,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,09/23/2004,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/06/2004,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/12/2004,11.25,NO,3.4,5.22,17,42,50,47,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,04/25/2005,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/17/2005,14.75,NO,4.5,,19,38,51,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,05/31/2005,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/16/2005,14.25,NO,4.3,1.55,11,39,47,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/01/2005,16.5,NO,5,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/15/2005,16.75,NO,5.1,1.81,21,37,52,39,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/29/2005,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/15/2005,14.5,NO,4.4,2.04,11,39,47,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/05/2005,18.75,NO,5.7,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,09/20/2005,16.75,NO,5.1,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/08/2005,12.75,NO,3.9,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/16/2005,15.75,NO,4.8,4.97,15,37,49,47,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/28/2005,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/06/2006,9.5,NO,2.9,,24,45,53,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/22/2006,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/31/2006,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/14/2006,17.5,NO,5.3,1.57,10,36,46,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
16097439,07/06/2006,16.75,NO,5.1,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/17/2006,15.75,NO,4.8,1.45,13,37,48,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/29/2006,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/14/2006,18.5,NO,5.6,1.9,12,35,47,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/30/2006,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/14/2006,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/01/2006,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/15/2006,9.25,NO,2.8,5.09,22,45,52,47,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/27/2006,11.25,NO,3.4,,,42,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,04/30/2007,9,NO,2.7,,15,45,49,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,05/20/2007,12.25,NO,3.7,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,05/28/2007,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/15/2007,16.25,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/27/2007,16,NO,4.9,1.56,7,37,43,38,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/06/2007,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/25/2007,15.5,NO,4.7,1.35,11,38,47,37,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/08/2007,22,NO,6.7,,,33,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/22/2007,16,NO,4.9,3.6,10,37,46,44,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/05/2007,16.75,NO,5.1,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,09/19/2007,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,10/03/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,10/17/2007,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,05/12/2008,8.75,NO,2.7,,18,46,51,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,06/17/2008,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,06/30/2008,15.6,NO,4.7,1.39,9,38,45,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,07/11/2008,18.8,NO,5.7,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,07/18/2008,17.6,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/30/2008,12.5,NO,3.8,,12,41,47,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,08/13/2008,17.7,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,08/20/2008,,,,1.99,10,,46,40,,,,,
25932769,08/20/2008,16.8,NO,5.1,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/27/2008,12.6,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,09/05/2008,16.3,NO,5,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,09/16/2008,17.6,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,09/25/2008,15.8,NO,4.8,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,10/03/2008,13.1,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,10/17/2008,10.2,NO,3.1,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,05/04/2009,7.3,NO,2.2,,17,48,50,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,05/19/2009,8,NO,2.4,,,47,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,06/04/2009,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
25932776,06/23/2009,20.1,NO,6.1,0.76,13,34,48,33,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,07/07/2009,23.2,NO,7.1,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,07/20/2009,17.1,NO,5.2,1.96,11,36,47,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,08/03/2009,18.4,NO,5.6,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,08/24/2009,15.8,NO,4.8,2.13,12,37,47,41,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,09/08/2009,18.3,NO,5.6,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,09/24/2009,21.3,NO,6.5,,,33,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,10/09/2009,7.9,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
25932776,04/19/2010,15.4,NO,4.7,,13,38,48,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,05/06/2010,19.8,NO,6,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,05/17/2010,19.4,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,06/07/2010,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,06/17/2010,17.9,NO,5.4,1.81,13,36,48,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/09/2010,17.9,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,07/25/2010,19.1,NO,5.8,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/25/2010,,,,2.25,8,,44,41,,,,,
25933083,08/12/2010,19.9,NO,6,,,34,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
25932769,08/23/2010,17.4,NO,5.3,,,36,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
25933083,08/23/2010,,,,3.03,12,,47,43,,,,,
25932769,09/12/2010,,,,,,,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,10/05/2010,11.9,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
16073539,05/03/2011,8.8,NO,2.7,6.78,13,46,48,49,,,,,
25933083,05/11/2011,11.8,NO,3.6,,14,42,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
48236228,06/01/2011,15.5,NO,4.7,2.04,11,38,47,40,,,,,
25933083,06/08/2011,15.7,NO,4.8,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,06/25/2011,14.4,NO,4.4,2.44,12,39,47,42,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/25/2011,16.6,NO,5,2.18,11,37,47,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
48236228,07/25/2011,17.3,NO,5.3,1.61,9,36,45,38,,,,,
25933083,08/11/2011,17.1,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
16073539,09/06/2011,17.1,NO,5.2,,,36,,,,,,,
34972236,09/06/2011,17.1,NO,5.2,25.8,13,36,48,59,,,,,
25932773,09/07/2011,17.6,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,09/07/2011,,,,2.68,10,,46,42,,,,,
25932773,09/19/2011,19.4,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
48236228,10/25/2011,11.9,NO,3.6,3.6,13,41,48,44,,,,,
41886196,03/08/2012,34.2,NO,10.4,,11,26,47,,,,,,
25932776,04/13/2012,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,04/13/2012,,,,,14,,49,,,,,,
25932773,05/31/2012,17.8,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/11/2012,16.5,NO,5,1.55,9,37,45,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,07/25/2012,,,,,,,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/25/2012,,,,1.47,8,,44,38,,,,,
25932773,08/22/2012,19.1,NO,5.8,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,08/22/2012,,,,1.79,6,,42,39,,,,,
25933083,05/25/2013,11.8,NO,3.6,,15.2,42,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,06/24/2013,20.4,NO,6.2,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,06/24/2013,,,,2.05,8.02,,44,40,,,,,
25933083,07/20/2013,18.5,NO,5.6,1.95,6.87,35,43,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,08/29/2013,, ,,2.17,9.92,,46,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,05/23/2014,13,NO,4,,9.92,40,46,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
25933083,06/22/2014,22.6,NO,6.9,1.83,7.78,32,44,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,07/23/2014,, ,,,,,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/23/2014,,,,1.99,9.14,,45,40,,,,,
25932773,09/03/2014,, ,,,,,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,05/27/2015,,,,,11.7,,47,,,,,,
36726579,05/27/2015,16.2,NO,4.9,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,06/27/2015,18.4,NO,5.6,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,06/27/2015,,,,1.57,10.7,,47,38,,,,,
25932773,07/20/2015,16.9,NO,5.1,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/20/2015,,,,1.35,10.4,,46,37,,,,,
25932773,08/26/2015,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,08/26/2015,,,,3.1,15,,49,43,,,,,
25932773,05/02/2016,14.4,NO,4.4,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,05/02/2016,,,,,14.3,,49,,,,,,
25933083,06/22/2016,14.7,NO,4.5,2.15,14.3,38,49,41,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932773,07/18/2016,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,07/18/2016,,,,1.34,13.2,,48,37,,,,,
25932773,08/31/2016,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
