Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tuttle Lake,Marquette,108200,NE,39,,393009,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/22/1977,,,,,20,,51,,,,,,
1,05/25/1977,13.1,,4,,,40,,,,,,,
1,08/15/1977,9.8,,3,,,44,,,,,,,
1,11/14/1977,16.4,,5,,,37,,,,,,,
1,08/14/1979,,,,8.69,8,,44,51,,,,,
8191007,06/13/1988,6,NO,1.8,,,51,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190284,06/26/1988,6,NO,1.8,,,51,,,DOWN 4" IN 2 WKS,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/03/1988,5.5,NO,1.7,,,53,,,DOWN .5" THIS WEEK,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/11/1988,6,NO,1.8,,,51,,,DOWN ANOTHER .5",,CLEAR,BLUE,
8190284,06/17/1990,12.5,NO,3.8,,,41,,,4.5" LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/24/1990,11,NO,3.3,,,43,,,3.2" LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/30/1990,10.5,NO,3.2,,,43,,,2.25" LOW,,,,1-Beautiful, could not be nicer
8190284,07/08/1990,9.5,NO,2.9,,,45,,,3.25" LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/14/1990,7.5,NO,2.3,,,48,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/28/1990,6.75,NO,2.1,,,50,,,5" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/05/1990,6.75,NO,2.1,,,50,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/11/1990,7,NO,2.1,,,49,,,4.25' LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/25/1990,7,NO,2.1,,,49,,,2" LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/01/1990,7.75,NO,2.4,,,48,,,2" LOW,,,,1-Beautiful, could not be nicer
8190284,09/23/1990,6.5,NO,2,,,50,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,10/06/1990,6.75,NO,2.1,,,50,,,3.25" BELOW B.M.,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/13/1990,7.25,NO,2.2,,,49,,,3" BELOW HI-WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/21/1990,8.5,NO,2.6,,,46,,,3.25" BELOW B.M.,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,11/11/1990,11.5,NO,3.5,,,42,,,,,,,
8190284,04/06/1991,15.5,NO,4.7,,,38,,,HIGH,,,,
8190284,04/21/1991,12.5,NO,3.8,,,41,,,HIGH,,,,1-Beautiful, could not be nicer
8190284,04/28/1991,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/11/1991,12.75,NO,3.9,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/26/1991,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/08/1991,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/15/1991,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/22/1991,13.5,NO,4.1,,,40,,,DOWN .25",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/30/1991,12,NO,3.6,,,41,,,DOWN 2",,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/05/1991,11,NO,3.3,,,43,,,DOWN 3.75",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/14/1991,11.25,NO,3.4,,,42,,,DOWN 4.5",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/21/1991,11.25,NO,3.4,,,42,,,DOWN 4.75",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/04/1991,11,NO,3.3,,,43,,,DOWN 7.25",,,,
8190284,08/10/1991,8.75,NO,2.7,,,46,,,DOWN 5.75",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/25/1991,9.25,NO,2.8,,,45,,,DOWN 10",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/01/1991,10.5,NO,3.2,,,43,,,DOWN 12.5",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/15/1991,9.25,NO,2.8,,,45,,,DOWN 12.25",,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,09/29/1991,10,NO,3,,,44,,,DOWN 14.5",,,,
8190284,10/05/1991,10,NO,3,,,44,,,DOWN,,,,
8190284,10/19/1991,13,NO,4,,,40,,,DOWN 16.5",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/18/1992,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/03/1992,9.5,NO,2.9,,,45,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,05/10/1992,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/17/1992,14,NO,4.3,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/23/1992,16.5,NO,5,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,05/31/1992,25.5,NO,7.8,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/06/1992,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/14/1992,15,NO,4.6,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/20/1992,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/04/1992,8,NO,2.4,,,47,,,8.5 BELOW HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/12/1992,9.3,NO,2.8,,,45,,,9.5 BELOW HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/18/1992,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/01/1992,10.25,NO,3.1,,,44,,,10"BELOW HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/08/1992,8.25,NO,2.5,,,47,,,11"BELOW HI,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/21/1992,8.25,NO,2.5,,,47,,,DOWN 13.99",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/30/1992,8.75,NO,2.7,,,46,,,DOWN 15.25,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/05/1992,8.5,NO,2.6,,,46,,,DOWN 16.5",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/20/1992,10.75,NO,3.3,,,43,,,DOWN 10" LOW HIGH WATER,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,10/04/1992,14,NO,4.3,,,39,,,9.75 BELOW HI,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/10/1992,14.5,NO,4.4,,,39,,,9.99" BELOW HI,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/18/1992,15,NO,4.6,,,38,,,10.75" BELOW HI,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,11/01/1992,17,NO,5.2,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,11/08/1992,18,NO,5.5,,,35,,,GAUGE,9.75,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/18/1993,12.75,NO,3.9,,,40,,,6.5" ABOVE HI WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/25/1993,11.6,NO,3.5,,,42,,,8" ABOV HI WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/05/1993,13,NO,4,,,40,,,11.25" ABOV HI WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/08/1993,12,NO,3.6,,,41,,,12" ABOVE HI WATER,,CLEAR,BLUE,2-Very minor aesthetic problems
1,05/16/1993,,,,2.47,,,,42,,,,,
8190284,05/16/1993,10.5,NO,3.2,,14,43,49,,11.25" ABOVE HI WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/23/1993,11.75,NO,3.6,,,42,,,11" ABOV HI WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/31/1993,11,NO,3.3,,,43,,,11.5" ABOVE HI WATER.,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/06/1993,9.25,NO,2.8,,,45,,,10.25" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/19/1993,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/27/1993,,,,2.95,,,,43,,,,,
8190284,06/27/1993,9.5,NO,2.9,,13,45,48,,16.5 ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/03/1993,9.75,NO,3,,,44,,,16" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/11/1993,11.25,NO,3.4,,,42,,,16" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/18/1993,10.5,NO,3.2,,,43,,,13.5" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/25/1993,,,,4.43,,,,46,,,,,
8190234,07/25/1993,7.5,NO,2.3,,,48,,,FEET,30,,BLUE/GREEN,2-Very minor aesthetic problems
1,07/26/1993,,,,,12,,47,,,,,,
8190284,08/01/1993,8.25,NO,2.5,,,47,,,12" ABOVE "HIGH WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/08/1993,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/21/1993,,,,,7,,43,,,,,,
8190284,08/21/1993,9.75,NO,3,3.02,,44,,43,10" ABOVE "HI WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/28/1993,9.25,NO,2.8,,,45,,,9.25 ABOV HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/05/1993,9,NO,2.7,,,45,,,7.75" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/26/1993,8.75,NO,2.7,,,46,,,8.25 ABOVE HI WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/03/1993,9.5,NO,2.9,,,45,,,GAUGE,7.5,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/10/1993,9.25,NO,2.8,,,45,,,7.75 ABOV HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,10/31/1993,,,,7.09,,,,50,,,,,
8190284,10/31/1993,9.5,NO,2.9,,15,45,49,,6" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,11/07/1993,9.5,NO,2.9,,,45,,,7" ABOV HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,11/14/1993,10.5,NO,3.2,,,43,,,7.75" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/05/1994,11,NO,3.3,,,43,,,5" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/08/1994,12,NO,3.6,,,41,,,9.5" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/15/1994,11,NO,3.3,,,43,,,9.25 ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/22/1994,13,NO,4,,,40,,,7.25 ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/24/1994,11,NO,3.3,,,43,,,6.5 ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/12/1994,11.25,NO,3.4,4.41,13,42,48,46,4"ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/19/1994,10,NO,3,,,44,,,3.25" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/26/1994,10,NO,3,,,44,,,2.75" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/03/1994,8.25,NO,2.5,,,47,,,1.25" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/10/1994,7.25,NO,2.2,7.71,15,49,49,50,4.75" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/17/1994,7,NO,2.1,,,49,,,4.25 ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/30/1994,7.25,NO,2.2,,,49,,,2.25" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/07/1994,6.25,NO,1.9,,,51,,,.5" BELOW SURFACE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,08/14/1994,6.5,NO,2,6.56,17,50,50,49,.5" ABOVE HIGH WATER,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,08/20/1994,7.25,NO,2.2,,,49,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,08/28/1994,6,NO,1.8,,,51,,,.75" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/04/1994,6.5,NO,2,,,50,,,.5" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/10/1994,6.5,NO,2,,,50,,,.75" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/25/1994,6.75,NO,2.1,,,50,,,1.25" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/02/1994,6.5,NO,2,,,50,,,.25" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/16/1994,7,YES,2.1,6.67,14,49,49,49,2.25" BELOW HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/23/1994,7.25,NO,2.2,,,49,,,2.75" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,11/06/1994,8.5,NO,2.6,,,46,,,4.5" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,11/13/1994,9,NO,2.7,,,45,,,3,5" BELOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/02/1995,13.5,NO,4.1,,,40,,,2.25" BELOW "HI WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/23/1995,10,NO,3,6.61,17,44,50,49,.5" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/07/1995,9.75,NO,3,,,44,,,.5" ABOVE "HI WATER",,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,05/21/1995,8,NO,2.4,,,47,,,2.5" ABOVE "HI WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/03/1995,10.75,NO,3.3,,,43,,,5.25" ABOVE "HI WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/10/1995,13.25,NO,4,,,40,,,4.5" ABOVE "HI WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/17/1995,14,NO,4.3,,,39,,,4" ABOVE "HI WATER",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/24/1995,10,NO,3,,,44,,,2.5" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/02/1995,7,NO,2.1,,,49,,,.5" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/08/1995,6.5,NO,2,,,50,,,1" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/15/1995,6,NO,1.8,0.17,10,51,46,21,.25" BELOW HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,07/30/1995,5.25,NO,1.6,,,53,,,1.5" BELOW "HI WATER",,,GREEN,2-Very minor aesthetic problems
8190284,08/06/1995,5.75,NO,1.7,,,52,,,1/8" BELOW "HI WATER",,,GREEN,1-Beautiful, could not be nicer
8190284,08/12/1995,5.75,NO,1.7,,,52,,,HIGH,,,GREEN,1-Beautiful, could not be nicer
8190284,08/20/1995,7,NO,2.1,,,49,,,1.5" ABOVE "HIGH WATER",,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,08/26/1995,6.75,NO,2.1,3.88,10,50,46,45,.50" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,09/03/1995,5.75,NO,1.7,,,52,,,.5" BELOW " HIGH WATER",,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,09/10/1995,6.25,NO,1.9,,,51,,,1" BELOW " HIGH WATER",,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,09/17/1995,6.25,NO,1.9,,,51,,,2.25 INCHES,2.25,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,09/24/1995,6.5,NO,2,,,50,,,2.5" BELOW HIGH WATER,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,09/30/1995,7.5,NO,2.3,,,48,,,3.5" BELOW HIGH WATER.,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/08/1995,6.5,NO,2,,,50,,,HIGH,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,10/15/1995,6.5,NO,2,,,50,,,HIGH,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190284,11/05/1995,12,NO,3.6,2.49,7,41,43,42,2" ABOVE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/21/1996,16,NO,4.9,,,37,,,6" ABOVE HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,05/17/1996,14.5,NO,4.4,,,39,,,6.75" BELOW HIGH WATER,,CLEAR,,1-Beautiful, could not be nicer
8190284,06/17/1996,13,NO,4,,,40,,,6" BELOW HIGH WATER,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,06/23/1996,13,NO,4,,,40,,,6.5" BELOW HIGH WATER,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,07/04/1996,10.5,NO,3.2,,,43,,,6" BELOW HIGH WATER,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190284,07/20/1996,7.5,NO,2.3,,,48,,,5" BELOW HIGH WATER,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190284,07/27/1996,7.5,NO,2.3,,,48,,,4" BELOW HIGH WATER,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190284,08/17/1996,8.75,NO,2.7,,,46,,,1/4" BELOW HIGH WATER,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,08/25/1996,,,,4.37,,,,46,,,,,
8190284,08/25/1996,8.75,NO,2.7,,,46,,,.5" ABOVE"HI WATER",,CLEAR,GREEN,1-Beautiful, could not be nicer
8190284,08/31/1996,7.5,NO,2.3,,,46,,,2" BELOW "HIGH WATER",,CLEAR,GREEN,1-Beautiful, could not be nicer
8190284,09/29/1996,9.25,NO,2.8,,,45,,,8.25"ABOVE "HIGH WATER",,CLEAR,GREEN,1-Beautiful, could not be nicer
8190284,10/05/1996,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,10/12/1996,10.25,NO,3.1,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/07/1997,17,NO,5.2,,,36,,,,,,,
8190284,04/27/1997,16.5,,5,,,37,,,,,,,
8190284,05/04/1997,14,NO,4.3,,,39,,,,,,,
8190284,05/11/1997,13,NO,4,,,40,,,,,,,
8190284,05/25/1997,11.5,NO,3.5,,,42,,,,,,,
8190284,06/08/1997,12,NO,3.6,,,41,,,,,,,
8190284,06/29/1997,9.5,NO,2.9,,,45,,,,,,,
8190284,07/13/1997,10.5,,3.2,3.6,21,43,52,44,,,,,
8190284,07/20/1997,9.5,NO,2.9,,,45,,,,,,,
8190284,07/27/1997,9,NO,2.7,,,45,,,,,,,
8190284,08/23/1997,9.25,NO,2.8,,,45,,,,,,,
8190284,08/31/1997,10,NO,3,,,44,,,,,,,
8190284,09/26/1997,10.25,NO,3.1,,,44,,,,,,,
8190284,10/12/1997,9.5,NO,2.9,,,45,,,,,,,
8190284,11/16/1997,16,NO,4.9,,,37,,,,,,,
8190284,05/17/1998,,,,,12,,47,,,,,,
8190284,09/20/1998,8.25,NO,2.5,,,47,,,,,,,
8190284,10/25/1998,10,NO,3,3.41,,44,,44,,,,,
8190284,11/18/1998,13.5,NO,4.1,,,40,,,,,,,
8190284,06/05/1999,11,NO,3.3,,,43,,,,,,,
8190284,07/23/1999,10,NO,3,,,44,,,,,,,
8190284,08/01/1999,10.25,NO,3.1,,,44,,,,,,,
8190284,08/14/1999,10.75,NO,3.3,,,43,,,,,,,
8190284,08/27/1999,8.75,NO,2.7,,,46,,,,,,,
8190284,09/21/1999,6.5,NO,2,,,50,,,,,,,
8190284,10/06/1999,8.5,NO,2.6,,,46,,,,,,,
8190284,10/21/1999,10.5,NO,3.2,,,43,,,,,,,
8190284,11/09/1999,14,NO,4.3,,,39,,,,,,,
8190284,11/18/1999,16,NO,4.9,,,37,,,,,,,
8190284,03/21/2000,20,NO,6.1,,,34,,,,,,,
8190284,03/29/2000,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190284,04/18/2000,15,NO,4.6,,,38,,,,,,,
8190284,05/02/2000,12.5,NO,3.8,,,41,,,,,,,
8190284,05/14/2000,11,NO,3.3,,,43,,,,,,,
8190284,05/26/2000,13.75,NO,4.2,,,39,,,,,,,
8190284,06/18/2000,10,NO,3,,,44,,,,,,,
8190284,06/25/2000,9,NO,2.7,,,45,,,,,,,
8190284,07/04/2000,9.5,NO,2.9,,,45,,,,,,,
8190284,07/09/2000,9.25,NO,2.8,,,45,,,,,,,
8190284,07/23/2000,7.5,NO,2.3,,,48,,,,,,,
8190284,10/31/2000,9.5,NO,2.9,,,45,,,,,,,
8190284,11/17/2000,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190284,04/21/2001,,,,,11,,47,,,,,,
8190284,07/07/2001,,,,5,9,,45,47,,,,,
8190284,12/01/2001,,,,8,8,,44,51,,,,,
8190284,04/23/2002,,,,,12,,47,,,,,,
