Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Big Portage Lake,Vilas,1629500,NO,64,,643510,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189462,07/14/1999,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,07/26/1999,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/07/1999,13.25,NO,4,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/26/1999,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,09/10/1999,13,NO,4,,,40,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,09/27/1999,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,07/17/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,07/21/2009,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/30/2009,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/04/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/22/2009,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,05/28/2010,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/01/2010,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/11/2010,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/19/2010,14.25,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/11/2010,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/19/2010,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/22/2010,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/31/2010,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/05/2010,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/25/2010,10.5,NO,3.2,,,43,,,,,,,
8189462,08/31/2010,10,NO,3,,,44,,,,,,,
8189462,05/10/2011,22,NO,6.7,,,33,,,,,,,1-Beautiful, could not be nicer
8189462,05/26/2011,23.5,NO,7.1,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,05/29/2011,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/11/2011,24,NO,7.3,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/14/2011,24.5,NO,7.4,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/18/2011,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/06/2011,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/10/2011,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/20/2011,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/24/2011,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/02/2011,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/07/2011,14.5,NO,4.4,,,39,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8189462,08/20/2011,14.5,NO,4.4,,,39,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8189462,08/28/2011,15,NO,4.6,,,38,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8189462,08/31/2011,15,NO,4.6,,,38,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8189462,05/24/2012,24.5,NO,7.4,,,31,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,05/28/2012,23,NO,7,,,32,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,06/10/2012,23.5,NO,7.1,,,32,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,06/15/2012,21,NO,6.4,,,33,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,07/18/2012,16,NO,4.9,,,37,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,07/22/2012,15,NO,4.6,,,38,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,08/01/2012,14,NO,4.3,,,39,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,08/07/2012,13.5,NO,4.1,,,40,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,08/12/2012,14,NO,4.3,,,39,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189462,08/20/2012,13.5,NO,4.1,,,40,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189462,08/28/2012,14,NO,4.3,,,39,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189462,08/31/2012,14.5,NO,4.4,,,39,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189462,09/02/2012,14,NO,4.3,,,39,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189462,05/25/2013,26.5,NO,8.1,,,30,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/17/2013,25,NO,7.6,,,31,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/19/2013,24.5,NO,7.4,,,31,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/23/2013,20,NO,6.1,,,34,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189462,07/23/2013,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/28/2013,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/06/2013,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/11/2013,13,NO,4,,,40,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189462,08/25/2013,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/29/2013,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/31/2013,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,05/28/2014,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/01/2014,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/15/2014,25,NO,7.6,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/21/2014,27,YES,8.2,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/23/2014,26,YES,7.9,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/30/2014,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/02/2014,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/08/2014,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/10/2014,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/17/2014,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/22/2014,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/27/2014,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/31/2014,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/12/2015,25,NO,7.6,,,31,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/15/2015,26,NO,7.9,,,30,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,06/19/2015,24.5,NO,7.4,,,31,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/06/2015,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/10/2015,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,
8189462,07/26/2015,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,07/28/2015,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/06/2015,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/20/2015,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189462,08/25/2015,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/30/2015,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,05/26/2016,28.5,NO,8.7,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,05/30/2016,28,NO,8.5,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/11/2016,23.5,NO,7.1,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/13/2016,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/16/2016,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/19/2016,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/01/2016,18,NO,5.5,,,35,,,NORMAL,,,BLUE,2-Very minor aesthetic problems
8189462,07/04/2016,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,07/07/2016,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,07/09/2016,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,07/17/2016,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,07/19/2016,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,08/07/2016,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/10/2016,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189462,08/18/2016,,NO,,,,,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189462,08/22/2016,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189462,05/25/2017,26,NO,7.9,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,05/29/2017,26.5,NO,8.1,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/12/2017,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/17/2017,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/21/2017,20.5,NO,6.2,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,06/25/2017,19.5,NO,5.9,,,34,,,HIGH,,,BLUE,1-Beautiful, could not be nicer
8189462,07/19/2017,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/28/2017,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,07/31/2017,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/05/2017,13,NO,4,,,40,,,HIGH,,MURKY,BLUE,2-Very minor aesthetic problems
8189462,08/14/2017,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/16/2017,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/20/2017,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189462,08/31/2017,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189462,09/02/2017,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems



