Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Blue Lake,Oneida,1538600,NO,44,,443060,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/16/1979,,,,,,,,,,,,,
1,06/11/1993,,,,,10,,46,,,,,,
8189616,07/26/1996,30,NO,9.1,0.63,,28,,31,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/16/1996,30,NO,9.1,,,28,,,HIGH,,,BLUE,1-Beautiful, could not be nicer
8189616,08/25/1996,,,,1.39,,,,37,,,,,
8189616,08/26/1996,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/08/1996,24.5,NO,7.4,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,09/22/1996,,,,2.59,7,,43,42,,,,,
8189616,10/01/1996,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,10/12/1996,14,NO,4.3,,,39,,,LOW-NO WATER IN OUTLET,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,05/25/1997,35,NO,10.6,,,26,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189286,05/28/1997,35,NO,10.6,,29,26,54,,HIGH,,,BLUE,1-Beautiful, could not be nicer
8190455,06/06/1997,37.25,NO,11.3,,,25,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/22/1997,35.5,NO,10.8,0.64,14,26,49,31,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189285,07/20/1997,24,NO,7.3,1.25,16,31,50,36,,,,BLUE,1-Beautiful, could not be nicer
8190455,08/11/1997,30,NO,9.1,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/24/1997,29.5,NO,9,1.91,6,28,42,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/12/1997,22,NO,6.7,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/21/1997,21,NO,6.4,2.79,,33,,43,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189616,10/05/1997,20.25,NO,6.2,3.06,,34,,43,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190455,06/19/1998,31.25,NO,9.5,,,28,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/24/1998,31.5,NO,9.6,,,27,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/30/1998,,,,0.82,5,,41,33,,,,,
8189616,07/15/1998,30,NO,9.1,,,28,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/26/1998,,,,2.11,7,,43,40,,,,,
8189616,07/29/1998,31,NO,9.4,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/10/1998,25.25,NO,7.7,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/26/1998,,,,6.04,18,,51,48,,,,,
8190455,08/27/1998,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/14/1998,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/28/1998,19.5,NO,5.9,1.54,6,34,42,38,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,05/30/1999,34,NO,10.3,,,26,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,05/31/1999,,,,,,,,,,,,,
8189616,06/22/1999,30,NO,9.1,0.99,,28,,35,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/20/1999,26,NO,7.9,1.11,12,30,47,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/24/1999,22,NO,6.7,1.53,7,33,43,38,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,10/11/1999,20,NO,6.1,1.69,,34,,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,05/30/2000,30.5,NO,9.3,,6,28,42,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/27/2000,24,NO,7.3,1.5,,31,,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/30/2000,21,NO,6.4,1,9,33,45,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/21/2000,19,NO,5.8,1,6,35,42,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,09/24/2000,19,NO,5.8,3,7,35,43,43,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,05/12/2001,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/12/2001,32,NO,9.7,1.6,7,27,43,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/22/2001,32,NO,9.7,,,27,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/15/2001,24,NO,7.3,1,,31,,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/26/2001,24,,7.3,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/10/2001,21,NO,6.4,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/19/2001,19.5,NO,5.9,1.3,7,34,43,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,09/11/2001,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,10/12/2001,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,10/15/2001,19.5,NO,5.9,4,7,34,43,45,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,05/27/2002,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/18/2002,28,NO,8.5,1,7,29,43,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/03/2002,30,NO,9.1,,,28,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/16/2002,25,NO,7.6,0.94,5,31,41,34,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/14/2002,19.5,NO,5.9,1.37,7,34,43,37,NORMAL,,MURKY,BLUE,1-Beautiful, could not be nicer
8189616,06/04/2003,,,,1.12,7,,43,36,,,,,
8189615,06/10/2003,38,NO,11.6,,,25,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/06/2003,28,NO,8.5,0.71,7,29,43,32,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/10/2003,28,NO,8.5,,6,29,42,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,10/07/2003,17.5,NO,5.3,2.02,10,36,46,40,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189616,06/28/2004,28,NO,8.5,1.04,9,29,45,35,,,,,
8189616,07/25/2004,26,NO,7.9,0.79,6,30,42,33,,,,,
8189616,08/29/2004,,,,1.1,5,,41,36,,,,,
8189616,08/31/2004,20,NO,6.1,,,34,,,,,,,
8189616,10/05/2004,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,10/12/2004,,,,1.41,9,,45,37,,,,,
8190455,06/26/2005,,,,,6,,42,,,,,,
8190455,08/09/2005,,,,0.82,12,,47,33,,,,,
8190455,09/11/2005,,,,16.6,24,,53,56,,,,,
8189616,06/26/2006,,,,0.6,12,,47,31,,,,,
8189616,07/31/2006,23,NO,7,1.71,6,32,42,39,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/01/2006,,,,,,,,,,,,,
8190455,08/27/2006,25,NO,7.6,,,31,,,NORMAL,,,,
8190455,06/26/2007,28,NO,8.5,1.11,5,29,41,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,06/29/2007,28,NO,8.5,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,06/30/2007,,,,0.28,5,,41,25,,,,,
8189616,07/28/2007,26,NO,7.9,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/26/2007,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/27/2007,,,,,,,,,,,,,
8189616,07/04/2008,33,NO,10,1.53,7,27,43,38,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/05/2008,30,NO,9.1,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,07/31/2008,31,NO,9.4,0.58,6,28,42,31,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,08/23/2008,22,NO,6.7,1.39,,33,,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189615,06/26/2009,33,NO,10,0.67,12,27,47,32,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189615,07/23/2009,23,NO,7,1.35,10,32,46,37,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189615,08/26/2009,22,NO,6.7,1.45,7,33,43,38,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189615,06/21/2010,31,NO,9.4,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
37177187,06/21/2010,,,,0.65,8,,44,32,,,,,
8189615,06/30/2010,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799608,07/28/2010,22,NO,6.7,1.32,9,33,45,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799608,08/27/2010,24,NO,7.3,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/31/2010,,,,1.42,9,,45,37,,,,,
36799608,05/13/2011,,,,,18,,51,,,,,,
38099259,06/30/2011,25,NO,7.6,0.66,11,31,47,32,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
38099259,07/21/2011,20,NO,6.1,1.35,7,34,43,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
37177187,08/20/2011,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
38099259,08/20/2011,,,,1.85,7,,43,39,,,,,
36799608,05/21/2012,30,NO,9.1,,10,28,46,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
38099259,06/25/2012,,,,1.65,8,,44,39,,,,,
38099259,06/26/2012,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
36799608,07/21/2012,,,,,,,,,,,,,
37177187,07/21/2012,25,NO,7.6,,,31,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
67210075,07/21/2012,,,,0.97,8,,44,35,,,,,
8189615,08/25/2012,,,,1.09,,,,35,,,,,
37177187,08/25/2012,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
38099259,05/24/2013,27,NO,8.2,,7.81,30,44,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
38099259,06/27/2013,29,NO,8.8,1.24,7.18,29,43,36,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
67210075,07/25/2013,24,NO,7.3,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799608,08/01/2013,, ,,,,,,,,,,,
67210075,08/26/2013,21,NO,6.4,0.568,8.24,33,45,31,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189615,05/16/2014,,,,0.739,7.3,,44,33,,,,,
37177187,06/16/2014,32,NO,9.7,,,27,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189615,07/21/2014,,,,1.11,5.12,,41,36,,,,,
38099259,07/21/2014,25, ,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
32953768,08/21/2014,, ,,,,,,,,,,,
8189615,08/25/2014,,,,0.969,8.93,,45,35,,,,,
37177187,08/25/2014,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
67210075,05/27/2015,29,NO,8.8,,,29,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
121885248,05/27/2015,,,,,6.62,,43,,,,,,
8189615,06/28/2015,,,,0.806,8.6,,45,33,,,,,
37177187,06/28/2015,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
67210075,07/23/2015,24,NO,7.3,0.559,12.1,31,47,30,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
32953768,07/30/2015,, ,,,,,,,,,,,
38099259,08/27/2015,25,NO,7.6,0.899,12.7,31,48,34,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
32953768,05/02/2016,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799608,05/02/2016,,,,,12.2,,48,,,,,,
8189615,06/19/2016,,,,1.37,10.2,,46,37,,,,,
67210075,06/19/2016,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
36799608,07/25/2016,,,,0.892,11.3,,47,34,,,,,
67210075,07/25/2016,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
37177187,07/30/2016,,,,,,,,,,,,,
1,08/15/2016,,,,,10.7,,47,,,,,,
32953768,08/15/2016,25,NO,7.6,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189615,08/21/2016,,,,1.04,7.81,,44,35,,,,,
67210075,08/21/2016,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
32953768,04/21/2017,18,NO,5.5,,,35,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
36799608,04/21/2017,,,,,10.8,,47,,,,,,
8189615,06/25/2017,,,,1.16,13.1,,48,36,,,,,
67210075,06/25/2017,23,NO,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
32953768,07/03/2017,,,,,,,,,,,,,
8189615,07/20/2017,,,,0.957,7.76,,44,34,,,,,
67210075,07/20/2017,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189615,08/20/2017,,,,2.01,5.26,,41,40,,,,,
67210075,08/20/2017,26,NO,7.9,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/16/1979,,,23,C,,
06/11/1993,3,FEET,63,DEGREES F,11,MG/L
06/11/1993,35,FEET,42,DEGREES F,7,MG/L
07/12/1993,2,FEET,72,DEGREES F,8,MG/L
07/12/1993,30,FEET,68,DEGREES F,8,MG/L
08/10/1993,6,FEET,75,DEGREES F,10,MG/L
08/10/1993,35,FEET,63,DEGREES F,13,MG/L
09/15/1993,3,FEET,64,DEGREES F,7,MG/L
09/15/1993,9,FEET,63,DEGREES F,7,MG/L
09/15/1993,15,FEET,62,DEGREES F,5,MG/L
09/15/1993,20,FEET,60,DEGREES F,1,MG/L
09/15/1993,35,FEET,60,DEGREES F,,
10/20/1993,10,FEET,50,DEGREES F,10,MG/L
10/20/1993,35,FEET,48,DEGREES F,9,MG/L
06/27/1994,5,FEET,73,DEGREES F,8,MG/L
06/27/1994,15,FEET,73,DEGREES F,8,MG/L
06/27/1994,20,FEET,70,DEGREES F,8,MG/L
07/28/1994,5,FEET,72,DEGREES F,9,MG/L
07/28/1994,15,FEET,72,DEGREES F,6,MG/L
07/28/1994,20,FEET,70,DEGREES F,5,MG/L
08/25/1994,5,FEET,69,DEGREES F,9,MG/L
08/25/1994,15,FEET,,,8,MG/L
08/25/1994,20,FEET,,,7,MG/L
08/25/1994,40,FEET,,,5,MG/L
09/24/1994,5,FEET,70,DEGREES F,8,MG/L
09/24/1994,15,FEET,68,DEGREES F,8,MG/L
09/24/1994,25,FEET,68,DEGREES F,8,MG/L
09/24/1994,40,FEET,66,DEGREES F,7,MG/L
10/21/1994,5,FEET,55,DEGREES F,9,MG/L
10/21/1994,15,FEET,54,DEGREES F,8,MG/L
10/21/1994,25,FEET,54,DEGREES F,8,MG/L
10/21/1994,30,FEET,52,DEGREES F,8,MG/L
05/30/1995,5,FEET,58,DEGREES F,10,MG/L
05/30/1995,15,FEET,,,9,MG/L
05/30/1995,20,FEET,,,9,MG/L
05/30/1995,40,FEET,,,9,MG/L
07/25/1995,5,FEET,,,10,MG/L
07/25/1995,15,FEET,,,10,MG/L
07/25/1995,20,FEET,,,10,MG/L
07/25/1995,40,FEET,,,4,MG/L
08/22/1995,5,FEET,,,8,MG/L
08/22/1995,15,FEET,,,8,MG/L
08/22/1995,20,FEET,,,8,MG/L
08/22/1995,40,FEET,,,8,MG/L
09/27/1995,3,FEET,58,DEGREES F,9,MG/L
09/27/1995,15,FEET,58,DEGREES F,8,MG/L
09/27/1995,20,FEET,58,DEGREES F,8,MG/L
09/27/1995,40,FEET,58,DEGREES F,8,MG/L
06/25/1996,3,FEET,60,DEGREES F,9,MG/L
06/25/1996,15,FEET,60,DEGREES F,9,MG/L
06/25/1996,20,FEET,60,DEGREES F,8,MG/L
06/25/1996,40,FEET,60,DEGREES F,8,MG/L
07/26/1996,5,FEET,70,DEGREES F,10,MG/L
07/26/1996,15,FEET,70,DEGREES F,9,MG/L
07/26/1996,20,FEET,60,DEGREES F,8,MG/L
07/26/1996,40,FEET,50,DEGREES F,8,MG/L
08/25/1996,3,FEET,73,DEGREES F,10,MG/L
08/25/1996,15,FEET,64,DEGREES F,10,MG/L
08/25/1996,20,FEET,60,DEGREES F,9,MG/L
08/25/1996,40,FEET,50,DEGREES F,6,MG/L
09/22/1996,3,FEET,64,DEGREES F,12,MG/L
09/22/1996,15,FEET,64,DEGREES F,10,MG/L
09/22/1996,20,FEET,63,DEGREES F,9,MG/L
09/22/1996,40,FEET,62,DEGREES F,5,MG/L
05/28/1997,5,FEET,58,DEGREES F,10,MG/L
05/28/1997,15,FEET,,,12,MG/L
05/28/1997,20,FEET,,,11,MG/L
05/28/1997,40,FEET,48,DEGREES F,11,MG/L
06/22/1997,5,FEET,68,DEGREES F,8,MG/L
06/22/1997,15,FEET,66,DEGREES F,8,MG/L
06/22/1997,20,FEET,60,DEGREES F,9,MG/L
06/22/1997,40,FEET,56,DEGREES F,11,MG/L
07/20/1997,5,FEET,74,DEGREES F,8,MG/L
07/20/1997,15,FEET,74,DEGREES F,8,MG/L
07/20/1997,20,FEET,60,DEGREES F,10,MG/L
07/20/1997,40,FEET,52,DEGREES F,7,MG/L
08/24/1997,3,FEET,69,DEGREES F,7,MG/L
08/24/1997,15,FEET,68,DEGREES F,8,MG/L
08/24/1997,20,FEET,68,DEGREES F,9,MG/L
08/24/1997,40,FEET,54,DEGREES F,5,MG/L
09/21/1997,3,FEET,66,DEGREES F,10,MG/L
09/21/1997,15,FEET,66,DEGREES F,10,MG/L
09/21/1997,20,FEET,65,DEGREES F,9,MG/L
09/21/1997,40,FEET,56,DEGREES F,5,MG/L
10/05/1997,3,FEET,60,DEGREES F,9,MG/L
10/05/1997,15,FEET,60,DEGREES F,8,MG/L
10/05/1997,20,FEET,60,DEGREES F,8,MG/L
10/05/1997,40,FEET,58,DEGREES F,6,MG/L
06/24/1998,3,FEET,72,DEGREES F,8,MG/L
06/24/1998,15,FEET,72,DEGREES F,8,MG/L
06/24/1998,20,FEET,67,DEGREES F,9,MG/L
06/24/1998,40,FEET,52,DEGREES F,5,MG/L
06/30/1998,3,FEET,73,DEGREES F,8,MG/L
07/29/1998,3,FEET,74,DEGREES F,8,MG/L
07/29/1998,15,FEET,74,DEGREES F,8,MG/L
07/29/1998,20,FEET,64,DEGREES F,8,MG/L
07/29/1998,40,FEET,56,DEGREES F,3,MG/L
08/27/1998,3,FEET,74,DEGREES F,9,MG/L
08/27/1998,15,FEET,74,DEGREES F,8,MG/L
08/27/1998,20,FEET,67,DEGREES F,7,MG/L
08/27/1998,40,FEET,54,DEGREES F,4,MG/L
09/28/1998,3,FEET,64,DEGREES F,8,MG/L
09/28/1998,15,FEET,64,DEGREES F,8,MG/L
09/28/1998,20,FEET,63,DEGREES F,5,MG/L
09/28/1998,40,FEET,60,DEGREES F,4,MG/L
05/30/1999,3,FEET,64,DEGREES F,10,MG/L
05/30/1999,15,FEET,60,DEGREES F,9,MG/L
05/30/1999,20,FEET,58,DEGREES F,8,MG/L
05/30/1999,40,FEET,48,DEGREES F,7,MG/L
06/22/1999,3,FEET,70,DEGREES F,10,MG/L
06/22/1999,15,FEET,68,DEGREES F,10,MG/L
06/22/1999,20,FEET,58,DEGREES F,9,MG/L
06/22/1999,40,FEET,50,DEGREES F,5,MG/L
07/20/1999,3,FEET,76,DEGREES F,9,MG/L
07/20/1999,15,FEET,74,DEGREES F,8,MG/L
07/20/1999,20,FEET,72,DEGREES F,8,MG/L
07/20/1999,40,FEET,54,DEGREES F,6,MG/L
08/24/1999,3,FEET,70,DEGREES F,8,MG/L
08/24/1999,15,FEET,70,DEGREES F,8,MG/L
08/24/1999,20,FEET,70,DEGREES F,8,MG/L
08/24/1999,40,FEET,54,DEGREES F,5,MG/L
10/11/1999,3,FEET,54,DEGREES F,8,MG/L
10/11/1999,15,FEET,54,DEGREES F,8,MG/L
10/11/1999,20,FEET,54,DEGREES F,7,MG/L
10/11/1999,40,FEET,54,DEGREES F,6,MG/L
05/30/2000,3,FEET,58,DEGREES F,11,MG/L
05/30/2000,15,FEET,58,DEGREES F,11,MG/L
05/30/2000,20,FEET,58,DEGREES F,8,MG/L
05/30/2000,40,FEET,46,DEGREES F,12,MG/L
06/27/2000,3,FEET,68,DEGREES F,10,MG/L
06/27/2000,15,FEET,68,DEGREES F,9,MG/L
06/27/2000,20,FEET,60,DEGREES F,9,MG/L
06/27/2000,40,FEET,50,DEGREES F,6,MG/L
07/30/2000,3,FEET,72,DEGREES F,11,MG/L
07/30/2000,15,FEET,72,DEGREES F,11,MG/L
07/30/2000,20,FEET,72,DEGREES F,10,MG/L
07/30/2000,40,FEET,50,DEGREES F,3,MG/L
08/21/2000,3,FEET,71,DEGREES F,9,MG/L
08/21/2000,15,FEET,71,DEGREES F,9,MG/L
08/21/2000,20,FEET,70,DEGREES F,9,MG/L
08/21/2000,40,FEET,49,DEGREES F,1,MG/L
09/24/2000,3,FEET,62,DEGREES F,8,MG/L
09/24/2000,15,FEET,62,DEGREES F,8,MG/L
09/24/2000,20,FEET,60,DEGREES F,5,MG/L
09/24/2000,40,FEET,52,DEGREES F,1,MG/L
05/12/2001,3,FEET,54,DEGREES F,11,MG/L
05/12/2001,15,FEET,47,DEGREES F,8,MG/L
05/12/2001,20,FEET,47,DEGREES F,9,MG/L
05/12/2001,40,FEET,42,DEGREES F,7,MG/L
06/12/2001,3,FEET,68,DEGREES F,10,MG/L
06/12/2001,15,FEET,62,DEGREES F,8,MG/L
06/12/2001,20,FEET,60,DEGREES F,9,MG/L
06/12/2001,40,FEET,49,DEGREES F,5,MG/L
