Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Emma Lake,Oneida,983500,NO,44,,443094,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/01/1979,,,,,,,,,,,,,
8190668,06/29/1993,5.5,NO,1.7,,,53,,,NORMAL (CREEK FLOWING),,,BROWN,2-Very minor aesthetic problems
8190668,07/15/1993,5.75,NO,1.7,,,52,,,LOW,,,BROWN,2-Very minor aesthetic problems
8189835,08/26/2000,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/09/2000,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/17/2000,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/24/2000,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/30/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189835,10/11/2000,10,NO,3,,,44,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/09/2001,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/12/2001,9.75,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,06/21/2001,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,06/26/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/03/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,08/03/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189062,08/13/2001,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,08/19/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/20/2001,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/28/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,10/11/2001,9.25,NO,2.8,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/10/2002,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/18/2002,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/28/2002,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/03/2002,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/23/2002,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/02/2002,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/10/2002,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/20/2002,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/26/2002,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/16/2002,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,10/10/2002,7.75,NO,2.4,,,48,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,05/17/2003,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,06/13/2003,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,06/19/2003,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,06/27/2003,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,07/05/2003,8.75,NO,2.7,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,07/13/2003,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,07/17/2003,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,07/29/2003,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189062,08/12/2003,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,05/15/2004,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/07/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/28/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/01/2004,8.25,NO,2.5,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/09/2004,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/06/2004,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/14/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,09/04/2004,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,10/11/2004,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189062,05/07/2005,12,NO,3.6,,,41,,,NORMAL,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,05/29/2005,10,NO,3,,,44,,,NORMAL,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,06/09/2005,11.25,NO,3.4,,,42,,,NORMAL,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,06/24/2005,8,NO,2.4,,,47,,,NORMAL,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189835,07/06/2005,8,NO,2.4,,,47,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,07/15/2005,10,NO,3,,,44,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,07/21/2005,10,NO,3,,,44,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,08/06/2005,9.5,NO,2.9,,,45,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,08/11/2005,11,NO,3.3,,,43,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,08/20/2005,9.25,NO,2.8,,,45,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189062,09/18/2005,11.5,NO,3.5,,,42,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
7000105,09/28/2005,,,,,15,,49,,,,,,
8189062,10/10/2005,13.25,NO,4,,,40,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8189835,10/16/2005,14,YES,4.3,,,39,,,LOW,864.9,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,05/13/2006,14,YES,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,05/21/2006,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,05/29/2006,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,06/07/2006,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,06/27/2006,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,07/10/2006,10.25,NO,3.1,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,07/12/2006,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190668,08/07/2006,7.5,NO,2.3,,,48,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8190668,08/12/2006,7.5,NO,2.3,,,48,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8190668,08/27/2006,8.25,NO,2.5,,,47,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
7000126,08/28/2007,,,,4.92,13,,48,47,,,,,
8189835,06/03/2011,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189835,06/13/2011,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189835,06/24/2011,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/04/2011,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/19/2011,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189835,08/01/2011,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/05/2011,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/15/2011,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189835,09/04/2011,7.75,NO,2.4,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
130849533,07/15/2016,3.5,NO,1.1,,,59,,,,,CLEAR,RED,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/01/1979,,,23.5,C,,
07/15/2016,2,FEET,73.1,DEGREES F,7.09,MG/L
07/15/2016,4,FEET,73,DEGREES F,6.88,MG/L
07/15/2016,6,FEET,72.9,DEGREES F,6.77,MG/L
07/15/2016,8,FEET,72.5,DEGREES F,6.42,MG/L
07/15/2016,10,FEET,72.4,DEGREES F,6.4,MG/L
07/15/2016,12,FEET,72.4,DEGREES F,6.36,MG/L



Start Date,Fieldwork Comment
08/01/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
06/29/1993,First time monitored- mostly cloudy- calm winds- loons with 2 chicks    
07/15/1993,Mostly sunny- light wind- loons without chicks    
07/22/1993,Mostly cloudy- overcast- light SE wind    
08/01/1993,Weather- partly cloudy- moderate NW wind- light chop on water.    
08/07/1993,Clear- no clouds- lake calm    
08/15/1993,Overcast- threatening rain- light NE breeze.  Assumed sample time was noon.    
08/21/1993,Clear skies- light breeze from south    
08/27/1993,Overcast- moderate N winds- light chop on water- brief heavy rain last night    
09/19/1993,Hazy overcast- light winds e- light ripple    
09/25/1993,Hazy overcast- calm wind- mirror like lake    
10/09/1993,Weather is sunny- wind from the north- waves about 6 inches.  This will be the last reading for the year.    
07/03/1994,Mostly sunny-wind from se-waves less than 6".    
07/10/1994,Weather-overcast- light chop (less than 4") .    
07/18/1994,Weather sunny- slight ripple- baby loon getting big.    
07/24/1994,Partly cloudy-wind from west- 6" chop on water.    
08/01/1994,Overcast + light winds.  Very heavy rain yesterday.    
09/09/1994,Secchi reading of 11' is an average of 5 readings.  Never saw water this clear!  last few days have been very calm + no rain was very light.  Today is very clear and calm.    
09/17/1994,7-10" of rain from 9/12 to 9/15.  Secchi disc depth last week was 11'.  Weather - clear and windy.  One foot waves.    
10/14/1994,Weather clear - about 4" chop on water - last report for 1994.    
05/19/1995,Clear skies - light wind from north about 4-6" chop on water.  First sample for '95.    
06/17/1995,Clear to mostly sunny.  South wind about 6" waves.    
06/23/1995,Clear- hot- light breeze.  Hot + calm for over a week.    
07/02/1995,Partly cloudy-south-southwest wind.  One foot chop on water- very windy yesterday.  Loon still on nest.    
07/09/1995,Mostly sunny- light breeze from north 1-12" waves.  Rain last night.  Loon still on nest.    
07/16/1995,Heavy rain 7/14-15/95.  Partly cloudy light north wind.  2" waves- loon still on nest!  Lake level: Rising    
07/23/1995,Mostly sunny- light breeze from west- 2-3" waves.  Baby loon hatched this week!  it's about time!    
07/29/1995,Clear sky-light wind- 1-2" waves.  Baby loon doing fine!    
08/13/1995,Partly cloudy- 3" waves from se.  Baby loon doing well.  Lots for rain past week.    
08/18/1995,Partly cloudy- 4" waves from se.  Baby loon about the size of adult mallards.    
09/02/1995,Clear skies- very light breeze from west.    
09/10/1995,Clear light breeze from west.  Frost last three nights.    
09/16/1995,Clear-strong wind from northwest.  Lots of rain this a.m.  Lot of green run-off.    
09/27/1995,Absolutely beautiful day-no clouds and dead calm.    
06/08/1996,Lots of pollen + windy last few days.    
07/04/1996,Partly/mostly cloudy + calm. no baby loon this year.    
07/20/1996,Perfectly clear. breeze from se. lots of rain past week! very windy yesterday.    
08/02/1996,Mostly sunny.  Dead calm.  Unseasonably cold last week- lows in low 40s- highs in 60s.    
08/10/1996,Partly cloudy.  Light wind from south.  Lots and lots and lots of rain 8/7/96.    
08/17/1996,Absolutely perfect day!  clear skies- light breeze from the west.    
08/24/1996,Clear skies-gusty wind from southwest. almost strong enough for whitecaps.    
08/31/1996,Mostly sunny- light breeze from southwest. no rain for past week.    
09/19/1996,Sunny-wind from east. nice today- 70 degrees. cold past week (high 50's) .    
10/01/1996,Water almost clear/blue. cold!! beautiful day. clear + windy. whitecaps from south- 72 degrees F. almost peak fall color.    
10/12/1996,Clear skies- wind from south. last sample for 1996!    
06/14/1997,Lots of pollen.  First sample of 1997.    
06/28/1997,1 foot waves from the south.  Windy.  Very little loon activity all spring.  No chicks yet.    
07/06/1997,Partly cloudy.  North wind at 8-10 mph.  Waves and lots of rain this past week.    
07/12/1997,Overcast with a southerly wind  8 inch waves.  First sighting of 2 loon chicks with the adults.    
07/18/1997,Mostly sunny and calm.  Baby loons are twice the size of last week.    
07/26/1997,Sunny and calm.  Loons are doing fine.    
08/02/1997,Sunny and warm.  Light NW winds.  Loons are okay.    
08/23/1997,Overcast.  South wind.  5 adult loons on lake last night.    
08/29/1997,Clear sky- light winds from the south    
09/06/1997,Mostly cloudy- light winds out of northwest.    
09/14/1997,Clear and calm- perfect for a test- young loons are independent of parents but not yet flying    
09/20/1997,Partly cloudy and windy from the north- rain on 9/19/97- saw young loons with adults previously they were out by themselves    
05/04/1998,Lots of pollen.    
06/26/1998,Clear and calm.    
07/10/1998,No sign of loon chicks.    
07/19/1998,Still no loon chicks.    
07/26/1998,Water very low.    
08/12/1998,Mirror calm.    
08/29/1998,No loon babies this year.    
09/13/1998,Water level still dropping.    
05/22/1999,Clear and calm- lake level down 6 inches over the last 3 weeks.    
05/30/1999,Lots of cotton and pollen/tent caterpillars    
06/21/1999,S wind- 8 to 10 inch waves.  Loon on nest.    
06/27/1999,Loon off nest- have not seen chicks.    
07/07/1999,Windy- 12-18 inch waves.  No loon chicks yet.    
07/29/1999,8 inch waves from NW- hot 90 degrees.    
08/07/1999,Cooler- high in the low 70's.    
08/14/1999,Clear and cold last night- 45 degrees.    
08/25/1999,Calm- 80 degrees.    
09/04/1999,Warm lately- high 80's - south wind.    
05/07/2000,First sample of year.  Partly cloudy.  Light wind from west.  Lots of pollen.    
05/28/2000,Partly cloudy- wind from NE.  Cold last week.    
06/03/2000,Partly cloudy - light wind from south.  Huge population of forest tent caterpillars.    
06/18/2000,Mostly sunny now with intermittent showers - satellite monitor today.    
06/27/2000,Notable algae bloom on 6/25 that was significantly less on 6/26.    
07/11/2000,Partly cloudy- wind SW- almost calm- 7 inches of rain from 7/7 to 7/9.    
07/14/2000,North wind- 5" waves - water level almost back to normal.    
08/06/2000,No loon chicks this year again.    
08/26/2000,Partly cloudy- brisk north wind- 8" waves.    
09/09/2000,Beautiful!  last day for skiing + tubing.    
09/17/2000,Clear - very light breeze from n.  Beautiful day.    
09/24/2000,Cloudless sky- NW wind- hard frost last night.    
09/30/2000,Warm south wind- very strong winds yesterday (25-35 mph).    
10/11/2000,Beautiful sunny- temp mid 60s- light SW wind.    
06/09/2001,Partly cloudy and very calm water.    
06/12/2001,Partly cloudy- calm- all trees except for pines and red maple defoliated by forest tent caterpillar.    
06/21/2001,Cloudy and light wind from the east.    
06/26/2001,Sunny- hot and a west wind.    
07/03/2001,Cloudy- southwest wind- and saw one loon chick this week.    
08/03/2001,Partly sunny- the temperature is in the 70s- north wind- and haven't seen the loon chick for a long time.    
08/13/2001,Very light wind and a nice warm day.    
08/19/2001,Partly cloudy and wind from the north.    
09/20/2001,Partly cloudy and warm.    
09/28/2001,Partly cloudy and a nice warm day.    
10/11/2001,Sunny and warm.  Last secchi reading for 2001.    
06/10/2002,First sample for 2002.  Late spring this year.  Partly cloudy.  Wind from SE.    
06/18/2002,SE wind.  Temp in 70s.  Nice day.  Loons on nest.    
06/28/2002,Sunny.  Saw 2 loon chicks!    
07/03/2002,Warm.  Great day.    
07/23/2002,Sunny and cool.  Lots of rain this morning.    
