Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Crystal Lake,Langlade,184200,NO,34,,213044,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190318,06/08/1986,22,NO,6.7,,,33,,,,,CLEAR,BLUE,
8190318,06/21/1986,18,NO,5.5,,,35,,,,,CLEAR,BLUE,
8190318,07/13/1986,21,NO,6.4,,,33,,,,,CLEAR,BLUE,
8190318,07/28/1986,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,
8190318,08/03/1986,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,
8190318,08/17/1986,22.75,NO,6.9,,,32,,,,,CLEAR,BLUE,
8190318,08/31/1986,24.5,NO,7.4,,,31,,,,,CLEAR,BLUE,
8190318,09/28/1986,16.5,NO,5,,,37,,,,,CLEAR,BLUE,
8190318,10/25/1986,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190318,04/12/1987,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,
8190318,04/25/1987,18,NO,5.5,,,35,,,,,CLEAR,BLUE,
8190318,05/09/1987,16.25,NO,4.9,,,37,,,,,,GREEN,
8190318,05/17/1987,14.5,NO,4.4,,,39,,,,,,GREEN,
8190318,06/16/1987,13,NO,4,,,40,,,,,,GREEN,
8190318,06/21/1987,12,NO,3.6,,,41,,,,,,GREEN,
8190318,07/06/1987,13,NO,4,,,40,,,,,,GREEN,
8190318,07/19/1987,11,NO,3.3,,,43,,,,,,GREEN,
8190318,07/26/1987,9.5,NO,2.9,,,45,,,,,,GREEN,
8190318,08/02/1987,13,NO,4,,,40,,,,,,GREEN,
8190318,08/08/1987,16.5,NO,5,,,37,,,,,CLEAR,BLUE,
8190318,08/15/1987,19,NO,5.8,,,35,,,,,CLEAR,BLUE,
8190318,08/23/1987,16.5,NO,5,,,37,,,,,CLEAR,BLUE,
8190318,08/29/1987,20.5,NO,6.2,,,34,,,,,CLEAR,BLUE,
8190318,09/05/1987,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,
8190318,10/04/1987,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,
8190318,05/01/1988,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
64082645,08/12/2017,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/26/1990,3,FEET,73,DEGREES F,8,MG/L
08/26/1990,6,FEET,72,DEGREES F,8,MG/L
08/26/1990,9,FEET,72,DEGREES F,7,MG/L
08/26/1990,12,FEET,72,DEGREES F,7,MG/L
08/26/1990,15,FEET,71,DEGREES F,7,MG/L
08/26/1990,20,FEET,71,DEGREES F,7,MG/L
08/26/1990,25,FEET,67,DEGREES F,6,MG/L
08/26/1990,30,FEET,62,DEGREES F,1,MG/L
08/26/1990,35,FEET,56,DEGREES F,1,MG/L
09/30/1990,3,FEET,60,DEGREES F,8,MG/L
09/30/1990,6,FEET,60,DEGREES F,7,MG/L
09/30/1990,9,FEET,60,DEGREES F,7,MG/L
09/30/1990,12,FEET,60,DEGREES F,8,MG/L
09/30/1990,15,FEET,60,DEGREES F,7,MG/L
09/30/1990,20,FEET,60,DEGREES F,8,MG/L
09/30/1990,25,FEET,30,DEGREES F,8,MG/L
09/30/1990,30,FEET,30,DEGREES F,7,MG/L
09/30/1990,35,FEET,56,DEGREES F,2,MG/L
08/17/1991,3,FEET,75,DEGREES F,9,MG/L
08/17/1991,6,FEET,75,DEGREES F,8,MG/L
08/17/1991,9,FEET,75,DEGREES F,8,MG/L
08/17/1991,12,FEET,75,DEGREES F,9,MG/L
08/17/1991,15,FEET,73,DEGREES F,9,MG/L
08/17/1991,20,FEET,69,DEGREES F,10,MG/L
08/17/1991,25,FEET,59,DEGREES F,5,MG/L
08/17/1991,30,FEET,56,DEGREES F,2,MG/L
08/17/1991,35,FEET,54,DEGREES F,2,MG/L
10/13/1991,3,FEET,53,DEGREES F,9,MG/L
10/13/1991,6,FEET,52,DEGREES F,9,MG/L
10/13/1991,9,FEET,51,DEGREES F,9,MG/L
10/13/1991,12,FEET,51,DEGREES F,9,MG/L
10/13/1991,15,FEET,51,DEGREES F,9,MG/L
10/13/1991,20,FEET,51,DEGREES F,9,MG/L
10/13/1991,25,FEET,50,DEGREES F,9,MG/L
10/13/1991,30,FEET,50,DEGREES F,9,MG/L
10/13/1991,35,FEET,50,DEGREES F,9,MG/L
08/16/1992,3,FEET,70,DEGREES F,8,MG/L
08/16/1992,6,FEET,70,DEGREES F,8,MG/L
08/16/1992,9,FEET,70,DEGREES F,8,MG/L
08/16/1992,12,FEET,70,DEGREES F,9,MG/L
08/16/1992,15,FEET,70,DEGREES F,8,MG/L
08/16/1992,20,FEET,69,DEGREES F,8,MG/L
08/16/1992,25,FEET,61,DEGREES F,8,MG/L
08/16/1992,30,FEET,55,DEGREES F,3,MG/L
08/16/1992,35,FEET,51,DEGREES F,1,MG/L
08/08/1993,3,FEET,68,DEGREES F,,
08/08/1993,6,FEET,68,DEGREES F,,
08/08/1993,9,FEET,66,DEGREES F,,
08/08/1993,12,FEET,66,DEGREES F,,
08/08/1993,15,FEET,61,DEGREES F,,
08/08/1993,20,FEET,60,DEGREES F,,
08/08/1993,25,FEET,52,DEGREES F,,
08/08/1993,30,FEET,47,DEGREES F,,
08/08/1993,35,FEET,45,DEGREES F,,
10/10/1993,3,FEET,51,DEGREES F,9,MG/L
10/10/1993,6,FEET,51,DEGREES F,9,MG/L
10/10/1993,9,FEET,51,DEGREES F,9,MG/L
10/10/1993,12,FEET,51,DEGREES F,9,MG/L
10/10/1993,15,FEET,51,DEGREES F,9,MG/L
10/10/1993,20,FEET,51,DEGREES F,9,MG/L
10/10/1993,25,FEET,51,DEGREES F,9,MG/L
10/10/1993,30,FEET,51,DEGREES F,9,MG/L
10/10/1993,35,FEET,51,DEGREES F,9,MG/L
07/30/1994,3,FEET,74,DEGREES F,8,MG/L
07/30/1994,6,FEET,73,DEGREES F,8,MG/L
07/30/1994,9,FEET,73,DEGREES F,8,MG/L
07/30/1994,12,FEET,73,DEGREES F,8,MG/L
07/30/1994,15,FEET,73,DEGREES F,8,MG/L
07/30/1994,20,FEET,70,DEGREES F,9,MG/L
07/30/1994,25,FEET,65,DEGREES F,8,MG/L
07/30/1994,30,FEET,57,DEGREES F,2,MG/L
07/30/1994,35,FEET,55,DEGREES F,0,MG/L
08/28/1994,3,FEET,71,DEGREES F,8,MG/L
08/28/1994,6,FEET,71,DEGREES F,8,MG/L
08/28/1994,9,FEET,71,DEGREES F,8,MG/L
08/28/1994,12,FEET,71,DEGREES F,8,MG/L
08/28/1994,15,FEET,71,DEGREES F,8,MG/L
08/28/1994,20,FEET,70,DEGREES F,8,MG/L
08/28/1994,25,FEET,69,DEGREES F,2,MG/L
08/28/1994,30,FEET,60,DEGREES F,1,MG/L
08/28/1994,35,FEET,55,DEGREES F,0,MG/L
07/30/1995,3,FEET,77,DEGREES F,8,MG/L
07/30/1995,6,FEET,77,DEGREES F,8,MG/L
07/30/1995,9,FEET,76,DEGREES F,8,MG/L
07/30/1995,12,FEET,76,DEGREES F,8,MG/L
07/30/1995,15,FEET,76,DEGREES F,8,MG/L
07/30/1995,20,FEET,68,DEGREES F,10,MG/L
07/30/1995,25,FEET,59,DEGREES F,10,MG/L
07/30/1995,30,FEET,53,DEGREES F,5,MG/L
07/30/1995,35,FEET,50,DEGREES F,0,MG/L
09/04/1995,3,FEET,72,DEGREES F,8,MG/L
09/04/1995,6,FEET,72,DEGREES F,8,MG/L
09/04/1995,9,FEET,72,DEGREES F,8,MG/L
09/04/1995,12,FEET,71,DEGREES F,8,MG/L
09/04/1995,15,FEET,71,DEGREES F,8,MG/L
09/04/1995,20,FEET,70,DEGREES F,8,MG/L
09/04/1995,25,FEET,61,DEGREES F,6,MG/L
09/04/1995,30,FEET,55,DEGREES F,2,MG/L
09/04/1995,35,FEET,49,DEGREES F,0,MG/L
10/08/1995,3,FEET,54,DEGREES F,8,MG/L
10/08/1995,6,FEET,54,DEGREES F,8,MG/L
10/08/1995,9,FEET,54,DEGREES F,8,MG/L
10/08/1995,12,FEET,54,DEGREES F,8,MG/L
10/08/1995,15,FEET,53,DEGREES F,8,MG/L
10/08/1995,20,FEET,54,DEGREES F,8,MG/L
10/08/1995,25,FEET,56,DEGREES F,8,MG/L
10/08/1995,30,FEET,56,DEGREES F,8,MG/L
10/08/1995,35,FEET,55,DEGREES F,6,MG/L
07/27/1996,3,FEET,72,DEGREES F,8,MG/L
07/27/1996,6,FEET,72,DEGREES F,8,MG/L
07/27/1996,9,FEET,71,DEGREES F,8,MG/L
07/27/1996,12,FEET,71,DEGREES F,8,MG/L
07/27/1996,15,FEET,70,DEGREES F,7,MG/L
07/27/1996,20,FEET,65,DEGREES F,9,MG/L
07/27/1996,25,FEET,54,DEGREES F,9,MG/L
07/27/1996,30,FEET,52,DEGREES F,3,MG/L
07/27/1996,35,FEET,50,DEGREES F,1,MG/L
08/25/1996,3,FEET,73,DEGREES F,7,MG/L
08/25/1996,6,FEET,73,DEGREES F,8,MG/L
08/25/1996,9,FEET,73,DEGREES F,8,MG/L
08/25/1996,12,FEET,73,DEGREES F,8,MG/L
08/25/1996,15,FEET,72,DEGREES F,7,MG/L
08/25/1996,20,FEET,71,DEGREES F,9,MG/L
08/25/1996,25,FEET,59,DEGREES F,7,MG/L
08/25/1996,30,FEET,53,DEGREES F,3,MG/L
08/25/1996,35,FEET,50,DEGREES F,0,MG/L
05/26/1997,1,FEET,55,DEGREES F,,
07/20/1997,3,FEET,76,DEGREES F,7,MG/L
07/20/1997,6,FEET,76,DEGREES F,7,MG/L
07/20/1997,9,FEET,76,DEGREES F,8,MG/L
07/20/1997,12,FEET,75,DEGREES F,8,MG/L
07/20/1997,15,FEET,71,DEGREES F,8,MG/L
07/20/1997,20,FEET,68,DEGREES F,9,MG/L
07/20/1997,25,FEET,65,DEGREES F,9,MG/L
07/20/1997,30,FEET,56,DEGREES F,6,MG/L
07/20/1997,35,FEET,53,DEGREES F,1,MG/L
08/31/1997,3,FEET,68,DEGREES F,8,MG/L
08/31/1997,6,FEET,67,DEGREES F,8,MG/L
08/31/1997,9,FEET,66,DEGREES F,8,MG/L
08/31/1997,12,FEET,66,DEGREES F,8,MG/L
08/31/1997,15,FEET,66,DEGREES F,8,MG/L
08/31/1997,20,FEET,65,DEGREES F,8,MG/L
08/31/1997,25,FEET,64,DEGREES F,6,MG/L
08/31/1997,30,FEET,60,DEGREES F,3,MG/L
08/31/1997,35,FEET,54,DEGREES F,0,MG/L
07/19/1998,3,FEET,78,DEGREES F,8,MG/L
07/19/1998,6,FEET,78,DEGREES F,8,MG/L
07/19/1998,9,FEET,77,DEGREES F,8,MG/L
07/19/1998,12,FEET,77,DEGREES F,8,MG/L
07/19/1998,15,FEET,76,DEGREES F,8,MG/L
07/19/1998,20,FEET,68,DEGREES F,10,MG/L
07/19/1998,25,FEET,60,DEGREES F,3,MG/L
07/19/1998,30,FEET,54,DEGREES F,0,MG/L
07/19/1998,35,FEET,48,DEGREES F,0,MG/L
09/06/1998,3,FEET,72,DEGREES F,7,MG/L
09/06/1998,6,FEET,72,DEGREES F,8,MG/L
09/06/1998,9,FEET,72,DEGREES F,8,MG/L
09/06/1998,12,FEET,72,DEGREES F,8,MG/L
09/06/1998,15,FEET,72,DEGREES F,8,MG/L
09/06/1998,20,FEET,71,DEGREES F,8,MG/L
09/06/1998,25,FEET,70,DEGREES F,8,MG/L
09/06/1998,30,FEET,65,DEGREES F,3,MG/L
09/06/1998,35,FEET,55,DEGREES F,0,MG/L
06/13/1999,3,FEET,,,8,MG/L
06/13/1999,6,FEET,,,8,MG/L
06/13/1999,9,FEET,,,8,MG/L
06/13/1999,12,FEET,,,9,MG/L
06/13/1999,15,FEET,,,9,MG/L
06/13/1999,20,FEET,,,10,MG/L
06/13/1999,25,FEET,,,9,MG/L
06/13/1999,30,FEET,,,6,MG/L
06/13/1999,35,FEET,,,5,MG/L
07/25/1999,3,FEET,81,DEGREES F,7,MG/L
07/25/1999,6,FEET,80,DEGREES F,8,MG/L
07/25/1999,9,FEET,80,DEGREES F,8,MG/L
07/25/1999,12,FEET,78,DEGREES F,8,MG/L
07/25/1999,15,FEET,78,DEGREES F,8,MG/L
07/25/1999,20,FEET,72,DEGREES F,9,MG/L
07/25/1999,25,FEET,60,DEGREES F,5,MG/L
07/25/1999,30,FEET,55,DEGREES F,0,MG/L
07/25/1999,35,FEET,53,DEGREES F,0,MG/L
08/21/1999,3,FEET,74,DEGREES F,8,MG/L
08/21/1999,6,FEET,74,DEGREES F,9,MG/L
08/21/1999,9,FEET,72,DEGREES F,9,MG/L
08/21/1999,12,FEET,72,DEGREES F,9,MG/L
08/21/1999,15,FEET,72,DEGREES F,9,MG/L
