Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tiger Cat Flowage,Sawyer,2435000,NO,58,,583104,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189247,09/23/1997,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/02/1998,7.25,NO,2.2,,,49,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189247,07/23/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/08/1998,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/30/1998,8.5,NO,2.6,,,46,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,09/20/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189247,10/04/1998,8.75,NO,2.7,,,46,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189247,08/04/2002,12,NO,3.6,,,41,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,08/18/2002,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,09/07/2002,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,09/18/2002,16,NO,4.9,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,10/01/2002,15,NO,4.6,,,38,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,04/29/2003,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,05/17/2003,12.75,NO,3.9,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,06/18/2003,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,07/11/2003,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,07/20/2003,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,08/05/2003,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,09/06/2003,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,09/21/2003,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,10/08/2003,13.25,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,04/16/2004,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,05/14/2004,13,NO,4,,15,40,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,05/31/2004,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,06/08/2004,13.75,NO,4.2,,,39,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,06/22/2004,12,NO,3.6,13.8,13,41,48,55,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/05/2004,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,07/30/2004,14,NO,4.3,2.17,11,39,47,41,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,08/25/2004,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,08/31/2004,16.5,NO,5,2.24,14,37,49,41,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,09/10/2004,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,10/10/2004,17,YES,5.2,1.89,13,36,48,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,05/09/2005,15,NO,4.6,,13,38,48,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,05/31/2005,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,06/28/2005,13,NO,4,3.41,14,40,49,44,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,07/11/2005,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,07/17/2005,17,NO,5.2,1.62,17,36,50,38,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,07/27/2005,11.5,NO,3.5,,,42,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189247,08/28/2005,15,NO,4.6,3.85,30,38,54,45,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,10/25/2005,16,NO,4.9,5.09,14,37,49,47,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,05/21/2006,13,NO,4,,57,40,59,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,06/03/2006,14,NO,4.3,,,39,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189247,06/11/2006,17,NO,5.2,4.12,17,36,50,46,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189247,06/30/2006,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/11/2006,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/23/2006,17,NO,5.2,1.29,17,36,50,37,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,07/29/2006,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,08/21/2006,13,NO,4,3.54,17,40,50,44,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189247,09/15/2006,19,YES,5.8,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,09/26/2006,19,YES,5.8,1.74,16,35,50,39,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8189247,04/20/2007,13,NO,4,,,40,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189247,05/09/2007,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,05/19/2007,16,NO,4.9,,17,37,50,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189247,05/30/2007,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,06/24/2007,13.5,NO,4.1,1.78,11,40,47,39,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
18771354,07/07/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/23/2007,16,NO,4.9,2.04,23,37,52,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/31/2007,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/26/2007,18,NO,5.5,1.29,11,35,47,37,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,09/08/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,09/16/2007,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,10/03/2007,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,05/19/2008,11,NO,3.3,,21,43,52,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
18771354,06/07/2008,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,06/23/2008,17,NO,5.2,3.4,17,36,50,44,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,07/09/2008,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/21/2008,15,NO,4.6,1.58,13,38,48,38,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/02/2008,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,08/18/2008,14.5,NO,4.4,1.91,18,39,51,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,09/21/2008,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,10/04/2008,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,04/28/2009,13,NO,4,,26,40,53,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,05/08/2009,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/02/2009,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,06/29/2009,10,NO,3,5.02,19,44,51,47,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
18771354,07/07/2009,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/27/2009,14,NO,4.3,2.1,13,39,48,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/27/2009,15,NO,4.6,,,38,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
18771354,08/31/2009,13,NO,4,1.66,18,40,51,39,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,09/30/2009,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,04/20/2010,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,04/26/2010,12,NO,3.6,,30,41,54,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,05/19/2010,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,05/25/2010,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/05/2010,13,NO,4,3.42,20,40,51,44,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/29/2010,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/06/2010,13,NO,4,,,40,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
18771354,07/24/2010,13,NO,4,8.01,17,40,50,51,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/17/2010,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,09/05/2010,12.5,NO,3.8,1.81,16,41,50,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,09/17/2010,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
18771354,05/04/2011,8.5,NO,2.6,,19,46,51,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,05/19/2011,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/08/2011,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/02/2011,10,NO,3,4.74,19,44,51,47,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18138645,07/16/2011,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/25/2011,13,NO,4,2.7,22,40,52,42,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/09/2011,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/23/2011,14,NO,4.3,1.83,17,39,50,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,09/08/2011,17.75,NO,5.4,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,10/03/2011,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,04/14/2012,12.25,NO,3.7,,16,41,50,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,05/09/2012,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,05/25/2012,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/07/2012,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,06/26/2012,11,NO,3.3,3.69,17,43,50,45,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
18771354,07/05/2012,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/30/2012,15,NO,4.6,2.34,15,38,49,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/14/2012,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/26/2012,16.25,NO,4.9,1.48,10,37,46,38,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,09/14/2012,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,05/21/2013,11.5,NO,3.5,,18.6,42,51,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/12/2013,14.25,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/24/2013,14,NO,4.3,4.16,7.75,39,44,46,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
18771354,07/10/2013,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,07/29/2013,15,NO,4.6,2.16,9.57,38,46,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/10/2013,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,08/26/2013,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,09/02/2013,10,NO,3,2.54,18.5,44,51,42,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,09/11/2013,,NO,,,,,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,05/18/2014,8,NO,2.4,,14.8,47,49,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,05/31/2014,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,06/08/2014,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771354,06/29/2014,11,NO,3.3,2.77,16.3,43,50,43,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,07/06/2014,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,07/21/2014,11.5,NO,3.5,3.31,15.6,42,49,44,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,08/14/2014,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18771354,08/26/2014,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189247,09/08/2014,,,,4.61,16.2,,50,46,,,,,
18771354,09/08/2014,12.5,NO,3.8,,,41,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
18771354,09/25/2014,12,NO,3.6,,,41,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
117598691,05/20/2015,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
117598691,06/09/2015,12.5,YES,3.8,2.92,14.2,41,49,43,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
117598722,07/20/2015,10,NO,3,2.99,17.3,44,50,43,NORMAL,,MURKY,BLUE,3-Enjoyment somewhat impaired (algae)
117598691,08/17/2015,9.5,NO,2.9,3.04,19.1,45,51,43,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
117598691,09/23/2015,12,NO,3.6,,,41,,,LOW,,MURKY,BLUE,3-Enjoyment somewhat impaired (algae)
117598722,05/15/2016,,,,,13.5,,48,,,,,,
137527343,05/21/2016,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
117598722,06/15/2016,,,,1.92,14.5,,49,40,,,,,
137527343,06/15/2016,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
137527343,07/17/2016,11,NO,3.3,,,43,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
137527343,08/21/2016,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
1,05/12/2017,,,,,24.1,,53,,,,,,
117598722,05/31/2017,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
117598722,06/21/2017,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
117598722,07/12/2017,15.5,NO,4.7,2.1,16.8,38,50,40,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
117598722,08/22/2017,10,NO,3,3.38,23.4,44,53,44,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
117598722,09/15/2017,,,,,,,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/04/1999,,,11.3,C,9.4,MG/L
06/09/1999,,,16.9,C,2.3,MG/L
07/08/1999,,,18.8,C,0.1,MG/L
08/17/1999,3.28,FEET,,,8.2,MG/L
08/17/1999,16.4,FEET,,,8,MG/L
08/17/1999,,,21.2,C,8.0,MG/L
04/18/2000,,,5.1,C,11.4,MG/L
08/08/2000,,,20.3,C,0.1,MG/L
05/14/2004,0,FEET,55.7,DEGREES F,,
05/14/2004,3,FEET,56.4,DEGREES F,6,MG/L
05/14/2004,6,FEET,56.4,DEGREES F,6,MG/L
05/14/2004,9,FEET,56.4,DEGREES F,7,MG/L
05/14/2004,12,FEET,56.4,DEGREES F,7,MG/L
05/14/2004,15,FEET,56.4,DEGREES F,8,MG/L
05/14/2004,18,FEET,55.4,DEGREES F,,
06/22/2004,0,FEET,67.2,DEGREES F,,
06/22/2004,3,FEET,67.2,DEGREES F,8,MG/L
06/22/2004,6,FEET,67.2,DEGREES F,8,MG/L
06/22/2004,9,FEET,66.9,DEGREES F,8,MG/L
06/22/2004,12,FEET,66,DEGREES F,9,MG/L
06/22/2004,15,FEET,65.6,DEGREES F,10,MG/L
06/22/2004,18,FEET,65.2,DEGREES F,,
07/30/2004,0,FEET,74.1,DEGREES F,,
07/30/2004,3,FEET,73.9,DEGREES F,6,MG/L
07/30/2004,6,FEET,73.7,DEGREES F,6,MG/L
07/30/2004,9,FEET,73.7,DEGREES F,7,MG/L
07/30/2004,12,FEET,73.5,DEGREES F,7,MG/L
07/30/2004,15,FEET,73.2,DEGREES F,7,MG/L
07/30/2004,18,FEET,69.4,DEGREES F,,
08/31/2004,0,FEET,65.6,DEGREES F,,
08/31/2004,3,FEET,65.6,DEGREES F,6,MG/L
08/31/2004,6,FEET,65.6,DEGREES F,7,MG/L
08/31/2004,9,FEET,65.6,DEGREES F,7,MG/L
08/31/2004,12,FEET,65.6,DEGREES F,7,MG/L
08/31/2004,15,FEET,65.4,DEGREES F,6,MG/L
08/31/2004,18,FEET,65.1,DEGREES F,,
10/10/2004,0,FEET,55,DEGREES F,,
10/10/2004,3,FEET,55,DEGREES F,5,MG/L
10/10/2004,6,FEET,55,DEGREES F,5,MG/L
10/10/2004,9,FEET,54.8,DEGREES F,4,MG/L
10/10/2004,12,FEET,54.8,DEGREES F,4,MG/L
10/10/2004,15,FEET,54.8,DEGREES F,4,MG/L
10/10/2004,18,FEET,55.4,DEGREES F,,
05/09/2005,1,FEET,57,DEGREES F,,
05/09/2005,3,FEET,56.6,DEGREES F,6,MG/L
05/09/2005,6,FEET,56.4,DEGREES F,,
05/09/2005,9,FEET,56.3,DEGREES F,7,MG/L
05/09/2005,12,FEET,56.1,DEGREES F,8,MG/L
05/09/2005,15,FEET,56.1,DEGREES F,7,MG/L
05/09/2005,18,FEET,54.3,DEGREES F,,
05/09/2005,20,FEET,54.3,DEGREES F,,
06/28/2005,0,FEET,79.7,DEGREES F,,
06/28/2005,3,FEET,78.2,DEGREES F,7,MG/L
06/28/2005,6,FEET,77.7,DEGREES F,,
06/28/2005,9,FEET,77.1,DEGREES F,8,MG/L
06/28/2005,12,FEET,76.8,DEGREES F,8,MG/L
06/28/2005,15,FEET,73.7,DEGREES F,7,MG/L
06/28/2005,18,FEET,69.8,DEGREES F,,
06/28/2005,20,FEET,65.8,DEGREES F,6,MG/L
07/17/2005,0,FEET,84,DEGREES F,,
07/17/2005,3,FEET,84.9,DEGREES F,8,MG/L
07/17/2005,6,FEET,84.2,DEGREES F,,
07/17/2005,9,FEET,83.8,DEGREES F,8,MG/L
07/17/2005,12,FEET,83.3,DEGREES F,7,MG/L
07/17/2005,15,FEET,75,DEGREES F,7,MG/L
07/17/2005,18,FEET,72,DEGREES F,6,MG/L
08/28/2005,0,FEET,68.9,DEGREES F,,
08/28/2005,3,FEET,68.9,DEGREES F,6,MG/L
08/28/2005,6,FEET,68.9,DEGREES F,,
08/28/2005,9,FEET,68.9,DEGREES F,7,MG/L
08/28/2005,12,FEET,68.9,DEGREES F,7,MG/L
08/28/2005,15,FEET,68.9,DEGREES F,7,MG/L
08/28/2005,18,FEET,68.3,DEGREES F,7,MG/L
10/25/2005,0,FEET,41,DEGREES F,,
10/25/2005,3,FEET,47.5,DEGREES F,7,MG/L
10/25/2005,6,FEET,48.2,DEGREES F,,
10/25/2005,9,FEET,48.2,DEGREES F,8,MG/L
10/25/2005,12,FEET,48.2,DEGREES F,8,MG/L
10/25/2005,15,FEET,48.2,DEGREES F,7,MG/L
10/25/2005,18,FEET,49.2,DEGREES F,,
10/25/2005,19,FEET,50,DEGREES F,,
05/21/2006,1,FEET,58.8,DEGREES F,,
05/21/2006,3,FEET,58.8,DEGREES F,7,MG/L
