Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Fence Lake,Vilas,2323000,NO,64,,643173,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190148,07/03/1993,17.75,NO,5.4,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/15/1993,24.75,NO,7.5,,,31,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/21/1993,21.75,NO,6.6,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,07/27/1993,19.75,NO,6,,,34,,,NORMAL,,,SLIGHTLY BROWN,2-Very minor aesthetic problems
8190148,08/07/1993,17.75,NO,5.4,,,36,,,NORMAL,,,SLIGHTLY BROWN,2-Very minor aesthetic problems
8190148,08/19/1993,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,08/25/1993,22.25,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,08/31/1993,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,09/10/1993,16.25,NO,4.9,,,37,,,LOW,,,SLIGHTLY RED,2-Very minor aesthetic problems
8190148,09/18/1993,15.25,NO,4.6,,,38,,,NORMAL,,,SLIGHTLY BROWN,2-Very minor aesthetic problems
8190148,09/23/1993,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/13/1993,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/24/1993,16.25,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/31/1993,12.25,NO,3.7,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,05/18/1994,20.5,NO,6.2,,,34,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,05/18/1994,22.25,NO,6.8,,,32,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,05/24/1994,27,NO,8.2,,,30,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,09/08/1994,16,NO,4.9,,,37,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,09/09/1994,18,NO,5.5,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190148,09/17/1994,18.25,NO,5.5,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190068,09/18/1994,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190068,09/23/1994,16,NO,4.9,,,37,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190068,10/03/1994,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,10/05/1994,17,NO,5.2,,,36,,,,,,GREEN,2-Very minor aesthetic problems
8190068,10/10/1994,15,NO,4.6,,,38,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/10/1994,17.5,NO,5.3,,,36,,,,,,GREEN,
8190148,11/06/1994,12.75,NO,3.9,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190148,05/17/1995,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,05/25/1995,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,05/31/1995,19,NO,5.8,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/06/1995,24.25,NO,7.4,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/13/1995,23.5,NO,7.1,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/23/1995,26.5,NO,8.1,,,30,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/30/1995,23,NO,7,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/11/1995,25.25,NO,7.7,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/20/1995,22.75,NO,6.9,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/28/1995,21.25,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/05/1995,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/15/1995,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/23/1995,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/02/1995,19.75,NO,6,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/17/1995,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/27/1995,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/14/1996,25.75,NO,7.8,,,30,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/25/1996,25.25,NO,7.7,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/03/1996,25.25,NO,7.7,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/10/1996,26.75,NO,8.1,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/16/1996,24.5,NO,7.4,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/31/1996,,,,2.27,,,,41,,,,,
8190148,08/02/1996,21.75,NO,6.6,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/17/1996,21.75,NO,6.6,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/23/1996,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/03/1996,20.5,NO,6.2,1.73,,34,,39,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/18/1996,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,10/21/1996,15.25,NO,4.6,4.71,12,38,47,47,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/09/1997,28.75,NO,8.7,0.76,24,29,53,33,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/26/1997,25.25,NO,7.7,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/09/1997,27.75,NO,8.4,,,29,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/23/1997,25.5,NO,7.8,1.14,11,30,47,36,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,08/11/1997,24.75,NO,7.5,,,31,,,,,CLEAR,,2-Very minor aesthetic problems
8190148,08/27/1997,18.25,NO,5.5,1.61,14,35,49,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/12/1997,20.75,NO,6.3,,,33,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,09/23/1997,17.5,NO,5.3,,,36,,,,,CLEAR,,1-Beautiful, could not be nicer
8190148,10/10/1997,16.75,NO,5.1,,,37,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/22/1997,,,,5.09,16,,50,47,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,05/01/1998,19.25,NO,5.9,,,35,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,05/04/1998,20.5,NO,6.2,,11,34,47,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,05/25/1998,28.5,NO,8.7,,,29,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190148,06/08/1998,25.75,NO,7.8,,,30,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/16/1998,28.25,NO,8.6,,,29,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/23/1998,28.5,NO,8.7,0.99,5,29,41,35,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/01/1998,26.5,NO,8.1,,,30,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/16/1998,26.75,NO,8.1,,,30,,,,,CLEAR,,1-Beautiful, could not be nicer
8190148,07/20/1998,29.25,NO,8.9,0.87,,28,,34,NO CHANGE,,CLEAR,,1-Beautiful, could not be nicer
8190148,07/31/1998,24,NO,7.3,,,31,,,LOW,,CLEAR,,1-Beautiful, could not be nicer
8190148,08/18/1998,22.75,NO,6.9,1.66,7,32,43,39,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/27/1998,21.25,NO,6.5,,,33,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,09/07/1998,20.5,NO,6.2,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,09/12/1998,19.75,NO,6,,,34,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,09/22/1998,19.75,NO,6,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/08/1998,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/17/1998,15.25,NO,4.6,2.82,11,38,47,43,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/24/1998,14.25,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,06/03/1999,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/16/1999,22.75,NO,6.9,0.51,,32,,30,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/29/1999,,,,3.09,11,,47,43,,,,,
8190148,07/10/1999,21.25,NO,6.5,,,33,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/21/1999,24.75,NO,7.5,1.36,,31,,37,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/14/1999,18.25,NO,5.5,,,35,,,NO CHANGE,,MURKY,GREEN,1-Beautiful, could not be nicer
8190148,08/24/1999,18.5,NO,5.6,3,8,35,44,43,NO CHANGE,,MURKY,GREEN,1-Beautiful, could not be nicer
8190148,09/06/1999,20.5,NO,6.2,,,34,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,09/16/1999,18.5,NO,5.6,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/25/2000,24.5,NO,7.4,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/13/2000,29.5,NO,9,1,8,28,44,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,08/28/2000,21.25,NO,6.5,,,33,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8190148,08/29/2000,,,,1.2,6,,42,36,,,,,
8190148,10/09/2000,12.25,NO,3.7,,,41,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190148,10/23/2000,14.25,NO,4.3,5,12,39,47,47,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190148,05/31/2001,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/06/2001,21,NO,6.4,1,,33,,35,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,06/22/2001,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,06/30/2001,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190148,07/08/2001,19.25,NO,5.9,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/07/2001,20.25,NO,6.2,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/20/2001,18,NO,5.5,2.2,8,35,44,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,09/29/2001,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/01/2001,15.75,NO,4.8,2.8,6,37,42,43,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/12/2001,15.25,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,07/03/2002,26.25,NO,8,,,30,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,07/07/2002,26.25,NO,8,0.93,6,30,42,34,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,07/13/2002,25,NO,7.6,,,31,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,07/26/2002,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/09/2002,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/25/2002,16.25,NO,4.9,2.86,12,37,47,43,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,09/11/2002,17.75,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/05/2002,14,NO,4.3,4.07,19,39,51,45,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,06/11/2003,21.25,NO,6.5,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,07/05/2003,21.75,NO,6.6,1.63,10,33,46,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/01/2003,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,08/12/2003,20.75,NO,6.3,2.51,7,33,43,42,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190148,10/08/2003,15.25,NO,4.6,3.15,16,38,50,43,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
21960217,07/15/2007,24.5,NO,7.4,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,07/24/2007,25.5,NO,7.8,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,08/29/2007,22.5,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,09/10/2007,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,09/15/2007,20.25,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,07/22/2008,29.5,NO,9,,,28,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,08/06/2008,23.5,NO,7.1,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,08/20/2008,26,NO,7.9,,,30,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
21960217,08/26/2008,21.5,NO,6.5,,,33,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
21960217,10/06/2008,17.5,NO,5.3,,,36,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
21960217,07/10/2009,24,NO,7.3,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
21960217,07/20/2009,23,NO,7,,,32,,,LOW,,CLEAR,GREEN,
21960217,08/16/2009,20,NO,6.1,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
21960217,09/06/2009,19.5,NO,5.9,,,34,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
89214715,06/17/2014,,,,1.41,6.17,,42,37,,,,,
145289004,07/11/2017,15,,4.6,,,38,,,NORMAL,94,CLEAR,GREEN,1-Beautiful, could not be nicer
145289004,07/19/2017,15,,4.6,,,38,,,NORMAL,96,CLEAR,GREEN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/02/1996,3,FEET,68,DEGREES F,,
08/02/1996,10,FEET,65,DEGREES F,,
08/02/1996,20,FEET,64,DEGREES F,,
08/02/1996,30,FEET,59,DEGREES F,,
08/02/1996,40,FEET,47,DEGREES F,,
08/02/1996,50,FEET,46,DEGREES F,,
08/02/1996,60,FEET,45,DEGREES F,,
08/02/1996,70,FEET,44,DEGREES F,,
08/02/1996,80,FEET,44,DEGREES F,,
09/03/1996,3,FEET,40,DEGREES F,,
09/03/1996,10,FEET,39,DEGREES F,,
09/03/1996,20,FEET,37,DEGREES F,,
09/03/1996,30,FEET,34,DEGREES F,,
09/03/1996,40,FEET,18,DEGREES F,,
09/03/1996,50,FEET,14,DEGREES F,,
09/03/1996,60,FEET,13,DEGREES F,,
09/03/1996,70,FEET,13,DEGREES F,,
09/03/1996,80,FEET,13,DEGREES F,,
09/03/1996,90,FEET,12,DEGREES F,,
10/21/1996,3,FEET,50,DEGREES F,,
10/21/1996,10,FEET,50,DEGREES F,,
10/21/1996,20,FEET,50,DEGREES F,,
10/21/1996,30,FEET,50,DEGREES F,,
10/21/1996,40,FEET,50,DEGREES F,,
10/21/1996,50,FEET,50,DEGREES F,,
10/21/1996,60,FEET,50,DEGREES F,,
10/21/1996,70,FEET,50,DEGREES F,,
10/21/1996,80,FEET,50,DEGREES F,,
10/21/1996,90,FEET,50,DEGREES F,,
06/09/1997,10,FEET,56,DEGREES F,,
06/09/1997,20,FEET,51,DEGREES F,,
06/09/1997,30,FEET,45,DEGREES F,,
06/09/1997,40,FEET,42,DEGREES F,,
06/09/1997,50,FEET,41,DEGREES F,,
06/09/1997,60,FEET,41,DEGREES F,,
06/09/1997,70,FEET,40,DEGREES F,,
06/09/1997,80,FEET,40,DEGREES F,,
06/09/1997,87,FEET,40,DEGREES F,,
07/23/1997,3,FEET,68,DEGREES F,,
07/23/1997,10,FEET,68,DEGREES F,,
07/23/1997,20,FEET,68,DEGREES F,,
07/23/1997,30,FEET,57,DEGREES F,,
07/23/1997,40,FEET,45,DEGREES F,,
07/23/1997,50,FEET,42,DEGREES F,,
07/23/1997,60,FEET,42,DEGREES F,,
07/23/1997,70,FEET,41,DEGREES F,,
07/23/1997,80,FEET,41,DEGREES F,,
07/23/1997,90,FEET,41,DEGREES F,,
08/27/1997,3,FEET,63,DEGREES F,,
08/27/1997,10,FEET,63,DEGREES F,,
08/27/1997,20,FEET,62,DEGREES F,,
08/27/1997,30,FEET,60,DEGREES F,,
08/27/1997,40,FEET,45,DEGREES F,,
08/27/1997,50,FEET,43,DEGREES F,,
08/27/1997,60,FEET,42,DEGREES F,,
08/27/1997,70,FEET,42,DEGREES F,,
08/27/1997,80,FEET,41,DEGREES F,,
08/27/1997,85,FEET,41,DEGREES F,,
10/10/1997,3,FEET,53,DEGREES F,,
10/10/1997,30,FEET,52,DEGREES F,,
10/10/1997,60,FEET,45,DEGREES F,,
10/22/1997,3,FEET,46,DEGREES F,,
10/22/1997,10,FEET,46,DEGREES F,,
10/22/1997,20,FEET,46,DEGREES F,,
10/22/1997,30,FEET,46,DEGREES F,,
10/22/1997,40,FEET,46,DEGREES F,,
10/22/1997,50,FEET,46,DEGREES F,,
05/04/1998,10,FEET,53,DEGREES F,,
05/04/1998,20,FEET,48,DEGREES F,,
05/04/1998,30,FEET,46,DEGREES F,,
05/04/1998,40,FEET,45,DEGREES F,,
05/04/1998,50,FEET,44,DEGREES F,,
05/04/1998,60,FEET,43,DEGREES F,,
05/04/1998,70,FEET,42,DEGREES F,,
05/04/1998,80,FEET,42,DEGREES F,,
05/04/1998,90,FEET,42,DEGREES F,,
06/23/1998,10,FEET,63,DEGREES F,,
06/23/1998,20,FEET,63,DEGREES F,,
06/23/1998,30,FEET,60,DEGREES F,,
06/23/1998,40,FEET,56,DEGREES F,,
06/23/1998,50,FEET,53,DEGREES F,,
06/23/1998,60,FEET,48,DEGREES F,,
06/23/1998,70,FEET,47,DEGREES F,,
06/23/1998,80,FEET,47,DEGREES F,,
06/23/1998,90,FEET,47,F,,
07/20/1998,3,FEET,75,DEGREES F,,
07/20/1998,10,FEET,74,DEGREES F,,
07/20/1998,20,FEET,74,DEGREES F,,
07/20/1998,30,FEET,70,DEGREES F,,
07/20/1998,40,FEET,54,DEGREES F,,
07/20/1998,50,FEET,50,DEGREES F,,
07/20/1998,60,FEET,49,DEGREES F,,
07/20/1998,70,FEET,48,DEGREES F,,
07/20/1998,80,FEET,48,DEGREES F,,
07/20/1998,90,FEET,47,DEGREES F,,
08/18/1998,3,FEET,65,DEGREES F,,
08/18/1998,10,FEET,65,DEGREES F,,
08/18/1998,20,FEET,65,DEGREES F,,
08/18/1998,30,FEET,65,DEGREES F,,
08/18/1998,40,FEET,56,DEGREES F,,
08/18/1998,50,FEET,50,DEGREES F,,
08/18/1998,60,FEET,49,DEGREES F,,
08/18/1998,70,FEET,48,DEGREES F,,
08/18/1998,80,FEET,48,DEGREES F,,
08/18/1998,90,FEET,48,DEGREES F,,
10/17/1998,3,FEET,52,DEGREES F,,
10/17/1998,10,FEET,52,DEGREES F,,
10/17/1998,20,FEET,52,DEGREES F,,
10/17/1998,30,FEET,52,DEGREES F,,
10/17/1998,40,FEET,52,DEGREES F,,
10/17/1998,50,FEET,52,DEGREES F,,
10/17/1998,60,FEET,52,DEGREES F,,
10/17/1998,70,FEET,51,DEGREES F,,
06/16/1999,3,FEET,62,DEGREES F,,
06/16/1999,10,FEET,62,DEGREES F,,
06/16/1999,20,FEET,61,DEGREES F,,
06/16/1999,30,FEET,59,DEGREES F,,
06/16/1999,40,FEET,58,DEGREES F,,
06/16/1999,50,FEET,56,DEGREES F,,
06/16/1999,60,FEET,56,DEGREES F,,
06/16/1999,70,FEET,55,DEGREES F,,
06/16/1999,80,FEET,55,DEGREES F,,
06/16/1999,90,FEET,55,DEGREES F,,
07/21/1999,3,FEET,74,DEGREES F,,
07/21/1999,10,FEET,73,DEGREES F,,
07/21/1999,20,FEET,73,DEGREES F,,
07/21/1999,30,FEET,68,DEGREES F,,
07/21/1999,40,FEET,59,DEGREES F,,
07/21/1999,50,FEET,53,DEGREES F,,
07/21/1999,60,FEET,52,DEGREES F,,
07/21/1999,70,FEET,51,DEGREES F,,
07/21/1999,80,FEET,51,DEGREES F,,
07/21/1999,90,FEET,50,DEGREES F,,
08/24/1999,3,FEET,70,DEGREES F,,
08/24/1999,10,FEET,70,DEGREES F,,
08/24/1999,20,FEET,70,DEGREES F,,
08/24/1999,30,FEET,70,DEGREES F,,
