Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Whitefish Lake,Douglas,2694000,NO,16,,163389,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/04/1998,,,,,,,,,,,,,
1,04/21/1998,,,,1.13,,,,36,,,,,
1,06/10/1998,,,,1.9,,,,40,,,,,
1,07/09/1998,,,,1.17,5,,41,36,,,,,
1,08/12/1998,,,,1.57,,,,38,,,,,
8189392,08/08/2001,28,NO,8.5,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/13/2001,30,NO,9.1,1,5,28,41,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/14/2001,,,,1,7,,43,35,,,,,
8189392,09/25/2001,21,NO,6.4,1.7,7,33,43,39,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,04/30/2002,25,NO,7.6,,9,31,45,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/07/2002,40,NO,12.2,,,24,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/17/2002,33.5,NO,10.2,,,27,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/2002,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/18/2002,23,NO,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/24/2002,24,NO,7.3,2.7,8,31,44,42,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/29/2002,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/04/2002,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/19/2002,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/20/2002,20,NO,6.1,2.96,8,34,44,43,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/24/2002,25,NO,7.6,2.13,10,31,46,41,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/27/2003,37,NO,11.2,,7,25,43,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/09/2003,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/23/2003,27.5,NO,8.4,1.49,7,29,43,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/28/2003,26.5,NO,8.1,1.28,6,30,42,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/04/2003,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/12/2003,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/19/2003,23,NO,7,1.58,7,32,43,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/09/2003,25,NO,7.6,,,31,,,LOW,27,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,10/05/2003,28,NO,8.5,1.78,9,29,45,39,LOW,27,CLEAR,BLUE,1-Beautiful, could not be nicer
7000102,05/18/2004,36.08,NO,11,,5,25,41,,,,,,
8189392,05/25/2004,28,NO,8.5,,7,29,43,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/03/2004,41,NO,12.5,,,24,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/15/2004,32,NO,9.7,1.36,8,27,44,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/10/2004,,,,,,,,,,,,,
8189392,07/15/2004,25,NO,7.6,,,31,,,NORMAL,,,,1-Beautiful, could not be nicer
8189392,07/19/2004,,,,1.09,8,,44,35,,,,,
8189392,07/20/2004,25,NO,7.6,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/07/2004,17,NO,5.2,1.97,,36,,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,10/06/2004,20,NO,6.1,2.92,11,34,47,43,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,04/20/2005,,,,4.23,,,,46,,,,,
8189392,05/10/2005,,,,,9,,45,,,,,,
8191347,05/10/2005,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/24/2005,35,NO,10.6,,,26,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,06/15/2005,,,,0.84,6,,42,33,,,,,
8189392,06/20/2005,,,,0.69,,,,32,,,,,
8191347,06/20/2005,37,NO,11.2,,,25,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/07/2005,37,NO,11.2,,,25,,,NORMAL,,,,1-Beautiful, could not be nicer
8189392,07/12/2005,,,,0.5,5,,41,30,,,,,
8191347,07/12/2005,39,NO,11.9,,,24,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,07/20/2005,,,,0.95,,,,34,,,,,
8191347,07/29/2005,29.5,NO,9,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/01/2005,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/17/2005,,,,1.61,9,,45,38,,,,,
8189392,08/24/2005,,,,1.53,,,,38,,,,,
8191347,08/24/2005,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/16/2005,,,,2.37,11,,47,41,,,,,
8189392,09/28/2005,,,,2.76,8,,44,42,,,,,
1,04/25/2006,,,,5.48,6,,42,48,,,,,
8191347,05/03/2006,21,NO,6.4,,12,33,47,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/05/2006,,,,1.48,12,,47,38,,,,,
8191347,06/10/2006,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/27/2006,21,NO,6.4,1.02,10,33,46,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,07/05/2006,,,,0.81,,,,33,,,,,
8191347,07/14/2006,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/17/2006,21,NO,6.4,0.89,15,33,49,34,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/01/2006,,,,1.67,7,,43,39,,,,,
8191347,08/16/2006,22,NO,6.7,1.58,,33,,38,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191347,08/26/2006,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
1,09/07/2006,,,,1.29,9,,45,37,,,,,
8191347,10/17/2006,16,NO,4.9,2.9,18,37,51,43,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/14/2007,36,NO,10.9,,,26,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/01/2007,31,NO,9.4,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/20/2007,23,NO,7,1.04,,32,,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/21/2007,28,NO,8.5,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/27/2007,27,NO,8.2,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/16/2007,28.5,NO,8.7,1.57,7,29,43,38,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/15/2007,22,NO,6.7,2.47,8,33,44,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
7000102,10/22/2007,,,,,11,,47,,,,,,
8191347,05/21/2008,23,NO,7,,5,32,41,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/23/2008,37,NO,11.2,1,9,25,45,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/15/2008,30,NO,9.1,0.82,8,28,44,33,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/05/2008,26,NO,7.9,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/19/2008,,,,1.62,7,,43,38,,,,,
8191347,08/19/2008,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/11/2009,38,NO,11.6,,9,25,45,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/14/2009,35,NO,10.6,,,26,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/24/2009,31,NO,9.4,0.88,6,28,42,34,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/27/2009,25,NO,7.6,1.35,9,31,45,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/19/2009,,,,1.78,9,,45,39,,,,,
8191347,08/24/2009,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/19/2010,,,,,7,,43,,,,,,
36798439,05/19/2010,41,NO,12.5,,,24,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
36798439,06/22/2010,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/23/2010,,,,2.62,11,,47,42,,,,,
8191347,08/02/2010,,,,2.13,6,,42,41,,,,,
36798439,08/02/2010,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/17/2010,26,NO,7.9,1.42,5,30,41,37,NORMAL,,CLEAR,BLUE,
36798439,08/17/2010,26,NO,7.9,,,30,,,NORMAL,,CLEAR,BLUE,
8191347,06/08/2011,,,,2.52,9,,45,42,,,,,
36798439,06/08/2011,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/18/2011,,,,1.3,8,,44,37,,,,,
36798439,07/18/2011,27,NO,8.2,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/30/2011,,,,1.68,11,,47,39,,,,,
36798439,08/30/2011,25,NO,7.6,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/26/2012,22,NO,6.7,1.87,9,33,45,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/02/2012,25,NO,7.6,1.59,8,31,44,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/20/2012,,,,2.51,7,,43,42,,,,,
8191347,08/29/2012,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/23/2013,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/27/2013,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/03/2013,,,,,10.1,,46,,,,,,
8191347,06/25/2013,42,NO,12.8,,,23,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/26/2013,,,,1.13,,,,36,,,,,
8191347,07/29/2013,,,,1.69,6.76,,43,39,,,,,
8191347,07/30/2013,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,09/09/2013,23,NO,7,1.54,9.46,32,46,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/09/2014,22,NO,6.7,1.93,6.5,33,43,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/23/2014,30,NO,9.1,1.04,7.64,28,44,35,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,09/02/2014,26,NO,7.9,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,09/04/2014,,,,,8.16,,44,,,,,,
8191347,05/20/2015,24,NO,7.3,,10.7,31,47,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,06/29/2015,29,NO,8.8,0.547,8.54,29,45,30,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/12/2015,30,NO,9.1,1.23,6.1,28,42,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,05/18/2016,40,NO,12.2,,12.5,24,48,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/25/2016,27,NO,8.2,0.704,9.21,30,45,32,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/24/2016,22,NO,6.7,1.13,9.43,33,46,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/31/2017,,,,0.873,13.7,,48,34,,,,,
8191347,07/31/2017,29,NO,8.8,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/16/2017,,NO,,,,,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
146981912,08/16/2017,,,,1.47,14.1,,49,38,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/31/2000,1,FEET,76,DEGREES F,,
07/31/2000,5,FEET,75,DEGREES F,,
07/31/2000,10,FEET,73,DEGREES F,,
07/31/2000,15,FEET,72,DEGREES F,,
07/31/2000,20,FEET,72,DEGREES F,,
07/31/2000,30,FEET,71,DEGREES F,,
07/31/2000,35,FEET,67,DEGREES F,,
07/31/2000,40,FEET,58,DEGREES F,,
07/31/2000,50,FEET,47,DEGREES F,,
07/31/2000,60,FEET,44,DEGREES F,,
07/31/2000,80,FEET,43,DEGREES F,,
07/31/2000,95,FEET,43,DEGREES F,,
08/28/2000,1,FEET,73,DEGREES F,,
08/28/2000,5,FEET,72,DEGREES F,,
08/28/2000,10,FEET,72,DEGREES F,,
08/28/2000,15,FEET,72,DEGREES F,,
08/28/2000,20,FEET,72,DEGREES F,,
08/28/2000,30,FEET,71,DEGREES F,,
08/28/2000,35,FEET,70,DEGREES F,,
08/28/2000,40,FEET,60,DEGREES F,,
08/28/2000,50,FEET,48,DEGREES F,,
08/28/2000,60,FEET,44,DEGREES F,,
08/28/2000,80,FEET,43,DEGREES F,,
08/28/2000,97,FEET,43,DEGREES F,,
09/10/2000,1,FEET,73,DEGREES F,,
09/10/2000,5,FEET,72,DEGREES F,,
09/10/2000,10,FEET,72,DEGREES F,,
09/10/2000,15,FEET,72,DEGREES F,,
09/10/2000,20,FEET,72,DEGREES F,,
09/10/2000,30,FEET,71,DEGREES F,,
09/10/2000,35,FEET,70,DEGREES F,,
09/10/2000,40,FEET,60,DEGREES F,,
09/10/2000,50,FEET,48,DEGREES F,,
09/10/2000,60,FEET,44,DEGREES F,,
09/10/2000,80,FEET,43,DEGREES F,,
09/10/2000,97,FEET,43,DEGREES F,,
05/23/2001,0,FEET,60,DEGREES F,,
05/23/2001,3,FEET,59,DEGREES F,,
05/23/2001,10,FEET,58,DEGREES F,,
05/23/2001,15,FEET,58,DEGREES F,,
05/23/2001,20,FEET,58,DEGREES F,,
05/23/2001,25,FEET,56,DEGREES F,,
05/23/2001,30,FEET,55,DEGREES F,,
05/23/2001,35,FEET,52,DEGREES F,,
05/23/2001,40,FEET,48,DEGREES F,,
05/23/2001,45,FEET,47,DEGREES F,,
05/23/2001,50,FEET,46,DEGREES F,,
05/23/2001,60,FEET,44,DEGREES F,,
05/23/2001,65,FEET,43,DEGREES F,,
05/23/2001,70,FEET,43,DEGREES F,,
05/23/2001,80,FEET,43,DEGREES F,,
05/23/2001,90,FEET,43,DEGREES F,,
05/23/2001,100,FEET,42,DEGREES F,,
07/02/2001,0,FEET,71,DEGREES F,,
07/02/2001,5,FEET,71,DEGREES F,,
07/02/2001,10,FEET,71,DEGREES F,,
07/02/2001,15,FEET,71,DEGREES F,,
07/02/2001,20,FEET,71,DEGREES F,,
07/02/2001,25,FEET,66,DEGREES F,,
07/02/2001,30,FEET,61,DEGREES F,,
07/02/2001,35,FEET,58,DEGREES F,,
07/02/2001,40,FEET,54,DEGREES F,,
07/02/2001,45,FEET,50,DEGREES F,,
07/02/2001,50,FEET,47,DEGREES F,,
07/02/2001,60,FEET,45,DEGREES F,,
07/02/2001,65,FEET,44,DEGREES F,,
07/02/2001,70,FEET,44,DEGREES F,,
07/02/2001,80,FEET,44,DEGREES F,,
07/02/2001,90,FEET,43,DEGREES F,,
07/02/2001,100,FEET,43,DEGREES F,,
07/30/2001,0,FEET,73,DEGREES F,,
07/30/2001,5,FEET,73,DEGREES F,,
07/30/2001,10,FEET,73,DEGREES F,,
07/30/2001,15,FEET,73,DEGREES F,,
07/30/2001,20,FEET,73,DEGREES F,,
07/30/2001,25,FEET,72,DEGREES F,,
07/30/2001,30,FEET,66,DEGREES F,,
07/30/2001,35,FEET,61,DEGREES F,,
07/30/2001,40,FEET,55,DEGREES F,,
07/30/2001,45,FEET,51,DEGREES F,,
07/30/2001,50,FEET,48,DEGREES F,,
07/30/2001,60,FEET,45,DEGREES F,,
07/30/2001,70,FEET,44,DEGREES F,,
07/30/2001,80,FEET,44,DEGREES F,,
07/30/2001,90,FEET,43,DEGREES F,,
07/30/2001,100,FEET,43,DEGREES F,,
08/13/2001,0,FEET,75,DEGREES F,,
08/13/2001,5,FEET,75,DEGREES F,,
08/13/2001,10,FEET,75,DEGREES F,,
08/13/2001,15,FEET,75,DEGREES F,,
08/13/2001,20,FEET,75,DEGREES F,,
08/13/2001,25,FEET,75,DEGREES F,,
08/13/2001,30,FEET,70,DEGREES F,,
08/13/2001,35,FEET,62,DEGREES F,,
08/13/2001,40,FEET,56,DEGREES F,,
08/13/2001,45,FEET,51,DEGREES F,,
08/13/2001,50,FEET,48,DEGREES F,,
08/13/2001,60,FEET,45,DEGREES F,,
08/13/2001,70,FEET,44,DEGREES F,,
08/13/2001,80,FEET,44,DEGREES F,,
08/13/2001,90,FEET,44,DEGREES F,,
08/13/2001,100,FEET,43,DEGREES F,,
09/25/2001,0,FEET,62,DEGREES F,,
09/25/2001,5,FEET,62,DEGREES F,,
09/25/2001,10,FEET,62,DEGREES F,,
09/25/2001,20,FEET,62,DEGREES F,,
09/25/2001,25,FEET,62,DEGREES F,,
09/25/2001,30,FEET,61,DEGREES F,,
09/25/2001,40,FEET,61,DEGREES F,,
09/25/2001,45,FEET,60,DEGREES F,,
09/25/2001,50,FEET,52,DEGREES F,,
09/25/2001,55,FEET,48,DEGREES F,,
09/25/2001,60,FEET,47,DEGREES F,,
09/25/2001,70,FEET,46,DEGREES F,,
09/25/2001,80,FEET,44,DEGREES F,,
09/25/2001,90,FEET,44,DEGREES F,,
04/30/2002,0,FEET,44,DEGREES F,,
04/30/2002,3,FEET,43,DEGREES F,,
04/30/2002,5,FEET,43,DEGREES F,,
04/30/2002,10,FEET,43,DEGREES F,,
04/30/2002,15,FEET,43,DEGREES F,,
04/30/2002,20,FEET,43,DEGREES F,,
04/30/2002,30,FEET,42,DEGREES F,,
04/30/2002,40,FEET,42,DEGREES F,,
04/30/2002,50,FEET,42,DEGREES F,,
04/30/2002,60,FEET,42,DEGREES F,,
04/30/2002,80,FEET,42,DEGREES F,,
04/30/2002,100,FEET,42,DEGREES F,,
06/17/2002,0,FEET,65,DEGREES F,,
06/17/2002,3,FEET,65,DEGREES F,,
06/17/2002,5,FEET,65,DEGREES F,,
06/17/2002,10,FEET,64,DEGREES F,,
06/17/2002,15,FEET,64,DEGREES F,,
06/17/2002,20,FEET,64,DEGREES F,,
06/17/2002,30,FEET,56,DEGREES F,,
06/17/2002,35,FEET,54,DEGREES F,,
06/17/2002,40,FEET,52,DEGREES F,,
06/17/2002,50,FEET,49,DEGREES F,,
06/17/2002,60,FEET,47,DEGREES F,,
06/17/2002,80,FEET,46,DEGREES F,,
06/17/2002,100,FEET,45,DEGREES F,,
07/24/2002,0,FEET,76,DEGREES F,,
07/24/2002,10,FEET,76,DEGREES F,,
07/24/2002,15,FEET,76,DEGREES F,,
07/24/2002,20,FEET,75,DEGREES F,,
07/24/2002,30,FEET,62,DEGREES F,,
07/24/2002,35,FEET,58,DEGREES F,,
07/24/2002,40,FEET,54,DEGREES F,,
07/24/2002,50,FEET,50,DEGREES F,,
07/24/2002,60,FEET,48,DEGREES F,,
07/24/2002,80,FEET,46,DEGREES F,,
07/24/2002,100,FEET,45,DEGREES F,,
08/20/2002,0,FEET,70,DEGREES F,,
08/20/2002,5,FEET,70,DEGREES F,,
08/20/2002,10,FEET,70,DEGREES F,,
08/20/2002,20,FEET,69,DEGREES F,,
08/20/2002,30,FEET,69,DEGREES F,,
08/20/2002,35,FEET,64,DEGREES F,,
08/20/2002,40,FEET,56,DEGREES F,,
08/20/2002,50,FEET,51,DEGREES F,,
08/20/2002,60,FEET,48,DEGREES F,,
08/20/2002,80,FEET,46,DEGREES F,,
08/20/2002,100,FEET,45,DEGREES F,,
09/24/2002,0,FEET,63,DEGREES F,,
09/24/2002,5,FEET,63,DEGREES F,,
09/24/2002,10,FEET,63,DEGREES F,,
09/24/2002,20,FEET,63,DEGREES F,,
09/24/2002,30,FEET,63,DEGREES F,,
09/24/2002,40,FEET,62,DEGREES F,,
09/24/2002,45,FEET,55,DEGREES F,,
09/24/2002,50,FEET,51,DEGREES F,,
09/24/2002,60,FEET,48,DEGREES F,,
09/24/2002,80,FEET,46,DEGREES F,,
09/24/2002,100,FEET,45,DEGREES F,,
05/27/2003,0,FEET,61.5,DEGREES F,,
05/27/2003,3,FEET,59.3,DEGREES F,,
05/27/2003,10,FEET,58.8,DEGREES F,,
05/27/2003,20,FEET,55.7,DEGREES F,,
05/27/2003,30,FEET,51.8,DEGREES F,,
05/27/2003,35,FEET,50,DEGREES F,,
05/27/2003,40,FEET,48.3,DEGREES F,,
05/27/2003,50,FEET,46,DEGREES F,,
