Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Two Island Lake,Chippewa,1887500,WC,9,,093140,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/02/1994,,,,1.53,8,,44,38,,,,,
8190420,05/16/1999,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/05/1999,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/26/1999,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/24/1999,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/21/1999,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/28/1999,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,04/23/2000,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/11/2000,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/27/2000,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/13/2000,24,NO,7.3,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/29/2000,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/14/2000,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/29/2000,24,NO,7.3,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/15/2000,24,NO,7.3,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,01/01/2001,1,YES,0.3,,,77,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/16/2001,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/19/2001,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/05/2001,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/17/2001,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/09/2001,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/02/2001,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/19/2001,19.5,NO,5.9,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/31/2001,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/22/2001,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/07/2001,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/22/2001,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/16/2002,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/27/2002,22.5,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/12/2002,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/09/2002,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/23/2002,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/13/2002,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/18/2002,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/04/2002,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/24/2002,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/09/2002,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/16/2002,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,04/29/2003,8,NO,2.4,,,47,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/29/2003,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/29/2003,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/18/2003,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/29/2003,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/22/2003,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/06/2004,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/12/2004,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/22/2004,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/11/2004,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/29/2005,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/29/2005,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/28/2005,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/18/2005,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/29/2006,14.25,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/14/2006,13.5,NO,4.1,1.15,12,40,47,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/30/2006,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/17/2006,15.5,NO,4.7,1.58,12,38,47,38,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/15/2006,14.5,NO,4.4,4.41,11,39,47,46,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/29/2006,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/24/2006,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/15/2006,9.5,NO,2.9,4.37,18,45,51,46,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/12/2007,12.25,NO,3.7,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/09/2007,13.5,NO,4.1,,22,40,52,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/27/2007,14.5,NO,4.4,1.81,13,39,48,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/29/2007,15.5,NO,4.7,1.29,8,38,44,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/29/2007,11,NO,3.3,3.76,14,43,49,45,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/22/2007,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/31/2007,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/12/2008,10.5,NO,3.2,,11,43,47,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/18/2008,22.25,NO,6.8,1.18,10,32,46,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/07/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/22/2008,20,NO,6.1,1.41,10,34,46,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/25/2008,17,NO,5.2,4.68,7,36,43,46,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/20/2008,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,04/22/2009,17.25,NO,5.2,,21,36,52,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/24/2009,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/03/2009,,,,5.43,13,,48,48,,,,,
8190420,07/05/2009,15,NO,4.6,1.86,12,38,47,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/31/2009,14.25,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/30/2009,15.5,NO,4.7,2.53,11,38,47,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/30/2009,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,11/08/2009,14.25,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/15/2010,16,NO,4.9,,12,37,47,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/30/2010,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/30/2010,,,,2.87,11,,47,43,,,,,
8190420,07/28/2010,15,NO,4.6,5.61,13,38,48,48,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/25/2010,12.5,NO,3.8,3.61,13,41,48,45,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/26/2010,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,04/25/2011,10.5,NO,3.2,,13,43,48,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/05/2011,12.8,YES,3.9,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/20/2011,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/20/2011,,,,3.73,11,,47,45,,,,,
8190420,07/31/2011,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/31/2011,,,,1.92,13,,48,40,,,,,
8190420,08/27/2011,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/27/2011,,,,2.96,13,,48,43,,,,,
8190420,09/30/2011,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/29/2011,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,03/25/2012,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,03/25/2012,,,,,21,,52,,,,,,
8190420,04/29/2012,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/28/2012,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/24/2012,13.75,NO,4.2,4.97,19,39,51,47,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/22/2012,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/22/2012,,,,3.95,14,,49,45,,,,,
8190420,08/31/2012,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/31/2012,,,,2.61,11,,47,42,,,,,
8190420,09/25/2012,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,05/12/2013,25.5,NO,7.8,,16.4,30,50,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/24/2013,20.5,NO,6.2,2.12,7.25,34,44,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/29/2013,18.5,NO,5.6,1.91,15.5,35,49,40,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/30/2013,19,NO,5.8,1.26,13.6,35,48,37,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,09/30/2013,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,05/11/2014,25,NO,7.6,,14.1,31,49,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,05/30/2014,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/17/2014,14,NO,4.3,3.1,13.1,39,48,43,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/21/2014,16,NO,4.9,0.78,8.65,37,45,33,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/26/2014,17.5,NO,5.3,3.4,11.6,36,47,44,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,09/26/2014,20.5,NO,6.2,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,10/27/2014,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,04/13/2015,17,NO,5.2,,18.5,36,51,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,05/22/2015,16.3,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/27/2015,15.3,NO,4.7,1.64,16.4,38,50,39,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/21/2015,15,NO,4.6,2.12,13.2,38,48,40,HIGH,2.04,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/26/2015,13,NO,4,3.94,18.5,40,51,45,HIGH,1.96,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,09/29/2015,11,NO,3.3,,,43,,,HIGH,2.16,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,10/13/2015,10.5,NO,3.2,,,43,,,HIGH,2.06,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,04/17/2016,17,NO,5.2,,28,36,54,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,05/18/2016,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/17/2016,12,NO,3.6,4.95,16.9,41,50,47,HIGH,2.38,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/28/2016,12,NO,3.6,,,41,,,HIGH,2.34,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/24/2016,11.5,NO,3.5,2.99,15.2,42,49,43,HIGH,2.48,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/07/2016,11.8,NO,3.6,,,42,,,HIGH,2.39,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,08/31/2016,11,NO,3.3,2.41,19.5,43,51,41,HIGH,2.36,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,09/30/2016,8.3,NO,2.5,,,47,,,HIGH,2.5,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,11/02/2016,9.8,NO,3,,,44,,,HIGH,2.45,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,05/12/2017,12,NO,3.6,,22.6,41,52,,HIGH,2.08,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/06/2017,11.5,NO,3.5,,,42,,,HIGH,2.58,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,06/23/2017,11.5,NO,3.5,6.62,32.5,42,55,49,HIGH,2.90,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,07/27/2017,12,NO,3.6,2.49,24.6,41,53,42,HIGH,2.54,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,09/04/2017,11,NO,3.3,2.98,25.7,43,53,43,HIGH,2.60,CLEAR,BLUE,1-Beautiful, could not be nicer
40394445,10/09/2017,8,NO,2.4,,,47,,,HIGH,2.61,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
03/02/1994,,,1.6,C,4.0,MG/L
06/21/1994,,,15.0,C,0.6,MG/L
07/26/1994,,,14.1,C,0.44,MG/L
08/29/1994,,,17.5,C,0.0,MG/L
11/07/1994,,,8.4,C,10.8,MG/L
05/29/2006,0,FEET,79.3,DEGREES F,,
05/29/2006,3,FEET,78.8,DEGREES F,,
05/29/2006,6,FEET,71.6,DEGREES F,,
05/29/2006,9,FEET,66.5,DEGREES F,,
05/29/2006,12,FEET,62,DEGREES F,,
05/29/2006,15,FEET,58.4,DEGREES F,,
05/29/2006,18,FEET,51.8,DEGREES F,,
05/29/2006,21,FEET,46.9,DEGREES F,,
05/29/2006,24,FEET,43.8,DEGREES F,,
05/29/2006,27,FEET,42.4,DEGREES F,,
06/14/2006,0,FEET,73.7,DEGREES F,,
06/14/2006,3,FEET,72.3,DEGREES F,,
06/14/2006,6,FEET,71.6,DEGREES F,,
06/14/2006,9,FEET,70.8,DEGREES F,,
06/14/2006,12,FEET,68.3,DEGREES F,,
06/14/2006,15,FEET,61.1,DEGREES F,,
06/14/2006,18,FEET,54.8,DEGREES F,,
06/14/2006,21,FEET,49.1,DEGREES F,,
06/14/2006,24,FEET,46.2,DEGREES F,,
06/14/2006,27,FEET,43.8,DEGREES F,,
06/30/2006,0,FEET,82.4,DEGREES F,,
06/30/2006,3,FEET,81.6,DEGREES F,,
06/30/2006,6,FEET,81.6,DEGREES F,,
06/30/2006,9,FEET,81.3,DEGREES F,,
06/30/2006,12,FEET,78.6,DEGREES F,,
06/30/2006,15,FEET,72.8,DEGREES F,,
06/30/2006,18,FEET,61.5,DEGREES F,,
06/30/2006,21,FEET,55.2,DEGREES F,,
06/30/2006,24,FEET,48.9,DEGREES F,,
06/30/2006,27,FEET,44.9,DEGREES F,,
07/17/2006,0,FEET,82.4,DEGREES F,,
07/17/2006,3,FEET,81.6,DEGREES F,,
07/17/2006,6,FEET,81.6,DEGREES F,,
07/17/2006,9,FEET,81.3,DEGREES F,,
07/17/2006,12,FEET,78.6,DEGREES F,,
07/17/2006,15,FEET,72.8,DEGREES F,,
07/17/2006,18,FEET,61.5,DEGREES F,,
07/17/2006,21,FEET,55.2,DEGREES F,,
07/17/2006,24,FEET,48.9,DEGREES F,,
07/17/2006,27,FEET,44.9,DEGREES F,,
08/15/2006,0,FEET,77.7,DEGREES F,,
08/15/2006,3,FEET,77.5,DEGREES F,,
08/15/2006,6,FEET,77.3,DEGREES F,,
08/15/2006,9,FEET,77.1,DEGREES F,,
08/15/2006,12,FEET,77,DEGREES F,,
08/15/2006,15,FEET,76.4,DEGREES F,,
08/15/2006,18,FEET,67.4,DEGREES F,,
08/15/2006,21,FEET,58.2,DEGREES F,,
08/15/2006,24,FEET,51.6,DEGREES F,,
08/15/2006,27,FEET,46.4,DEGREES F,,
08/29/2006,0,FEET,74.6,DEGREES F,,
08/29/2006,3,FEET,73.7,DEGREES F,,
08/29/2006,6,FEET,73.4,DEGREES F,,
08/29/2006,9,FEET,73.2,DEGREES F,,
08/29/2006,12,FEET,73.2,DEGREES F,,
08/29/2006,15,FEET,73,DEGREES F,,
08/29/2006,18,FEET,69.9,DEGREES F,,
08/29/2006,21,FEET,59.7,DEGREES F,,
08/29/2006,24,FEET,51.8,DEGREES F,,
08/29/2006,27,FEET,47.1,DEGREES F,,
09/24/2006,0,FEET,62.2,DEGREES F,,
09/24/2006,3,FEET,62,DEGREES F,,
09/24/2006,6,FEET,61.8,DEGREES F,,
09/24/2006,9,FEET,61.1,DEGREES F,,
09/24/2006,12,FEET,60.9,DEGREES F,,
09/24/2006,15,FEET,60.8,DEGREES F,,
09/24/2006,18,FEET,60.6,DEGREES F,,
09/24/2006,21,FEET,60.4,DEGREES F,,
09/24/2006,24,FEET,55.7,DEGREES F,,
09/24/2006,27,FEET,48,DEGREES F,,
10/15/2006,0,FEET,50.3,DEGREES F,,
10/15/2006,3,FEET,49.6,DEGREES F,,
10/15/2006,6,FEET,49.4,DEGREES F,,
