Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Silver Lake,Forest,555700,NO,21,,213017,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190649,06/08/1992,13,NO,4,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,06/14/1992,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,06/24/1992,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/04/1992,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/13/1992,11,NO,3.3,,,43,,,ABOUT 6" ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,05/20/1994,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,05/30/1994,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189146,06/08/1994,19,NO,5.8,1.62,11,35,47,38,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,06/17/1994,18.25,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8190649,06/28/1994,16.5,NO,5,,,37,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189146,07/10/1994,15,NO,4.6,3.68,14,38,49,45,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,07/19/1994,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,08/02/1994,16.25,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190885,08/10/1994,12,NO,3.6,3.62,10,41,46,45,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,08/26/1994,13.25,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,09/10/1994,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,09/21/1994,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189146,10/03/1994,10,NO,3,3.53,14,44,49,44,6" ABOVE NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,10/13/1994,10.5,NO,3.2,,,43,,,6" ABOVE NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191081,06/05/1995,17.5,NO,5.3,0.95,8,36,44,34,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191081,06/29/1995,13.75,NO,4.2,,,39,,,DOWN 6",,CLEAR,BLUE,2-Very minor aesthetic problems
8191081,07/11/1995,12,NO,3.6,0.02,11,41,47,5,DOWN 7",,,GREEN,1-Beautiful, could not be nicer
8191081,07/28/1995,12,NO,3.6,,,41,,,DOWN 10",,,GREEN,2-Very minor aesthetic problems
8191081,08/21/1995,9,NO,2.7,6.6,13,45,48,49,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191081,09/10/1995,10.5,NO,3.2,4.55,9,43,45,46,DOWN 8",,CLEAR,BLUE,1-Beautiful, could not be nicer
8191081,09/17/1995,11,NO,3.3,,,43,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8191081,10/02/1995,10,NO,3,,,44,,,DOWN,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190403,06/05/1996,13.5,NO,4.1,2.63,14,40,49,42,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190403,06/25/1996,11.5,NO,3.5,4.87,9,42,45,47,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189663,07/03/1996,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189649,07/16/1996,9,NO,2.7,6.16,,45,,49,HIGH,,,GREEN,2-Very minor aesthetic problems
8189766,07/24/1996,10.4,NO,3.2,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190403,08/01/1996,11.75,NO,3.6,,,42,,,UP 4",,CLEAR,BLUE,1-Beautiful, could not be nicer
8189633,08/20/1996,11,NO,3.3,4.35,11,43,47,46,DOWN 2",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190403,09/10/1996,11,NO,3.3,3.38,10,43,46,44,DOWN 3",,,BLUE,1-Beautiful, could not be nicer
8190403,06/01/1997,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190403,06/22/1997,15.25,NO,4.6,2.1,13,38,48,40,UP 4 INCHES,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/07/1997,14,NO,4.3,2.6,,39,,42,HIGH,,CLEAR,,2-Very minor aesthetic problems
8190403,08/19/1997,11,NO,3.3,3.7,13,43,48,45,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190403,09/01/1997,11.5,NO,3.5,2.99,12,42,47,43,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190403,06/05/1998,11.25,NO,3.4,2.03,7,42,43,40,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190403,06/17/1998,16,NO,4.9,,,37,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190403,06/26/1998,15.75,NO,4.8,,,37,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190403,07/01/1998,15.25,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190403,07/08/1998,15.75,NO,4.8,3.19,10,37,46,44,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/16/1998,12.5,NO,3.8,,,41,,,,,CLEAR,,1-Beautiful, could not be nicer
8189663,07/22/1998,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/29/1998,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,08/12/1998,12,NO,3.6,3.24,9,41,45,44,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,08/20/1998,9,NO,2.7,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,08/26/1998,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,09/02/1998,10.25,NO,3.1,3.99,12,44,47,45,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189663,06/08/1999,13,NO,4,1.01,18,40,51,35,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,06/18/1999,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,06/21/1999,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,06/29/1999,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/10/1999,9,NO,2.7,,,45,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/12/1999,11,NO,3.3,2.76,15,43,49,42,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/20/1999,10.25,NO,3.1,,,44,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,07/27/1999,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,08/10/1999,,,,5,18,,51,47,,,,,
8190403,08/19/1999,9.5,NO,2.9,,,45,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189663,08/24/1999,10.5,NO,3.2,,,43,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,08/31/1999,11,NO,3.3,,,43,,,,,,BLUE,1-Beautiful, could not be nicer
8189663,09/07/1999,11.5,NO,3.5,2.55,10,42,46,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190403,05/31/2000,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,06/08/2000,13,NO,4,1.3,15,40,49,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,06/24/2000,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189663,06/30/2000,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189663,07/05/2000,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189663,07/13/2000,9.75,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189663,07/18/2000,,,,3,13,,48,43,,,,,
8189663,07/19/2000,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,08/14/2000,,,,2.7,11,,47,42,,,,,
8189663,08/23/2000,9.25,NO,2.8,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189663,08/29/2000,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,06/17/2001,21,YES,6.4,1,11,33,47,35,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,06/30/2001,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,07/16/2001,13,NO,4,,,40,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,07/24/2001,12.75,NO,3.9,2.6,10,40,46,42,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,08/04/2001,13.25,YES,4,,,40,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,08/17/2001,11.5,NO,3.5,,,42,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,08/19/2001,12,NO,3.6,3,14,41,49,43,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,09/02/2001,13.5,NO,4.1,,,40,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,09/20/2001,13.5,NO,4.1,,,40,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,10/17/2001,11,NO,3.3,4,10,43,46,45,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,05/05/2002,16,NO,4.9,,11,37,47,,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,06/17/2002,21,YES,6.4,,14,33,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,07/05/2002,10.25,NO,3.1,,,44,,,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
8190029,07/11/2002,10.75,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,07/19/2002,19,NO,5.8,,,35,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8189511,07/23/2002,12,NO,3.6,2.58,13,41,48,42,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,08/19/2002,10.25,NO,3.1,3.22,12,44,47,44,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,09/07/2002,11,NO,3.3,,,43,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,10/28/2002,9,NO,2.7,5.48,11,45,47,48,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,04/23/2003,17.5,NO,5.3,,9,36,45,,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,05/26/2003,13,NO,4,,11,40,47,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,06/20/2003,17.5,NO,5.3,2.15,14,36,49,41,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8189511,07/08/2003,13.75,NO,4.2,,,39,,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,07/23/2003,12,NO,3.6,4.29,13,41,48,46,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,08/25/2003,16,NO,4.9,3.82,8,37,44,45,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,09/08/2003,15,NO,4.6,,,38,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,10/07/2003,18.5,NO,5.6,2.87,13,35,48,43,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,05/01/2004,17,NO,5.2,,9,36,45,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,06/23/2004,14.5,NO,4.4,2.38,14,39,49,41,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,07/19/2004,13,NO,4,3.05,11,40,47,43,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8189511,08/14/2004,13.25,NO,4,3.5,10,40,46,44,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,09/22/2004,13,NO,4,,,40,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,10/11/2004,20,YES,6.1,2.7,12,34,47,42,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,04/21/2005,19,NO,5.8,,7,35,43,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,05/25/2005,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,06/22/2005,21,YES,6.4,2.02,10,33,46,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,07/13/2005,16.5,NO,5,2.09,7,37,43,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,08/15/2005,15,NO,4.6,3.29,7,38,43,44,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,08/31/2005,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,09/15/2005,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,10/28/2005,18.5,NO,5.6,3.45,22,35,52,44,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,04/27/2006,14,NO,4.3,,7,39,43,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,05/23/2006,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,06/15/2006,16,NO,4.9,1.91,14,37,49,40,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8190029,06/30/2006,12.5,NO,3.8,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,07/18/2006,11,NO,3.3,3.76,12,43,47,45,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,08/04/2006,14,NO,4.3,,,39,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,08/22/2006,13.5,NO,4.1,4.09,9,40,45,45,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,09/05/2006,18.34,NO,5.6,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,10/25/2006,19.5,YES,5.9,5.13,9,34,45,47,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,04/30/2007,16.5,NO,5,,28,37,54,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,06/01/2007,19.75,YES,6,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,06/23/2007,12,NO,3.6,5.18,12,41,47,47,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,07/16/2007,15.5,NO,4.7,,,38,,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8189511,07/25/2007,14,NO,4.3,2.16,6,39,42,41,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,08/08/2007,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,09/03/2007,16,NO,4.9,2.75,8,37,44,42,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190029,05/09/2008,10.5,NO,3.2,,17,43,50,,LOW,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,06/24/2008,16,NO,4.9,4.59,16,37,50,46,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,07/23/2008,12,NO,3.6,3.14,12,41,47,43,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,08/25/2008,13.5,NO,4.1,5.06,11,40,47,47,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,10/11/2008,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,05/04/2009,19.5,YES,5.9,,14,34,49,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,06/21/2009,18.5,NO,5.6,2.45,14,35,49,42,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190029,07/20/2009,13,NO,4,3.03,12,40,47,43,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8190029,08/23/2009,12.5,NO,3.8,4.24,12,41,47,46,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8190029,09/17/2009,10.5,NO,3.2,,,43,,,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8190029,04/11/2010,19.5,YES,5.9,,12,34,47,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190029,05/29/2010,19,YES,5.8,,,35,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190029,06/30/2010,15,NO,4.6,2.1,9,38,45,40,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,07/26/2010,10,NO,3,3.8,9,44,45,45,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8190029,08/23/2010,10.5,NO,3.2,4.61,11,43,47,46,LOW,,MURKY,BLUE,3-Enjoyment somewhat impaired (algae)
8190029,05/08/2011,16,NO,4.9,,9,37,45,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,06/26/2011,15,NO,4.6,3.28,12,38,47,44,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190029,07/26/2011,14,NO,4.3,2.66,8,39,44,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,08/22/2011,12,NO,3.6,3.58,10,41,46,44,LOW,,MURKY,BLUE,3-Enjoyment somewhat impaired (algae)
8190029,09/17/2011,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,10/27/2011,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,04/04/2012,20,YES,6.1,,10,34,46,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,06/22/2012,17.5,NO,5.3,2.62,13,36,48,42,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,07/28/2012,10,NO,3,5.12,12,44,47,47,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190029,08/30/2012,15,NO,4.6,2.46,11,38,47,42,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,05/13/2013,19.75,YES,6,,12.2,34,48,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,06/19/2013,18.5,NO,5.6,1.45,13,35,48,38,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,07/03/2013,15,NO,4.6,,,38,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190029,07/28/2013,,,,3.48,8.59,,45,44,,,,,
8190029,07/29/2013,14,NO,4.3,,,39,,,LOW,,MURKY,BLUE,2-Very minor aesthetic problems
8190029,08/20/2013,15,NO,4.6,2.76,6.2,38,42,42,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer
8190029,05/24/2014,15,NO,4.6,,11.8,38,47,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190029,05/26/2014,,,,2.09,12.2,,48,40,,,,,
34972236,05/28/2014,12.7,N,3.9,2.4,21.8,41,52,41,,,,,
8190029,06/26/2014,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
34972236,07/14/2014,11.4,NO,3.5,2.09,14.3,42,49,40,,,,,
8190029,07/23/2014,11,NO,3.3,3.37,10.6,43,46,44,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8190029,08/25/2014,9,NO,2.7,8.1,14.7,45,49,51,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8190029,10/11/2014,10.5,NO,3.2,,,43,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
34972236,10/29/2014,10.9,N,3.3,3.26,11.6,43,47,44,,,,,
34972236,02/17/2015,11.3,N,3.4,,15,42,49,,,,,,
8190029,04/26/2015,13.5,NO,4.1,,13.9,40,49,,NORMAL,,MURKY,GREEN,1-Beautiful, could not be nicer
8190029,06/24/2015,14,NO,4.3,2.02,9.08,39,45,40,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,07/23/2015,10,NO,3,3.01,10.8,44,47,43,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,08/27/2015,9.5, ,2.9,4.08,11.7,45,47,45,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,09/26/2015,14,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190029,10/18/2015,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190029,04/23/2016,17,NO,5.2,,13,36,48,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,05/22/2016,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190029,06/24/2016,13,NO,4,3.72,19.8,40,51,45,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,07/22/2016,9,NO,2.7,3.43,15,45,49,44,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8190029,08/28/2016,13,NO,4,3.4,15.8,40,50,44,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/08/1994,3,FEET,66,DEGREES F,,
06/08/1994,17,FEET,65,DEGREES F,,
07/10/1994,3,FEET,74,DEGREES F,,
07/10/1994,17,FEET,17,DEGREES F,,
08/10/1994,3,FEET,68,DEGREES F,,
08/10/1994,12,FEET,68,DEGREES F,,
10/03/1994,3,FEET,57,DEGREES F,,
10/03/1994,18,FEET,57,DEGREES F,,
06/05/1995,3,FEET,72,DEGREES F,,
06/29/1995,14,FEET,74,DEGREES F,,
08/21/1995,9,FEET,74,DEGREES F,,
09/10/1995,10,FEET,66,DEGREES F,,
10/02/1995,3,FEET,58,DEGREES F,,
06/05/1996,3,FEET,64,DEGREES F,,
06/25/1996,3,FEET,66,DEGREES F,,
07/16/1996,9,FEET,70,DEGREES F,,
08/20/1996,11,FEET,74,DEGREES F,,
09/10/1996,3,FEET,74,DEGREES F,,
06/22/1997,15,FEET,70,DEGREES F,,
07/07/1997,14,FEET,70,DEGREES F,,
08/19/1997,11,FEET,72,DEGREES F,,
06/05/1998,2,FEET,62,DEGREES F,,
07/08/1998,3,FEET,74,DEGREES F,,
08/12/1998,3,FEET,78,DEGREES F,,
09/02/1998,3,FEET,70,DEGREES F,,
06/17/2001,0,FEET,69,DEGREES F,,
