Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Johnson Lake,Sawyer,1856700,NO,58,,583134,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
29834339,08/27/2014,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/28/2014,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,05/23/2015,15.3,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/11/2015,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/13/2015,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/22/2015,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,08/30/2015,9,NO,2.7,,,45,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
29834339,09/07/2015,10,NO,3,,,44,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
29834339,09/23/2015,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
29834339,10/11/2015,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/08/2016,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/29/2016,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,08/01/2016,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,08/17/2016,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/01/2016,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/09/2016,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,10/03/2016,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/16/2017,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/10/2017,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/19/2017,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,08/19/2017,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/20/2017,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/18/2012,3,FEET,70.8,DEGREES F,3.8,MG/L
06/18/2012,6,FEET,70,DEGREES F,6,MG/L
06/18/2012,9,FEET,69.8,DEGREES F,6,MG/L
06/18/2012,12,FEET,69,DEGREES F,6.2,MG/L
06/18/2012,15,FEET,66.9,DEGREES F,5.4,MG/L
06/18/2012,18,FEET,63.3,DEGREES F,1.6,MG/L
06/18/2012,21,FEET,58.4,DEGREES F,0,MG/L
06/18/2012,24,FEET,58.2,DEGREES F,.2,MG/L
06/18/2012,27,FEET,,,.9,MG/L
07/22/2012,3,FEET,79.3,DEGREES F,3.7,MG/L
07/22/2012,6,FEET,78.8,DEGREES F,4.6,MG/L
07/22/2012,9,FEET,78.6,DEGREES F,3.6,MG/L
07/22/2012,12,FEET,78.2,DEGREES F,3.4,MG/L
07/22/2012,15,FEET,72.1,DEGREES F,3.8,MG/L
07/22/2012,18,FEET,65.6,DEGREES F,.3,MG/L
07/22/2012,21,FEET,60,DEGREES F,.1,MG/L
07/22/2012,24,FEET,56.1,DEGREES F,0,MG/L
08/29/2012,3,FEET,74.3,DEGREES F,5.3,MG/L
08/29/2012,6,FEET,73.7,DEGREES F,5.8,MG/L
08/29/2012,9,FEET,73.2,DEGREES F,3.8,MG/L
08/29/2012,12,FEET,72.3,DEGREES F,5.9,MG/L
08/29/2012,15,FEET,71,DEGREES F,4.1,MG/L
08/29/2012,18,FEET,68.3,DEGREES F,2.1,MG/L
08/29/2012,21,FEET,61.8,DEGREES F,0,MG/L
08/29/2012,24,FEET,59.3,DEGREES F,,
07/01/2013,3,FEET,74.1,DEGREES F,7.3,MG/L
07/01/2013,6,FEET,73.4,DEGREES F,7.1,MG/L
07/01/2013,9,FEET,72.8,DEGREES F,6.9,MG/L
07/01/2013,12,FEET,69.2,DEGREES F,7.4,MG/L
07/01/2013,15,FEET,61.5,DEGREES F,8,MG/L
07/01/2013,18,FEET,57.3,DEGREES F,7,MG/L
07/01/2013,21,FEET,53.9,DEGREES F,3.6,MG/L
07/01/2013,24,FEET,51.9,DEGREES F,2,MG/L
07/01/2013,27,FEET,,,.2,MG/L
08/16/2013,3,FEET,71.9,DEGREES F,6.9,MG/L
08/16/2013,6,FEET,71.6,DEGREES F,7.4,MG/L
08/16/2013,9,FEET,71.4,DEGREES F,6.9,MG/L
08/16/2013,12,FEET,71,DEGREES F,6.9,MG/L
08/16/2013,15,FEET,69.6,DEGREES F,7.1,MG/L
08/16/2013,18,FEET,64.2,DEGREES F,1,MG/L
08/16/2013,21,FEET,57.2,DEGREES F,2,MG/L
08/16/2013,24,FEET,53,DEGREES F,0,MG/L
08/16/2013,27,FEET,51.8,DEGREES F,,
06/26/2014,3,FEET,72.3,DEGREES F,6.5,MG/L
06/26/2014,6,FEET,71.4,DEGREES F,6,MG/L
06/26/2014,9,FEET,70.8,DEGREES F,6.2,MG/L
06/26/2014,12,FEET,63.6,DEGREES F,7,MG/L
06/26/2014,15,FEET,54.3,DEGREES F,7,MG/L
06/26/2014,18,FEET,51,DEGREES F,5.5,MG/L
06/26/2014,21,FEET,49.8,DEGREES F,3,MG/L
06/26/2014,24,FEET,49.2,DEGREES F,.9,MG/L
06/26/2014,27,FEET,,,1.1,MG/L
07/25/2014,3,FEET,76.4,DEGREES F,5.6,MG/L
07/25/2014,6,FEET,74.8,DEGREES F,5.4,MG/L
07/25/2014,9,FEET,74.1,DEGREES F,5.7,MG/L
07/25/2014,12,FEET,71.4,DEGREES F,5.6,MG/L
07/25/2014,15,FEET,61.1,DEGREES F,3.8,MG/L
07/25/2014,18,FEET,55.2,DEGREES F,1.4,MG/L
07/25/2014,21,FEET,53,DEGREES F,.6,MG/L
07/25/2014,24,FEET,51,DEGREES F,0,MG/L
07/25/2014,27,FEET,,,0,MG/L
08/27/2014,3,FEET,72.8,DEGREES F,7.1,MG/L
08/27/2014,6,FEET,72.6,DEGREES F,6.9,MG/L
08/27/2014,9,FEET,72.6,DEGREES F,6.8,MG/L
08/27/2014,12,FEET,72.5,DEGREES F,6.4,MG/L
08/27/2014,15,FEET,66.9,DEGREES F,1.5,MG/L
08/27/2014,18,FEET,59,DEGREES F,1.2,MG/L
08/27/2014,21,FEET,56.4,DEGREES F,0,MG/L
08/27/2014,24,FEET,56.4,DEGREES F,,
08/27/2014,27,FEET,56.4,DEGREES F,,
09/28/2014,3,FEET,65.1,DEGREES F,7.7,MG/L
09/28/2014,6,FEET,63.3,DEGREES F,7.5,MG/L
09/28/2014,9,FEET,62.4,DEGREES F,7.8,MG/L
09/28/2014,12,FEET,61.7,DEGREES F,7.3,MG/L
09/28/2014,15,FEET,60.9,DEGREES F,7.3,MG/L
09/28/2014,18,FEET,60.2,DEGREES F,4.1,MG/L
09/28/2014,21,FEET,58.8,DEGREES F,1.1,MG/L
09/28/2014,24,FEET,54.6,DEGREES F,.4,MG/L
09/28/2014,27,FEET,56.4,DEGREES F,,
06/11/2015,3,FEET,70.8,DEGREES F,7.8,MG/L
06/11/2015,6,FEET,70.8,DEGREES F,7.4,MG/L
06/11/2015,9,FEET,69.4,DEGREES F,7.4,MG/L
06/11/2015,12,FEET,66.2,DEGREES F,7.5,MG/L
06/11/2015,15,FEET,61.7,DEGREES F,7.6,MG/L
06/11/2015,18,FEET,58.2,DEGREES F,7.8,MG/L
06/11/2015,21,FEET,55.5,DEGREES F,1.8,MG/L
06/11/2015,24,FEET,51.8,DEGREES F,0,MG/L
06/11/2015,27,FEET,,,0,MG/L
07/22/2015,3,FEET,75.9,DEGREES F,6.7,MG/L
07/22/2015,6,FEET,75.5,DEGREES F,6.4,MG/L
07/22/2015,9,FEET,75.2,DEGREES F,6.6,MG/L
07/22/2015,12,FEET,74.4,DEGREES F,6.1,MG/L
07/22/2015,15,FEET,69.2,DEGREES F,4.6,MG/L
07/22/2015,18,FEET,62.4,DEGREES F,.4,MG/L
07/22/2015,21,FEET,57.2,DEGREES F,.3,MG/L
07/22/2015,24,FEET,56.4,DEGREES F,0,MG/L
07/22/2015,27,FEET,56.4,DEGREES F,0,MG/L
09/23/2015,3,FEET,66.7,DEGREES F,6.6,MG/L
09/23/2015,6,FEET,66.2,DEGREES F,6.5,MG/L
09/23/2015,9,FEET,66.2,DEGREES F,6.6,MG/L
09/23/2015,12,FEET,66,DEGREES F,6.5,MG/L
09/23/2015,15,FEET,65.6,DEGREES F,6.4,MG/L
09/23/2015,18,FEET,63.6,DEGREES F,4.2,MG/L
09/23/2015,21,FEET,62,DEGREES F,0,MG/L
09/23/2015,24,FEET,62,DEGREES F,0,MG/L
09/23/2015,27,FEET,62,DEGREES F,0,MG/L
06/29/2016,3,FEET,75,DEGREES F,6.4,MG/L
06/29/2016,6,FEET,74.1,DEGREES F,6.1,MG/L
06/29/2016,9,FEET,73.4,DEGREES F,6.3,MG/L
06/29/2016,12,FEET,71.4,DEGREES F,6,MG/L
06/29/2016,15,FEET,61.7,DEGREES F,5.8,MG/L
06/29/2016,18,FEET,58.4,DEGREES F,3.6,MG/L
06/29/2016,21,FEET,56.6,DEGREES F,2,MG/L
06/29/2016,24,FEET,56.6,DEGREES F,.4,MG/L
06/29/2016,27,FEET,56.4,DEGREES F,.2,MG/L
08/01/2016,3,FEET,76.8,DEGREES F,6.3,MG/L
08/01/2016,6,FEET,76.4,DEGREES F,6.5,MG/L
08/01/2016,9,FEET,76.2,DEGREES F,6.6,MG/L
08/01/2016,12,FEET,74.8,DEGREES F,5.8,MG/L
08/01/2016,15,FEET,68,DEGREES F,1,MG/L
08/01/2016,18,FEET,61.5,DEGREES F,.5,MG/L
08/01/2016,21,FEET,58.2,DEGREES F,0,MG/L
08/01/2016,24,FEET,58.2,DEGREES F,0,MG/L
08/01/2016,27,FEET,58.1,DEGREES F,,
09/01/2016,3,FEET,73,DEGREES F,7,MG/L
09/01/2016,6,FEET,72.8,DEGREES F,6.9,MG/L
09/01/2016,9,FEET,72.8,DEGREES F,7,MG/L
09/01/2016,12,FEET,72.6,DEGREES F,7,MG/L
09/01/2016,15,FEET,72.3,DEGREES F,6.7,MG/L
09/01/2016,18,FEET,64,DEGREES F,.7,MG/L
09/01/2016,21,FEET,59.7,DEGREES F,.5,MG/L
09/01/2016,24,FEET,59.7,DEGREES F,0,MG/L
09/01/2016,27,FEET,59.7,DEGREES F,0,MG/L
10/03/2016,3,FEET,62.5,DEGREES F,7.7,MG/L
10/03/2016,6,FEET,61.8,DEGREES F,8.1,MG/L
10/03/2016,9,FEET,61.8,DEGREES F,8.1,MG/L
10/03/2016,12,FEET,61.5,DEGREES F,7.4,MG/L
10/03/2016,15,FEET,61.1,DEGREES F,6.6,MG/L
10/03/2016,18,FEET,61.1,DEGREES F,6.1,MG/L
10/03/2016,21,FEET,60.9,DEGREES F,5.3,MG/L
10/03/2016,24,FEET,60.6,DEGREES F,,
10/03/2016,27,FEET,60.6,DEGREES F,,
06/16/2017,3,FEET,73.7,DEGREES F,6.2,MG/L
06/16/2017,6,FEET,73.2,DEGREES F,6.5,MG/L
06/16/2017,9,FEET,72.1,DEGREES F,6.7,MG/L
06/16/2017,12,FEET,64.7,DEGREES F,7,MG/L
06/16/2017,15,FEET,59,DEGREES F,9,MG/L
06/16/2017,18,FEET,57.3,DEGREES F,7.7,MG/L
06/16/2017,21,FEET,56.4,DEGREES F,5.2,MG/L
06/16/2017,24,FEET,54.6,DEGREES F,1.2,MG/L
06/16/2017,27,FEET,54.6,DEGREES F,,
07/19/2017,3,FEET,74.8,DEGREES F,6.6,MG/L
07/19/2017,6,FEET,74.3,DEGREES F,7,MG/L
07/19/2017,9,FEET,73.7,DEGREES F,6.9,MG/L
07/19/2017,12,FEET,71.6,DEGREES F,6,MG/L
07/19/2017,15,FEET,65.6,DEGREES F,5.1,MG/L
07/19/2017,18,FEET,60.6,DEGREES F,.4,MG/L
07/19/2017,21,FEET,57.5,DEGREES F,.2,MG/L
07/19/2017,24,FEET,55.2,DEGREES F,0,MG/L
07/19/2017,27,FEET,54.6,DEGREES F,,
08/19/2017,3,FEET,70.5,DEGREES F,6.5,MG/L
08/19/2017,6,FEET,70.1,DEGREES F,6.4,MG/L
08/19/2017,9,FEET,69.9,DEGREES F,6.3,MG/L
08/19/2017,12,FEET,69.8,DEGREES F,6.4,MG/L
08/19/2017,15,FEET,69.6,DEGREES F,5.8,MG/L
08/19/2017,18,FEET,63.3,DEGREES F,1.3,MG/L
08/19/2017,21,FEET,58.2,DEGREES F,.2,MG/L
08/19/2017,24,FEET,55.7,DEGREES F,0,MG/L
